title,brand,list_price,price,stock,url,category,branch_id
VENTILADOR TURBO INDEPLAS DECO PISO NARANJA,Indeplas,24239.0,20603.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-turbo-indeplas-deco-piso-naranja/p,Climatización,12
CALEFACTOR CALEFACTOR LILIANA CVO-27,LILIANA,,9559.0,In Stock,https://www.hiperlibertad.com.ar/calef-cuarzo-liliana-cv027/p,Climatización,12
VENTILADOR DE PIE PEABODY PE-VPD2062,PEABODY,55999.0,47599.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-peabody-pe-vpd2062/p,Climatización,12
ESTUFA KEN BROWN 800W KB22,Ken Brown,,11069.0,In Stock,https://www.hiperlibertad.com.ar/estufa-ken-brown-800w-kb22/p,Climatización,12
Vitroconvector Eléctrico Peabody PE-VC10N 1000W,PEABODY,,29999.0,In Stock,https://www.hiperlibertad.com.ar/vitroconvector-el-ctrico-peabody-pe-vc10n-1000w/p,Climatización,12
VENTILADOR DE TECHO CON LUZ,LILIANA,190000.0,161500.0,In Stock,https://www.hiperlibertad.com.ar/ventilador-techo-liliana-vthm315-c-l-c-c/p,Climatización,12
"VENT. PARED 24"" LILIANA VW2416",Mir,75499.0,64174.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pared-24-pulgadas-liliana-vw2416/p,Climatización,12
VENTILADOR DE PIE INDEPLAS 20 PULGADAS SIN BOTONERA,Indeplas,51829.0,44054.65,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-indeplas-20-pulgadas-sin-botonera/p,Climatización,12
CALEF PEABODY 3000 KCAL S/SAL,Mir,,42579.0,In Stock,https://www.hiperlibertad.com.ar/calefactor-peabody-gas-natural-sin-salida-3000-kcal/p,Climatización,12
VENTILADOR DE PIE INDUSTRIAL 32 PULGADAS LILIANA VPI32,LILIANA,,132199.0,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-industrial-32-pulgadas-liliana-vpi32/p,Climatización,12
VENT PAR 32 IND LILIANA VWIT32,Mir,132899.0,112964.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pared-industrial-vwit32/p,Climatización,12
CALOVENTOR LILIANA CFH510,LILIANA,,16989.0,In Stock,https://www.hiperlibertad.com.ar/caloventor-liliana-dual-hot-cfh-510/p,Climatización,12
Caloventor 2 velocidades Cook line Cl-204,Cook Line,,9999.0,In Stock,https://www.hiperlibertad.com.ar/caloventor-2-velocidades-cook-line-cl-204/p,Climatización,12
AIRE ACONDICIONADO HYUNDAI INVERTER HY10INV 3200 FC,Hyundai,,589999.0,In Stock,https://www.hiperlibertad.com.ar/aire-acondicionado-hyundai-inverter-hy10inv-3200-fc/p,Climatización,12
CALOVENTOR INDELPLAS IC02 NEGRO 1800W,Indelplas,,9999.0,In Stock,https://www.hiperlibertad.com.ar/caloventor-indelplas-ic02-negro-1800w/p,Climatización,12
AIRE ACONDICIONADO HYUNDAI 6000 FC HY8,Hyundai,,999999.0,In Stock,https://www.hiperlibertad.com.ar/aire-acondicionado-hyundai-6000-fc-hy8/p,Climatización,12
"TURBO INDELPLAS 12""",Mir,25299.0,21504.15,In Stock,https://www.hiperlibertad.com.ar/turboventilador-12-indelplas/p,Climatización,12
CALEFACTOR INFRARROJO LILIANA CIG 100,LILIANA,,21239.0,In Stock,https://www.hiperlibertad.com.ar/calefactor-infr-liliana-cig-100/p,Climatización,12
ESTUFA ELECTRICA KEN BROWN KB2001,Ken Brown,,18879.0,In Stock,https://www.hiperlibertad.com.ar/estufa-electrica-ken-brown-kb2001/p,Climatización,12
CALEFACTOR INFRAROJO LILIANA CI650,LILIANA,,31859.0,In Stock,https://www.hiperlibertad.com.ar/calef-infrar-liliana-ci650/p,Climatización,12
CALEFACTOR SPLIT LILIANA CW800,LILIANA,,30799.0,In Stock,https://www.hiperlibertad.com.ar/calefactor-split-liliana-cw800/p,Climatización,12
"VENT PIE LILIANA 24"" VPHP2416",Mir,83499.0,70974.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-24-pulgadas-liliana-vphp2416/p,Climatización,12
Caloventor Indelplas 2 Niveles 1800W AZUL,Indelplas,,9599.0,In Stock,https://www.hiperlibertad.com.ar/caloventor-indeplas-1800w-ic-o1-azul/p,Climatización,12
CONVECTOR ELECTRICO COOKLINE CL-210,Mir,,16499.0,In Stock,https://www.hiperlibertad.com.ar/convector-cookline-cl-210/p,Climatización,12
VENT TURBO PEABODY 20 PE-VP150,Mir,79999.0,67999.15,In Stock,https://www.hiperlibertad.com.ar/turboventilador-20-peabody-pe-vp150/p,Climatización,12
VENT. PIE 20 LILIANA VPD20R,Mir,89999.0,76499.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-20-pulgadas-liliana-vpd20r/p,Climatización,12
VENTILADOR TURBO INDEPLAS DECO PISO VERDE,Indeplas,24239.0,20603.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-turbo-indeplas-deco-piso-verde/p,Climatización,12
