title,brand,list_price,price,stock,url,category,branch_id
PARLANTE FOXBOX CORVUS 3W WIRELESS,FOXBOX,16999.0,11049.35,In Stock,https://www.hiperlibertad.com.ar/parlante-foxbox-corvus-3w-wireless-3/p,Audio,12
PARLANTE INALAMBRICOS TWS THONET & VANDER FREI CHAIN GRAU ROJO HK096-03603,Thonet & Vander,71299.0,49909.3,In Stock,https://www.hiperlibertad.com.ar/parlante-inalambricos-tws-thonet-vander-frei-chain-grau-rojo-hk096-03603/p,Audio,12
PARLANTE BLUETOOTH THONET & VANDER KURBIS CINEMA,Thonet & Vander,345289.0,207173.4,In Stock,https://www.hiperlibertad.com.ar/parlante-bluetooth-thonet-vander-kurbis-cinema/p,Audio,12
Auriculares On Ear Philips SHL5005/00 Negro,Philips,18539.0,12977.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-on-ear-philips-shl5005-00-negro/p,Audio,12
PARLANTE PHILIPS TAX2206/77,Philips,None,99659.0,In Stock,https://www.hiperlibertad.com.ar/parlante-philips-tax2206-77/p,Audio,12
Auriculares On Ear PHILIPS Bluetooth TAH4205WT/00 Blanco,PHILIPS,42719.0,29903.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-on-ear-bluetooth-tah4205wt-00-blanco/p,Audio,12
AURICULARES PHILIPS TAH4105BK/00 NEGRO VINCHA,PHILIPS,24388.99,17072.29,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-tah4105bk-00-negro/p,Audio,12
Auriculares Philips vincha SHL5005WT/00 Blanco,Philips,18539.0,12977.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-vincha-shl5005wt-00-blanco/p,Audio,12
Auriculares Dekkin Vincha Con Cable Rosa,Mir,None,7149.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-rosa/p,Audio,12
AURICULARES HP VINCHA DHE1205 BLANCO,HP,14469.0,10128.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-hp-vincha-dhe1205-blanco/p,Audio,12
AURICULARES MOTOROLA EARBUDS 3S JACK 3.5MM MANOS LIBRES TEAL,Motorola,7999.0,5599.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-motorola-earbuds-3s-jack-3-5mm-manos-libres-teal/p,Audio,12
AURICULARES MOTOROLA EARBUDS 3S JACK 3.5MM MANOS LIBRES WHITE,Motorola,7999.0,5599.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-motorola-earbuds-3s-jack-3-5mm-manos-libres-white/p,Audio,12
AURICULARES HP VINCHA DHE1205 NEGRO,HP,16939.0,11857.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-hp-vincha-dhe1205-negro/p,Audio,12
Auriculares Dekkin Vincha Con Cable Verde,Mir,None,7149.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-verde/p,Audio,12
Auriculares In Ear PHILIPS TAUE100BK/00 Negros,PHILIPS,5849.0,4094.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-in-ear-taue100bk-00-negros/p,Audio,12
Auriculares Dekkin Vincha Con Cable Celeste,Mir,None,7149.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-celeste/p,Audio,12
Auriculares Dekkin Vincha Con Cable Negro,Mir,None,7149.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-negro/p,Audio,12
AURICULARES MOTOROLA EARBUDS 3S JACK 3.5MM MANOS LIBRES PEACH,Motorola,7999.0,5599.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-motorola-earbuds-3s-jack-3-5mm-manos-libres-peach/p,Audio,12
TORRE DE SONIDO BLUETOOTH PHILIPS TAX3305/77 100W,PHILIPS,None,297519.0,In Stock,https://www.hiperlibertad.com.ar/torre-philips-tax3305-77-100w/p,Audio,12
AURICULARES PHILIPS TAE4105BK/00 NEGRO,None,11679.0,8175.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-tae4105bk-00-negro/p,Audio,12
PARLANTE PHILIPS TAX2706/77,Philips,None,139439.0,In Stock,https://www.hiperlibertad.com.ar/parlante-philips-tax2706-77/p,Audio,12
PARLANTE VERBATIM CUBE BLANCO,Verbatim,None,19289.0,In Stock,https://www.hiperlibertad.com.ar/parlante-verbatim-cube-blanco/p,Audio,12
AURICULARES PHILIPS TAE4105WT/00 BLANCO,Philips,11679.0,8175.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-tae4105wt-00-blanco/p,Audio,12
AURICULARES HP DHE8011UM,HP,49999.0,34999.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-hp-dhe8011um/p,Audio,12
AURICULARES PHILIPS TAUE101BK/00,Philips,8349.0,5844.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-taue101bk-00/p,Audio,12
