title,list_price,price,stock,url,category
Auriculares Philips vincha SHL5005WT/00 Blanco,18539.0,13904.25,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-vincha-shl5005wt-00-blanco/p,Audio
PARLANTE BARRA DE SONIDO THONET & VANDER HOLM BLUETOOTH,None,82799.0,In Stock,https://www.hiperlibertad.com.ar/parlante-barra-de-sonido-thonet-vander-holm-bluetooth/p,Audio
AURICULARES PHILIPS TAE4105BK/00 NEGRO,11679.0,8759.25,In Stock,https://www.hiperlibertad.com.ar/auriculares-philips-tae4105bk-00-negro/p,Audio
Auriculares In Ear Philips shs3305BK/10 Negros,7839.0,5487.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-in-ear-philips-shs3305bk-10-negros/p,Audio
PARLANTE INALAMBRICOS TWS THONET & VANDER FREI CHAIN GRAU GRIS HK096-03610,None,None,In Stock,https://www.hiperlibertad.com.ar/parlante-inalambricos-tws-thonet-vander-frei-chain-grau-gris-hk096-03610/p,Audio
Auriculares On Ear Philips SHL5005/00 Negro,18539.0,13904.25,In Stock,https://www.hiperlibertad.com.ar/auriculares-on-ear-philips-shl5005-00-negro/p,Audio
Auriculares Dekkin Vincha Bluetooth Rosa,None,7579.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-bluetooth-rosa/p,Audio
PARLANTE BARRA DE SONIDO THONET & VANDER STARK BLUETOOTH,None,492999.0,In Stock,https://www.hiperlibertad.com.ar/parlante-barra-de-sonido-thonet-vander-stark-bluetooth/p,Audio
AURICULARES MOTOROLA EARBUDS 3S JACK 3.5MM MANOS LIBRES PEACH,7999.0,5599.3,In Stock,https://www.hiperlibertad.com.ar/auriculares-motorola-earbuds-3s-jack-3-5mm-manos-libres-peach/p,Audio
Auriculares Dekkin Vincha Con Cable Negro,None,7149.0,In Stock,https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-negro/p,Audio
SOUND BAR PHILIPS TAB5305 2.1,234609.0,187687.2,In Stock,https://www.hiperlibertad.com.ar/barra-de-sonido-phillips-tab5305-12-2-1/p,Audio
