title,list_price,brand,price,stock,url,category
SMART WATCH FOXBOX NEON NEGRO,None,FOXBOX,72429.0,In Stock,https://www.hiperlibertad.com.ar/smart-watch-foxbox-neon-negro/p,Smartwatch
None,None,None,None,Out of stock,https://www.hiperlibertad.com.ar/smart-watch-gizmo-zelda-54-rosa/p,Smartwatch
SMART WATCH FOXBOX ION BLANCO,None,FOXBOX,35859.0,In Stock,https://www.hiperlibertad.com.ar/smart-watch-foxbox-ion-blanco/p,Smartwatch
SMART WATCH FOXBOX ION VERDE,None,FOXBOX,35859.0,In Stock,https://www.hiperlibertad.com.ar/smart-watch-foxbox-ion-verde/p,Smartwatch
SMART WATCH GIZMO ZELDA 54 VERDE,None,FOXBOX,51289.0,In Stock,https://www.hiperlibertad.com.ar/smart-watch-gizmo-zelda-54-verde/p,Smartwatch
SMART WATCH GIZMO ZELDA 54 NEGRO,None,FOXBOX,51289.0,In Stock,https://www.hiperlibertad.com.ar/smart-watch-gizmo-zelda-54-negro/p,Smartwatch
SMART WATCH FOXBOX ION NEGRO,None,FOXBOX,35859.0,In Stock,https://www.hiperlibertad.com.ar/smart-watch-foxbox-ion-negro/p,Smartwatch
SMART WATCH FOXBOX KRYPTON NARANJA,None,FOXBOX,None,In Stock,https://www.hiperlibertad.com.ar/smart-watch-foxbox-krypton-naranja/p,Smartwatch
SMART WATCH GIZMO GOTHAM 3 NEGRO,None,FOXBOX,None,In Stock,https://www.hiperlibertad.com.ar/smart-watch-gizmo-gotham-3-negro/p,Smartwatch
None,None,None,None,Out of stock,https://www.hiperlibertad.com.ar/smart-watch-gizmo-zelda-54-gris/p,Smartwatch
SMART WATCH FOXBOX KRYPTON PLATEADO,None,FOXBOX,None,In Stock,https://www.hiperlibertad.com.ar/smart-watch-foxbox-krypton-plateado/p,Smartwatch
SOPORTE AUTO RIDE NEGRO,None,FOXBOX,None,In Stock,https://www.hiperlibertad.com.ar/soporte-auto-ride-negro/p,Smartwatch
