title,brand,list_price,price,stock,url,branch_id,category,subcategory
FAROL DE LED A PILA 3 POSICIONES,Mir,None,9759.0,In stock,https://www.hiperlibertad.com.ar/farol-de-led-a-pila-3-posiciones/p,12,aire-libre-y-jardin,camping
Inflador Manual Double Quick Mini,INTEX,2999.0,2549.15,In stock,https://www.hiperlibertad.com.ar/inflador-doble-quick-mini-int/p,12,aire-libre-y-jardin,camping
Farol de LED con imán a pila,Mir,None,7789.0,In stock,https://www.hiperlibertad.com.ar/farol-de-led-con-im-n-a-pila/p,12,aire-libre-y-jardin,camping
ALMOHADA INFLABLE 68672 INTEX,INTEX,1999.0,1699.15,In stock,https://www.hiperlibertad.com.ar/almohada-inflable-intex-68672-x-1-u/p,12,aire-libre-y-jardin,camping
Colchon Inflable Fiber-Tech INTEX 137 X 191 X 25 Cm Mediano,INTEX,28799.0,24479.15,In stock,https://www.hiperlibertad.com.ar/colchon-inflable-fiber-tech-intex-137x191x25-cm-mediano/p,12,aire-libre-y-jardin,camping
CONSERV TERMICA 5L ROJA-AZUL,Soprano,14959.0,12715.15,In stock,https://www.hiperlibertad.com.ar/conservadora-termica-5l-azul/p,12,aire-libre-y-jardin,camping
Colchon Inflable Intex 152 X 203 X 25 Cm + 2 Almohadas + Inflador,INTEX,39599.0,33659.15,In stock,https://www.hiperlibertad.com.ar/colchon-inflable-intex-con-2-almohadas-e-inflador/p,12,aire-libre-y-jardin,camping
Bidón Soprano 5 Litros,Soprano,21649.0,18401.65,In stock,https://www.hiperlibertad.com.ar/bidon-soprano-5-litros/p,12,aire-libre-y-jardin,camping
Colchon Inflable Dura-Beam INTEX 76 X 191 X 25 Cm Azul,INTEX,20399.0,17339.15,In stock,https://www.hiperlibertad.com.ar/colchon-inflable-dura-beam-intex-76x191x25-cm-azul/p,12,aire-libre-y-jardin,camping
FAROL DE LUJO CON JAULA,Mir,None,21939.0,In stock,https://www.hiperlibertad.com.ar/farol-de-lujo-brogas-x-1-u/p,12,aire-libre-y-jardin,camping
CANTIMPLORA SAFARI. 1 LITRO,Mir,12289.0,10445.65,In stock,https://www.hiperlibertad.com.ar/cantimplora-safari-1-litro/p,12,aire-libre-y-jardin,camping
SACA ARENA MOR,MOR,None,799.0,In stock,https://www.hiperlibertad.com.ar/saca-arena-mor/p,12,aire-libre-y-jardin,camping
"BIDON ATACAMA 2,5 LITROS",Mir,12509.0,10632.65,In stock,https://www.hiperlibertad.com.ar/recipiente-isotermico-atacama-2-5-l/p,12,aire-libre-y-jardin,camping
CONSERVADORA TERMICA 12L ROJO SOPRANO,Soprano,18639.0,15843.15,In stock,https://www.hiperlibertad.com.ar/conservadora-termica-12l-rojo-soprano/p,12,aire-libre-y-jardin,camping
ALMOHADA INFLABLE INTEX COLORES NIÑOS X 1 U,INTEX,1999.0,1699.15,In stock,https://www.hiperlibertad.com.ar/almohada-inflable-intex-colores-ni-os-x-1-u/p,12,aire-libre-y-jardin,camping
