title,brand,list_price,price,stock,url,branch_id,category,subcategory
CUBRE PILETA ESTRUC. CIRC. 366 CM,INTEX,15999.0,11999.25,In stock,https://www.hiperlibertad.com.ar/cubre-pileta-estruc-circ-366-cm/p,12,aire-libre-y-jardin,piletas
"PILETA RECTANGULAR 3,0X2,0X75 INTEX",INTEX,169999.0,127499.25,In stock,https://www.hiperlibertad.com.ar/pileta-rec-3-0x2-0x75-intex/p,12,aire-libre-y-jardin,piletas
REGULADOR DE PH NEWCLOR X 1 Kg,NEWCLOR,9279.0,5534.25,In stock,https://www.hiperlibertad.com.ar/regulador-de-ph-newclor-x-1-kg/p,12,aire-libre-y-jardin,piletas
CLORO NEWCLOR GRANULADO DISOLUCION RAPIDA X 1 Kg,NEWCLOR,14779.0,10319.25,In stock,https://www.hiperlibertad.com.ar/cloro-newclor-granulado-disolucion-rapida-x-1-kg/p,12,aire-libre-y-jardin,piletas
pastillas de cloro Triple Acción Clorotec,Clorotec,2559.0,1919.25,In stock,https://www.hiperlibertad.com.ar/pastilla-triple-acci-n-indiv-200/p,12,aire-libre-y-jardin,piletas
ELEVADOR DE PH CLOROTEC LIQUIDO X 1 L,Clorotec,4519.0,3389.25,In stock,https://www.hiperlibertad.com.ar/elevador-de-ph-clorotec-liquido-x-1-l/p,12,aire-libre-y-jardin,piletas
Cloro granulado NEWCLOR triple acción shock 1 kg.,New Clor,14899.0,10401.75,In stock,https://www.hiperlibertad.com.ar/cloro-granulado-newclor-triple-acci-n-shock-1-kg/p,12,aire-libre-y-jardin,piletas
BARREHOJAS INTEX,Mir,2499.0,1874.25,In stock,https://www.hiperlibertad.com.ar/barrehojas-intex/p,12,aire-libre-y-jardin,piletas
Kit pequeñas piscinas+boya CLOROTEC,Clorotec,10149.0,7611.75,In stock,https://www.hiperlibertad.com.ar/kit-peque-as-piscinas-boya-clorotec/p,12,aire-libre-y-jardin,piletas
FILTRO CARTRIDGE “A” INTEX,INTEX,4299.0,3224.25,In stock,https://www.hiperlibertad.com.ar/filtro-cartridge-a-intex/p,12,aire-libre-y-jardin,piletas
BOYA CLOROTEC PARA PASTILLAS DE CLORO DE 200 GR.,Clorotec,5879.0,4064.25,In stock,https://www.hiperlibertad.com.ar/boya-clorotec-para-pastillas-de-cloro-de-200-gr/p,12,aire-libre-y-jardin,piletas
PILETA ESTRUCTURAL INTEX CIRCULAR 366X76 cm,INTEX,179999.0,134999.25,In stock,https://www.hiperlibertad.com.ar/pileta-estructural-intex-circular-366x76-cm/p,12,aire-libre-y-jardin,piletas
