title,brand,list_price,price,stock,url,branch_id,category,subcategory
MAYONESA HELLMANNS VEGANA X 500 Gr,Hellmanns,None,797.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-vegana-x-500-gr/p,12,almacen,aderezos
MOSTAZA ALEMANA ARYTZA X 360 Gr,Arytza,None,2000.0,In stock,https://www.hiperlibertad.com.ar/mostaza-alemana-arytza-x-360-gr/p,12,almacen,aderezos
MAYONESA HELLMANNS RECETA TIPO CASERA X 250 Ml,Hellmanns,None,599.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-receta-tipo-casera-x-250-ml/p,12,almacen,aderezos
MAYONESA HEINZ X 350 Gr,Heinz,738.0,599.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-heinz-x-350-gr/p,12,almacen,aderezos
MOSTAZA A LA MIEL ARYTZA X 360 Gr,Arytza,None,2067.0,In stock,https://www.hiperlibertad.com.ar/mostaza-a-la-miel-arytza-x-360-gr/p,12,almacen,aderezos
Salsa Chimichurri la parmesanac/miel x330g,La Parmesana,None,1355.0,In stock,https://www.hiperlibertad.com.ar/salsa-chimichurri-la-parmesanac-miel-x330g/p,12,almacen,aderezos
SALSA SRIRACHA BUFFALO X 260 Gr,Buffalo,None,1950.0,In stock,https://www.hiperlibertad.com.ar/salsa-sriracha-buffalo-x-260-gr/p,12,almacen,aderezos
SALSA BARBACOA ARYTZA X 370 Gr,Arytza,1901.0,1425.99,In stock,https://www.hiperlibertad.com.ar/salsa-barbacoa-arytza-x-370-gr/p,12,almacen,aderezos
SALSA CHIMICHURRI TAU X 310 Gr,Tau Delta,None,949.0,In stock,https://www.hiperlibertad.com.ar/salsa-chimichurri-tau-x-310-gr/p,12,almacen,aderezos
MOSTAZA SAVORA ORIGINAL X 500 Gr,Savora,None,722.0,In stock,https://www.hiperlibertad.com.ar/mostaza-savora-original-x-500-gr/p,12,almacen,aderezos
SALSA TAU TERIYAKI X 320 Gr,Tau Delta,None,1060.0,In stock,https://www.hiperlibertad.com.ar/salsa-tau-teriyaki-x-320-gr/p,12,almacen,aderezos
MOSTAZA A LA ANTIGUA ARYTZA X 360 Gr,Arytza,None,2069.0,In stock,https://www.hiperlibertad.com.ar/mostaza-a-la-antigua-arytza-x-360-gr/p,12,almacen,aderezos
HEINZ MAYO DPX200GR,Heinz,None,416.0,In stock,https://www.hiperlibertad.com.ar/heinz-mayo-dpx200gr/p,12,almacen,aderezos
MAYONESA CADA DIA LIVIANA X 250G,Mir,None,205.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-liviana-cada-dia-250-cc/p,12,almacen,aderezos
SALSA TAU DELTA CAESAR X 330 Gr,Tau Delta,None,1186.0,In stock,https://www.hiperlibertad.com.ar/salsa-tau-delta-caesar-x-330-gr/p,12,almacen,aderezos
ADEREZO NOT MAYO ORIGINAL X 200 G.,Mir,None,394.0,In stock,https://www.hiperlibertad.com.ar/aderezo-notmayo-original-doypack-x-200-gr/p,12,almacen,aderezos
MAY HELLMANNS VEGAN DP X 250G,Mir,None,525.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-vegana-x-250-gr/p,12,almacen,aderezos
MAYONESA HEINZ LIGHT X 350 Gr,Heinz,None,934.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-heinz-light-x-350-gr/p,12,almacen,aderezos
MOSTAZA TIPO DIJON ARYTZA X 360 Gr,Arytza,None,2122.0,In stock,https://www.hiperlibertad.com.ar/mostaza-tipo-dijon-arytza-x-360-gr/p,12,almacen,aderezos
Ketchup Spicy Kansas X 465 gr,Kansas,None,1781.0,In stock,https://www.hiperlibertad.com.ar/ketchup-spicy-kansas-x-465-gr/p,12,almacen,aderezos
Salsa Barbacoa Kansas x 455 gr,Kansas,None,1870.0,In stock,https://www.hiperlibertad.com.ar/salsa-barbacoa-kansas-x-455-gr/p,12,almacen,aderezos
SALSA TAU BARBACOA X 340 Gr,Tau Delta,None,1162.0,In stock,https://www.hiperlibertad.com.ar/salsa-tau-barbacoa-x-340-gr/p,12,almacen,aderezos
MAYONESA HEINZ LIGHT X 200 Gr,Heinz,None,472.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-heinz-light-x-200-gr/p,12,almacen,aderezos
MAYONESA HELLMANNS LIVIANA X 450 Gr,Hellmanns,731.0,548.25,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-liviana-x-450-gr/p,12,almacen,aderezos
KETCHUP PICANTE BUFFALO X 260 Gr,Buffalo,None,1950.0,In stock,https://www.hiperlibertad.com.ar/ketchup-picante-buffalo-x-260-gr/p,12,almacen,aderezos
SALSA COLESLAW TAU X 310 Gr,Tau Delta,None,1060.0,In stock,https://www.hiperlibertad.com.ar/salsa-coleslaw-tau-x-310-gr/p,12,almacen,aderezos
CHIMI HUMO LIQUIDO PC X190GR,Mir,1125.0,944.99,In stock,https://www.hiperlibertad.com.ar/chimichurri-con-humo-liquido-puntocuc-x-190-gr/p,12,almacen,aderezos
MAYONESA HELLMANNS AHUMADA X 340 Gr,Hellmanns,None,960.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-ahumada-x-340-gr/p,12,almacen,aderezos
MAYONESA HELLMANNS AHUMADA X 250 Gr,Hellmanns,None,798.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-ahumada-x-250-gr/p,12,almacen,aderezos
Mayonesa Con Aceite de Oliva Kansas x 400 gr,Kansas,None,1781.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-con-aceite-de-oliva-kansas-x-400-gr/p,12,almacen,aderezos
MAYONESA CLASICA ARYTZA 340 X Gr,Arytza,1901.0,1425.99,In stock,https://www.hiperlibertad.com.ar/mayonesa-clasica-arytza-340-x-gr/p,12,almacen,aderezos
CHIMI CLASICO ARG PC X190GR,Mir,1125.0,944.99,In stock,https://www.hiperlibertad.com.ar/chimichurri-clasico-argentino-puntocuc-x-190-gr/p,12,almacen,aderezos
Salsa Honey Mustard Kansas Mostaza y Miel x 410 gr,Kansas,None,1870.0,In stock,https://www.hiperlibertad.com.ar/salsa-honey-mustard-kansas-mostaza-y-miel-x-410-gr/p,12,almacen,aderezos
KETCHUP LA PARMESANA X 300 Gr,La Parmesana,None,919.0,In stock,https://www.hiperlibertad.com.ar/ketchup-la-parmesana-x-300-gr/p,12,almacen,aderezos
MAYONESA HELLMANNS AJO X 340 Gr,Hellmanns,None,960.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-ajo-x-340-gr/p,12,almacen,aderezos
MAYONESA TAU CON CHIMICHURRI X 300 Gr,Mir,None,1353.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-tau-con-chimichurri-x-300-gr/p,12,almacen,aderezos
Aderezo Light Clásico Cocinero,Cocinero,None,395.0,In stock,https://www.hiperlibertad.com.ar/aderezo-light-clasico-cocinero/p,12,almacen,aderezos
MOSTAZA PICANTE BUFFALO X 240 Gr,Buffalo,None,1950.0,In stock,https://www.hiperlibertad.com.ar/mostaza-picante-buffalo-x-240-gr/p,12,almacen,aderezos
SALSA ALIOLI ARYTZA X 340 Gr,Arytza,1756.0,1316.99,In stock,https://www.hiperlibertad.com.ar/salsa-alioli-arytza-x-340-gr/p,12,almacen,aderezos
MAYONESA HELLMANNS AJO X 250 Gr,Hellmanns,None,798.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-hellmanns-ajo-x-250-gr/p,12,almacen,aderezos
SALSA CAESAR DOS ANCLAS X 350 Gr,Dos Anclas,None,1436.0,In stock,https://www.hiperlibertad.com.ar/salsa-caesar-dos-anclas-x-350-gr/p,12,almacen,aderezos
BARBACOA PICANTE BUFFALO X 260 Gr,Buffalo,None,1950.0,In stock,https://www.hiperlibertad.com.ar/barbacoa-picante-buffalo-x-260-gr/p,12,almacen,aderezos
MAYONESA CON AJO ARYTZA X 340 Gr,Arytza,2536.0,1901.99,In stock,https://www.hiperlibertad.com.ar/mayonesa-con-ajo-arytza-x-340-gr/p,12,almacen,aderezos
SALSA BIG TAU X 300 Gr,Tau Delta,None,1096.0,In stock,https://www.hiperlibertad.com.ar/salsa-big-tau-x-300-gr/p,12,almacen,aderezos
MOSTAZA CLASICA ARYTZA X 360 Gr,Arytza,None,1948.0,In stock,https://www.hiperlibertad.com.ar/mostaza-clasica-arytza-x-360-gr/p,12,almacen,aderezos
MOSTAZA DULCE TAU X 320 Gr,Tau Delta,None,1161.0,In stock,https://www.hiperlibertad.com.ar/mostaza-dulce-tau-x-320-gr/p,12,almacen,aderezos
Salsa Golf Kansas x 420 gr,Kansas,None,1870.0,In stock,https://www.hiperlibertad.com.ar/salsa-golf-kansas-x-420-gr/p,12,almacen,aderezos
MOSTAZA SAVORA PATRIA X 200 Gr,Savora,None,544.0,In stock,https://www.hiperlibertad.com.ar/mostaza-savora-patria-x-200-gr/p,12,almacen,aderezos
MAYONESA PICANTE TAU X 300 Gr,Tau Delta,None,1032.0,In stock,https://www.hiperlibertad.com.ar/mayonesa-picante-tau-x-300-gr/p,12,almacen,aderezos
Salsa Caesar Kansas x 370 gr,Kansas,None,1763.0,In stock,https://www.hiperlibertad.com.ar/salsa-caesar-kansas-x-370-gr-2/p,12,almacen,aderezos
Salsa Tipo Vinagreta Kansas x 390 gr,Kansas,None,1870.0,In stock,https://www.hiperlibertad.com.ar/salsa-tipo-vinagreta-kansas-x-390-gr/p,12,almacen,aderezos
SALSA ALIOLI DOS ANCLAS X 350 Gr,Dos Anclas,None,1284.0,In stock,https://www.hiperlibertad.com.ar/salsa-alioli-dos-anclas-x-350-gr/p,12,almacen,aderezos
MAYONESA AHUMADA ARYTZA X 340 Gr,Arytza,2410.0,1807.99,In stock,https://www.hiperlibertad.com.ar/mayonesa-ahumada-arytza-x-340-gr/p,12,almacen,aderezos
SALSA CHIMI DOS ANCLAS X 375G,Mir,None,1160.0,In stock,https://www.hiperlibertad.com.ar/salsa-chimichurri-dos-anclas-x-375-gr/p,12,almacen,aderezos
SALSA RANCH TAU X 300 Gr,Tau Delta,None,1067.0,In stock,https://www.hiperlibertad.com.ar/salsa-ranch-tau-x-300-gr/p,12,almacen,aderezos
Ketchup Curry Kansas x 465 gr,Kansas,None,1781.0,In stock,https://www.hiperlibertad.com.ar/ketchup-curry-kansas-x-465-gr/p,12,almacen,aderezos
KETCHUP AHUMADO ARYTZA X 340 Gr,Arytza,2196.0,1646.99,In stock,https://www.hiperlibertad.com.ar/ketchup-ahumado-arytza-x-340-gr/p,12,almacen,aderezos
SALSA RANCH PICANTE DOS ANCLAS,Dos Anclas,None,985.0,In stock,https://www.hiperlibertad.com.ar/salsa-ranch-picante-dos-anclas/p,12,almacen,aderezos
MOSTAZA AHUMADA ARYTZA X 340 Gr,Arytza,None,1836.0,In stock,https://www.hiperlibertad.com.ar/mostaza-ahumada-arytza-x-340-gr/p,12,almacen,aderezos
Chimichurri Kansas x 400 gr,Kansas,None,1870.0,In stock,https://www.hiperlibertad.com.ar/chimichurri-kansas-x-400-gr/p,12,almacen,aderezos
