title,brand,list_price,price,stock,url,branch_id,category,subcategory
TRIGO BURGOL ELIO X 400 Gr,Mir,None,1054.0,In stock,https://www.hiperlibertad.com.ar/trigo-burgol-elio-x-400-gr/p,12,almacen,arroz-y-legumbres
ARROZ BLANCO TERRASANA ORGANICO GRANO LARGO X 500 Gr,Mir,None,1540.0,In stock,https://www.hiperlibertad.com.ar/arroz-blanco-terrasana-organico-grano-largo-x-500-gr/p,12,almacen,arroz-y-legumbres
LENTEJAS GUARDIA VIEJA X 400 G.,Mir,None,828.0,In stock,https://www.hiperlibertad.com.ar/lentejas-guardia-vieja-x-400-gr/p,12,almacen,arroz-y-legumbres
ARROZ INTEGRAL GRANO LARGO PLANTY X 400 GR,Planty,None,1678.0,In stock,https://www.hiperlibertad.com.ar/arroz-integral-grano-largo-planty-x-400-gr/p,12,almacen,arroz-y-legumbres
QUINOA POP PLANTY X 50 GRS,Planty,None,2165.0,In stock,https://www.hiperlibertad.com.ar/quinoa-pop-planty-x-50-grs/p,12,almacen,arroz-y-legumbres
ARROZ PARBOIL LUCCHETTI 1 KG,Mir,2014.0,1390.0,In stock,https://www.hiperlibertad.com.ar/arr-parb-lucchetti-bolsa-1kg/p,12,almacen,arroz-y-legumbres
POROTOS DE SOJA ELIO X 500 Gr,Elio,None,566.0,In stock,https://www.hiperlibertad.com.ar/porotos-de-soja-elio-x-500-gr/p,12,almacen,arroz-y-legumbres
Arroz Organico Largo Fino 00000 Dos Hermanos 500 Gr,Dos Hermanos,None,1765.0,In stock,https://www.hiperlibertad.com.ar/arroz-organico-largo-fino-00000-dos-hermanos-500-gr/p,12,almacen,arroz-y-legumbres
POROTOS DE SOJA PLANTY X 400 GRS,Planty,None,2034.0,In stock,https://www.hiperlibertad.com.ar/porotos-de-soja-planty-x-400-grs/p,12,almacen,arroz-y-legumbres
ARVEJAS SECAS PLANTY X 400 GRS,Planty,None,2218.0,In stock,https://www.hiperlibertad.com.ar/arvejas-secas-planty-x-400-grs/p,12,almacen,arroz-y-legumbres
ARROZ YAMANI TERRASANA ORGANICO INTEGRAL X 500 Gr,Mir,None,1756.0,In stock,https://www.hiperlibertad.com.ar/arroz-yamani-terrasana-organico-integral-x-500-gr/p,12,almacen,arroz-y-legumbres
POROTOS ALUBIAS GUARDIA VIEJA X 500 Gr,Mir,None,743.0,In stock,https://www.hiperlibertad.com.ar/porotos-alubias-guardia-vieja-x-500-gr/p,12,almacen,arroz-y-legumbres
ARVEJAS PARTIDAS GUARDIA VIEJA X 400 Gr,Guardia Vieja,None,665.0,In stock,https://www.hiperlibertad.com.ar/arvejas-partidas-guardia-vieja-x-400-gr/p,12,almacen,arroz-y-legumbres
MAIZ PEL BCO EGRAN X500GR,Mir,None,703.0,In stock,https://www.hiperlibertad.com.ar/maiz-blanco-molido-egran-500-gr/p,12,almacen,arroz-y-legumbres
POROTO ALUBIA GRANERO 500 Gr,Granero,None,1124.0,In stock,https://www.hiperlibertad.com.ar/poroto-alubia-granero-500-gr/p,12,almacen,arroz-y-legumbres
ARROZ LF 00000 VANGUARDIA X1K,Mir,1614.99,1390.0,In stock,https://www.hiperlibertad.com.ar/arroz-lf-00000-vanguardia-x1k/p,12,almacen,arroz-y-legumbres
QUINOA BLANCA TERRASANA X 250 Gr,Mir,None,2729.0,In stock,https://www.hiperlibertad.com.ar/quinoa-blanca-terrasana-x-250-gr/p,12,almacen,arroz-y-legumbres
ARROZ BLANCO GRANO LARGO PLANTY X 400 GR,Planty,None,1698.0,In stock,https://www.hiperlibertad.com.ar/arroz-blanco-grano-largo-planty-x-400-gr/p,12,almacen,arroz-y-legumbres
ARROZ INTEGRAL ORGANICO TERRASANA GRANO LARGO X 500 Gr,Mir,None,1730.0,In stock,https://www.hiperlibertad.com.ar/arroz-integral-organico-terrasana-grano-largo-x-500-gr/p,12,almacen,arroz-y-legumbres
NESTUM ARROZ S/A225G,Mir,1635.0,1094.99,In stock,https://www.hiperlibertad.com.ar/nestum-arroz-s-a225g/p,12,almacen,arroz-y-legumbres
AVENA ARROLLADA PLANTY X 200 GRS,Planty,None,1633.0,In stock,https://www.hiperlibertad.com.ar/avena-arrollada-planty-x-200-grs/p,12,almacen,arroz-y-legumbres
TRIGO PELADO EGRAN X500GR,Mir,None,517.0,In stock,https://www.hiperlibertad.com.ar/trigo-egran-pelado-500-gr/p,12,almacen,arroz-y-legumbres
