title,brand,list_price,price,stock,url,branch_id,category,subcategory
FILET DE ANCHOAS EN ACEITE MARBELLA X 90 Gr,Mir,None,2249.0,In stock,https://www.hiperlibertad.com.ar/filet-de-anchoas-en-aceite-marbella-x-90-gr/p,12,almacen,conservas
DURAZNOS EN MITADES ZUMMUN X 820 GR,Zummun,None,1505.0,In stock,https://www.hiperlibertad.com.ar/duraznos-en-mitades-zummun-x-820-gr/p,12,almacen,conservas
GARBANZOS MONTENEVI X 340 GR,Montenevi,335.0,300.0,In stock,https://www.hiperlibertad.com.ar/garbanzos-montenevi-x-340-gr/p,12,almacen,conservas
Picadillo De Carne Clásico Safra X 90 Gr,Safra,302.0,209.0,In stock,https://www.hiperlibertad.com.ar/picadillo-de-carne-clasico-safra-x-90-gr/p,12,almacen,conservas
PATE FOIE SWIFT X90GR,Swift,328.0,219.0,In stock,https://www.hiperlibertad.com.ar/pate-de-foie-swift-x-90-gr/p,12,almacen,conservas
COCTEL DE FRUTAS PIACERE X 820 Gr,Piacere,None,1406.0,In stock,https://www.hiperlibertad.com.ar/coctel-de-frutas-piacere-x-820-gr/p,12,almacen,conservas
POROTOS SECOS REMOJADOS TARRAGONA X 340 Gr,Mir,379.0,283.99,In stock,https://www.hiperlibertad.com.ar/porotos-secos-remojados-tarragona-x-340-gr/p,12,almacen,conservas
ANCHOAS DELICIAS MARINAS ACEITE X 90G,Delicias marinas,1431.0,1072.99,In stock,https://www.hiperlibertad.com.ar/anchoas-delicias-marinas-aceite-x-90g/p,12,almacen,conservas
PERA EN MITADES ZUMMUN X 820 GR,Mir,None,1745.0,In stock,https://www.hiperlibertad.com.ar/pera-en-mitades-zummun-x-820-gr/p,12,almacen,conservas
SALSA LA CAMPAGNOLA POMAROLA X 340 Gr,La Campagnola,403.0,302.25,In stock,https://www.hiperlibertad.com.ar/salsa-la-campagnola-pomarola-x-340-gr/p,12,almacen,conservas
FILET ANCHOA DELICIAS MARINAS,Delicias marinas,None,2118.0,In stock,https://www.hiperlibertad.com.ar/filet-anchoa-delicias-marinas/p,12,almacen,conservas
PUR� DE FRUTAS ZUMMY DISNEY PERA POUCH X 90 G.,Mir,None,338.0,In stock,https://www.hiperlibertad.com.ar/pur-de-frutas-zummy-disney-pera-pouch-x-90-gr/p,12,almacen,conservas
CHOCLO EN GRANOS AMARILLO INCA X 350 Gr,Inca,None,718.0,In stock,https://www.hiperlibertad.com.ar/choclo-en-granos-amarillo-inca-x-350-gr/p,12,almacen,conservas
DURAZNOS EN TROZOS ZUMMUN X 820 GR,Mir,None,1820.0,In stock,https://www.hiperlibertad.com.ar/duraznos-en-trozos-zummun-x-820-gr/p,12,almacen,conservas
DURAZNOS EN MITADES MOLINO Rrojo,Molino Rojo,None,1056.0,In stock,https://www.hiperlibertad.com.ar/duraznos-en-mitades-molino-rrojo/p,12,almacen,conservas
ANCHOAS DELICIAS MARINAS EN ACEITE X 190 Gr,Delicias marinas,None,2479.0,In stock,https://www.hiperlibertad.com.ar/anchoas-delicias-marinas-en-aceite-x-190-gr/p,12,almacen,conservas
DURAZ PIACERIX820GR,Mir,None,1100.0,In stock,https://www.hiperlibertad.com.ar/duraz-piacerix820gr/p,12,almacen,conservas
FILET DE ANCHOA DELICIAS MARINAS PROVENZAL 190GR,Delicias marinas,None,2479.0,In stock,https://www.hiperlibertad.com.ar/filet-de-anchoa-delicias-marinas-provenzal-190gr/p,12,almacen,conservas
LOMO DE ATÚN DELICIAS MARINAS OLIVA 140gr,Delicias marinas,3322.0,2491.99,In stock,https://www.hiperlibertad.com.ar/lomo-de-atun-delicias-marinas-oliva-140gr/p,12,almacen,conservas
Arvejas Montenevi x 340 Gr,Montenevi,None,246.0,In stock,https://www.hiperlibertad.com.ar/arvejas-montenevi-x-340-gr/p,12,almacen,conservas
Duraznos En Trozos Aisol x 820 gr,Mir,None,1119.0,In stock,https://www.hiperlibertad.com.ar/duraznos-en-trozos-aisol-x-820-gr/p,12,almacen,conservas
BERENJENAS EN ESCABECHE GULLO X 330 Gr,Gullo,None,3240.0,In stock,https://www.hiperlibertad.com.ar/berenjenas-en-escabeche-gullo-x-330-gr/p,12,almacen,conservas
CABALLA EN ACEITE PUGLIS X 380,Mir,2153.0,1000.0,In stock,https://www.hiperlibertad.com.ar/caballa-en-aceite-puglisi-x-380gr/p,12,almacen,conservas
LOMITOS DE ATÚN AL NATURAL DELICIAS MARINAS X 190 Gr,Mir,None,2956.0,In stock,https://www.hiperlibertad.com.ar/lomitos-de-at-n-al-natural-delicias-marinas-x-190-gr/p,12,almacen,conservas
POROTOS SECOS INCA X350G,Mir,None,408.0,In stock,https://www.hiperlibertad.com.ar/porotos-secos-inca-x-350g/p,12,almacen,conservas
CABALLA NATURAL PUBLIS X 380,Mir,2153.0,1000.0,In stock,https://www.hiperlibertad.com.ar/caballa-natural-puglisi-x-380gr/p,12,almacen,conservas
AJIES DULCES GULLO X 330 Gr,Gullo,None,2375.0,In stock,https://www.hiperlibertad.com.ar/ajies-dulces-gullo-x-330-gr/p,12,almacen,conservas
SALSA LA CAMPAGNOLA ITALIANA X 340 Gr,La Campagnola,None,360.0,In stock,https://www.hiperlibertad.com.ar/salsa-la-campagnola-italiana-x-340-gr/p,12,almacen,conservas
CORAZONES DE ALCAUCILES GULLO X 330 Gr,Gullo,6769.0,5076.99,In stock,https://www.hiperlibertad.com.ar/corazones-de-alcauciles-gullo-x-330-gr/p,12,almacen,conservas
PURE DE TOMATES ALCO X 520 GR,Alco,None,378.0,In stock,https://www.hiperlibertad.com.ar/pure-de-tomates-alco-x-520-gr/p,12,almacen,conservas
Pate De Foie A La Crema En Lata Swift 88 Gr,Swift,436.0,250.0,In stock,https://www.hiperlibertad.com.ar/pate-de-foie-a-la-crema-en-lata-swift-88-gr/p,12,almacen,conservas
ATUN SI/SAL ACEITE PUGLISIX170,Mir,1946.0,1302.99,In stock,https://www.hiperlibertad.com.ar/atun-en-aceite-puglisi-sin-sal-x-170gr/p,12,almacen,conservas
CHOCLO AMARILLO TARRAGONA EN GRANOS X 340 Gr,Tarragona,None,572.0,In stock,https://www.hiperlibertad.com.ar/choclo-amarillo-tarragona-en-granos-x-340-gr/p,12,almacen,conservas
Picadillo Picante Swift X 90 Gr,Swift,291.0,261.9,In stock,https://www.hiperlibertad.com.ar/picadillo-picante-swift-x-90-gr/p,12,almacen,conservas
LOMITO ATUN EN ACEITE LP 170G,Mir,None,1020.0,In stock,https://www.hiperlibertad.com.ar/lomito-de-atun-lp-en-aceite-x-170-gr/p,12,almacen,conservas
PUR� DE FRUTAS ZUMMY DISNEY MIX FRUTAL POUCH X 90,Mir,None,338.0,In stock,https://www.hiperlibertad.com.ar/pur-de-frutas-zummy-disney-mix-frutal-pouch-x-90-gr/p,12,almacen,conservas
ANCHOAS DELICIAS MARINAS PROVENZAL X 90 GR,Delicias marinas,None,1431.0,In stock,https://www.hiperlibertad.com.ar/anchoas-delicias-marinas-provenzal-x-90-gr/p,12,almacen,conservas
CABALLA PUGLISI S/SAL EN ACEITE X 380GR,Puglisi,None,2146.0,In stock,https://www.hiperlibertad.com.ar/caballa-puglisi-s-sal-en-aceite-x-380gr/p,12,almacen,conservas
