title,brand,list_price,price,stock,url,branch_id,category,subcategory
BUDIN FIRENZE S/ FRUTAS X 200,Mir,959.0,900.0,In stock,https://www.hiperlibertad.com.ar/budin-firenze-s-frutas-x-200gr/p,12,almacen,desayuno-y-merienda
GALLETAS RELLENAS 9 DE ORO VAINILLA LIMON 120 GR,9 De Oro,None,317.72,In stock,https://www.hiperlibertad.com.ar/galletas-rellenas-9-de-oro-vainilla-limon-120-gr/p,12,almacen,desayuno-y-merienda
BUDIN MARM VALENCIANO 170 GRS,Mir,442.0,350.0,In stock,https://www.hiperlibertad.com.ar/budin-valenciano-marmolado-x-170-gr/p,12,almacen,desayuno-y-merienda
GALLETAS MINI PAMELA CHIPS 180 GR,Pamela,None,469.0,In stock,https://www.hiperlibertad.com.ar/galletas-mini-pamela-chips-180-gr/p,12,almacen,desayuno-y-merienda
Galletitas dulces Pamela vainilla 97 Gr,Pamela,None,290.0,In stock,https://www.hiperlibertad.com.ar/galletitas-dulces-pamela-vainilla-97-gr/p,12,almacen,desayuno-y-merienda
CAFE LA VIRGINIA TOR.EQUILIB 500GR,La Virginia,None,2757.0,In stock,https://www.hiperlibertad.com.ar/cafe-la-virginia-tor-equilib-500gr/p,12,almacen,desayuno-y-merienda
"TOSTADAS C/SEMILLA S/TACC,S/L",Mir,1322.0,999.0,In stock,https://www.hiperlibertad.com.ar/tostadas-con-semillas-taeq-4/p,12,almacen,desayuno-y-merienda
GALL MINI PAMELA MANT 180 GR,Pamela,None,396.0,In stock,https://www.hiperlibertad.com.ar/galletitas-de-manteca-pamela-mini-180-gr/p,12,almacen,desayuno-y-merienda
Galletitas Pamela de chocolate 230 Gr,Pamela,None,563.0,In stock,https://www.hiperlibertad.com.ar/galletitas-pamela-de-chocolate-230-gr/p,12,almacen,desayuno-y-merienda
GALLETAS RELLENAS OREO TRIPACK X 354 Gr,Oreo,1671.0,1149.0,In stock,https://www.hiperlibertad.com.ar/galletas-rellenas-oreo-tripack-x-354-gr/p,12,almacen,desayuno-y-merienda
MAGDALENAS CHOCOLATE RELLENAS DULCE DE LECHE DON SATUR 220GR,Energizer,None,561.0,In stock,https://www.hiperlibertad.com.ar/magdalenas-chocolate-rellenas-dulce-de-leche-don-satur-220gr/p,12,almacen,desayuno-y-merienda
Mermelada Damasco Cormillot Frasco,CORMILLOT,None,843.0,In stock,https://www.hiperlibertad.com.ar/mermelada-damasco-cormillot-frasco/p,12,almacen,desayuno-y-merienda
BUDIN MUSSEL.FRUTAS SECA250G,Mir,1363.0,1290.0,In stock,https://www.hiperlibertad.com.ar/budin-mussel-frutas-seca-250gr/p,12,almacen,desayuno-y-merienda
MAGDALENAS DON SATUR V CHIP 200GR,Don Satur,None,561.0,In stock,https://www.hiperlibertad.com.ar/magdalenas-don-satur-v-chip-200gr/p,12,almacen,desayuno-y-merienda
YERBA MATE PLAYADITO SUAVE 1K.,Mir,None,2092.0,In stock,https://www.hiperlibertad.com.ar/yerba-playadito-suave-bcp-1kg/p,12,almacen,desayuno-y-merienda
Leche En Polvo Manfrey Descremada,Manfrey,None,1153.0,In stock,https://www.hiperlibertad.com.ar/leche-en-polvo-manfrey-descremada/p,12,almacen,desayuno-y-merienda
Café Molido Cabrales Tostado Happy Day x 250 gr,Cabrales,2473.0,1700.0,In stock,https://www.hiperlibertad.com.ar/caf-molido-cabrales-tostado-happy-day-x-250-gr/p,12,almacen,desayuno-y-merienda
TE INTI ZEN CALMA ANDINA EN SAQUITOS ENSOBRADOS 15 SAQ,Inti Zen,None,1612.0,In stock,https://www.hiperlibertad.com.ar/te-inti-zen-calma-andina-en-saquitos-ensobrados-15-saq/p,12,almacen,desayuno-y-merienda
GALLETAS RELLENAS RUMBA X 108 Gr,Rumba,275.0,249.0,In stock,https://www.hiperlibertad.com.ar/galletas-rellenas-rumba-x-108-gr/p,12,almacen,desayuno-y-merienda
AZUCAR CLASICA LEDESMA X1KG,Mir,None,1037.0,In stock,https://www.hiperlibertad.com.ar/azucar-ledesma-clasica-1-kg/p,12,almacen,desayuno-y-merienda
DOLCA S. DP X170,Mir,None,2532.0,In stock,https://www.hiperlibertad.com.ar/cafe-instantaneo-dolca-suave-con-mas-aroma-x-170-gr/p,12,almacen,desayuno-y-merienda
GALLETAS PROVIDENCIA CRACKERS X 505 G.,Mir,None,912.0,In stock,https://www.hiperlibertad.com.ar/galleta-la-providencia-crackers-505-gr/p,12,almacen,desayuno-y-merienda
GALLETAS SURTIDO DIVERSION X 398 G.,Mir,None,711.0,In stock,https://www.hiperlibertad.com.ar/galletas-diversion-surtido-x-390-gr/p,12,almacen,desayuno-y-merienda
Azucar Azucel 1 Kilo,Azucel,None,1077.0,In stock,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,12,almacen,desayuno-y-merienda
YERBA CHAMIGO 500G SIN TACC,Mir,None,705.0,In stock,https://www.hiperlibertad.com.ar/yerba-chamigo-sin-tacc-x-500-gr/p,12,almacen,desayuno-y-merienda
PAN DULCE FIRENZE C/FRUT Y PASAS X500GR,Mir,2361.0,2200.0,In stock,https://www.hiperlibertad.com.ar/pan-dulce-firenze-c-fruta-y-pasas-x-500gr/p,12,almacen,desayuno-y-merienda
TE INTI ZEN PATAGONIA ROOIBOS EN SAQUITOS ENSOBRADOS 15 SAQ,Inti Zen,None,1824.0,In stock,https://www.hiperlibertad.com.ar/te-inti-zen-patagonia-rooibos-en-saquitos-ensobrados-15-saq/p,12,almacen,desayuno-y-merienda
TE PIPERPOL DIURETICO EN SAQUITOS 25 UN,Piperpol,1652.0,1125.99,In stock,https://www.hiperlibertad.com.ar/te-piperpol-diuretico-en-saquitos-25-un/p,12,almacen,desayuno-y-merienda
BIZCOCHO 9 DE ORO AGRID. X200G,Mir,396.0,356.4,In stock,https://www.hiperlibertad.com.ar/bizcochos-9-de-oro-agridulces-200-gr/p,12,almacen,desayuno-y-merienda
GALLETAS 9 DE ORO AVENA Y MIEL X 120 Gr,9 De Oro,None,351.73,In stock,https://www.hiperlibertad.com.ar/galletas-9-de-oro-avena-y-miel-x-120-gr/p,12,almacen,desayuno-y-merienda
Té en saquitos Inti Zen amazonia mango papaya y durazno 15 Un,Inti Zen,None,1612.0,In stock,https://www.hiperlibertad.com.ar/te-en-saquitos-inti-zen-amazonia-mango-papaya-y-durazno-15-un/p,12,almacen,desayuno-y-merienda
GALLETAS SURTIDO BAGLEY X 398 G.,Mir,None,604.0,In stock,https://www.hiperlibertad.com.ar/galletas-surtido-bagley-x-390-gr/p,12,almacen,desayuno-y-merienda
Pepas Don Satur 300 Gr,Don Satur,None,361.0,In stock,https://www.hiperlibertad.com.ar/pepas-don-satur-300-gr/p,12,almacen,desayuno-y-merienda
GALLETAS PEPITOS X 119 Gr,Pepitos,601.0,449.0,In stock,https://www.hiperlibertad.com.ar/galletas-pepitos-x-119-gr/p,12,almacen,desayuno-y-merienda
Leche en Polvo Entera Manfrey 400 Gr,Manfrey,None,1153.0,In stock,https://www.hiperlibertad.com.ar/leche-en-polvo-entera-manfrey-400-gr/p,12,almacen,desayuno-y-merienda
Café en Cápsulas Cabrales Cortado Caja x 12 U,Cabrales,2992.0,2244.0,In stock,https://www.hiperlibertad.com.ar/caf-en-c-psulas-cabrales-cortado-caja-x-12-u/p,12,almacen,desayuno-y-merienda
Bizcochos Don Satur dulces 200 Gr,Don Satur,None,359.0,In stock,https://www.hiperlibertad.com.ar/bizcochos-don-satur-dulces-200-gr/p,12,almacen,desayuno-y-merienda
YERBA LA MERCED MONTE 500G,La Merced,None,1945.0,In stock,https://www.hiperlibertad.com.ar/yerba-la-merced-monte-500g/p,12,almacen,desayuno-y-merienda
None,None,None,None,Out of stock,https://www.hiperlibertad.com.ar/galletas-pamela-avena-y-pasas-180g/p,12,almacen,desayuno-y-merienda
Café en Cápsulas Cabrales Espresso Caja x 12 U,Cabrales,2991.0,2243.25,In stock,https://www.hiperlibertad.com.ar/caf-en-c-psulas-cabrales-espresso-caja-x-12-u/p,12,almacen,desayuno-y-merienda
YERBA PLAYADITO SUAVE BCP500G,Playadito,None,1239.0,In stock,https://www.hiperlibertad.com.ar/yerba-playadito-suave-bcp500g/p,12,almacen,desayuno-y-merienda
DOLCA TRA DP 170G,Mir,None,2532.0,In stock,https://www.hiperlibertad.com.ar/cafe-instantaneo-dolca-con-mas-aroma-x-170-gr/p,12,almacen,desayuno-y-merienda
GALLETAS PAMELA AVENA Y CHIPS 180G,Pamela,481.0,400.0,In stock,https://www.hiperlibertad.com.ar/galletas-pamela-avena-y-chips-180g/p,12,almacen,desayuno-y-merienda
GALLETAS MERENGADAS FRUTILLA X 88 G.,Mir,None,251.0,In stock,https://www.hiperlibertad.com.ar/galletas-merengadas-frutilla-x-88-gr/p,12,almacen,desayuno-y-merienda
Galletas Vainilla Pozo 160 Gr,Pozo,None,571.0,In stock,https://www.hiperlibertad.com.ar/galletas-vainilla-pozo-160-gr/p,12,almacen,desayuno-y-merienda
OBLEA OBLITA NOIR X 50G,Mir,None,204.0,In stock,https://www.hiperlibertad.com.ar/oblea-oblita-noir-x-50g/p,12,almacen,desayuno-y-merienda
BUDIN VAIN VALENCIANO 170 GRS,Mir,442.0,350.0,In stock,https://www.hiperlibertad.com.ar/budin-valenciano-vainilla-x-170-gr/p,12,almacen,desayuno-y-merienda
Café Molido Cabrales 250 G,Cabrales,1194.0,850.0,In stock,https://www.hiperlibertad.com.ar/cafe-molido-cabrales-250-g/p,12,almacen,desayuno-y-merienda
BUDIN MUSSEL CHIP CHOCO X250G,Mir,None,1231.0,In stock,https://www.hiperlibertad.com.ar/budin-mussel-chip-choco-x-250gr/p,12,almacen,desayuno-y-merienda
CAFE INSTANTANEO NESCAFE DOLCA LATTE X 125 Gr,Dolca,1025.0,599.0,In stock,https://www.hiperlibertad.com.ar/cafe-instantaneo-nescafe-dolca-latte-x-125-gr/p,12,almacen,desayuno-y-merienda
Mermelada Cormillot Frutilla Light 390 Gr,Dr. Cormillot,None,1077.0,In stock,https://www.hiperlibertad.com.ar/mermelada-cormillot-frutilla-light-390-gr/p,12,almacen,desayuno-y-merienda
Galletitas dulces Pamela chocolate 97 Gr,Pamela,None,289.0,In stock,https://www.hiperlibertad.com.ar/galletitas-dulces-pamela-chocolate-97-gr/p,12,almacen,desayuno-y-merienda
