title,brand,list_price,price,stock,url,branch_id,category,subcategory
NUCREM GEROGALOS X 84 GR,Georgalos,448.0,400.0,In stock,https://www.hiperlibertad.com.ar/nucrem-gerogalos-x-84-gr/p,12,almacen,golosinas-y-chocolates
Chocolate Cofler yogurt de frutilla 64 Gr,Cofler,None,653.0,In stock,https://www.hiperlibertad.com.ar/chocolate-cofler-yogurt-de-frutilla-64-gr/p,12,almacen,golosinas-y-chocolates
OBLEA GALLO CHOCONUSS X20G,Gallo,215.0,143.99,In stock,https://www.hiperlibertad.com.ar/oblea-gallo-choconuss-x20g/p,12,almacen,golosinas-y-chocolates
CARAMELO PICO DULCE LHERITIER X 150 GR,LHERITIER,675.0,505.99,In stock,https://www.hiperlibertad.com.ar/caramelo-pico-dulce-lheritier-x-150-gr/p,12,almacen,golosinas-y-chocolates
CHOCO MOUSSE DDL GEORG,Mir,None,1200.0,In stock,https://www.hiperlibertad.com.ar/chocolate-georgalos-delicias-relleno-con-mousse-dulce-de-leche-x-100-gr/p,12,almacen,golosinas-y-chocolates
MANI C/CHOCO MANIKING 80G,Mir,None,568.0,In stock,https://www.hiperlibertad.com.ar/mani-c-choco-maniking-80g/p,12,almacen,golosinas-y-chocolates
GARRAPI�ADA DE MAN� X 80 GRS,Mir,None,283.0,In stock,https://www.hiperlibertad.com.ar/garrapi-ada-de-man-x-80-grs/p,12,almacen,golosinas-y-chocolates
"OBLEA KIT KAT 4 FINGER DARK X 41,5 G.",Mir,None,436.0,In stock,https://www.hiperlibertad.com.ar/oblea-kit-kat-dark-x41-5gr/p,12,almacen,golosinas-y-chocolates
Confites de chocolate Rocklets 150 Gr,Rocklets,None,1501.0,In stock,https://www.hiperlibertad.com.ar/confites-de-chocolate-rocklets-150-gr/p,12,almacen,golosinas-y-chocolates
ALFAJOR TRISHOT X 60 G.,Mir,443.0,339.0,In stock,https://www.hiperlibertad.com.ar/alfajor-triple-trishot-x-60-gr/p,12,almacen,golosinas-y-chocolates
Bombones Garoto 250 Gr,Garoto,None,1421.0,In stock,https://www.hiperlibertad.com.ar/bombones-garoto-250-gr/p,12,almacen,golosinas-y-chocolates
Chupetin Lheriter Pelotitas 50 u.,Lheriter,1031.0,772.99,In stock,https://www.hiperlibertad.com.ar/chupetin-lheriter-pelotitas-50-u/p,12,almacen,golosinas-y-chocolates
CHUPETINES BOLA LOCA RIVER PLATE X 432 Gr,LHERITIER,1451.0,942.99,In stock,https://www.hiperlibertad.com.ar/chupetines-bola-loca-river-plate-x-432-gr/p,12,almacen,golosinas-y-chocolates
Chocolate Blanco Aireado Cofler 55 Gr,Cofler,None,734.0,In stock,https://www.hiperlibertad.com.ar/chocolate-blanco-aireado-cofler-55-gr/p,12,almacen,golosinas-y-chocolates
Chocolate Cofler 55 Gr,Cofler,732.0,489.99,In stock,https://www.hiperlibertad.com.ar/chocolate-cofler-55-gr/p,12,almacen,golosinas-y-chocolates
ALFAJOR OREO TRIPLE X 56 Gr,Oreo,None,443.0,In stock,https://www.hiperlibertad.com.ar/alfajor-oreo-triple-x-56-gr/p,12,almacen,golosinas-y-chocolates
Alfajor Chocolate Cachafaz 60 Gr,Cachafaz,None,645.0,In stock,https://www.hiperlibertad.com.ar/alfajor-chocolate-cachafaz-60-gr/p,12,almacen,golosinas-y-chocolates
ALFAJOR CRISPY TYM X 30 GR,Tym,None,245.0,In stock,https://www.hiperlibertad.com.ar/alfajor-crispy-tym-x-30-gr/p,12,almacen,golosinas-y-chocolates
CHOCOLATE VIZZIO LECHE X 90 Gr,VIZZIO,None,591.0,In stock,https://www.hiperlibertad.com.ar/chocolate-vizzio-leche-x-90-gr/p,12,almacen,golosinas-y-chocolates
"CUBANITO OBLITA CHOCOLATE X 5,5 Gr",Oblita,60.0,40.0,In stock,https://www.hiperlibertad.com.ar/cubanito-oblita-chocolate-x-5-5-gr/p,12,almacen,golosinas-y-chocolates
Alfajor Milka triple mousse blanco 55 Gr,Milka,None,400.0,In stock,https://www.hiperlibertad.com.ar/alfajor-milka-triple-mousse-blanco-55-gr/p,12,almacen,golosinas-y-chocolates
CHOCOLATE NESTLE CLASSIC DIPLOMATA X 80 GR,Nestlé,None,651.0,In stock,https://www.hiperlibertad.com.ar/chocolate-nestle-classic-diplomata-x-80-gr/p,12,almacen,golosinas-y-chocolates
Alfajor Terrabusi dulce de leche 70 g.,Terrabusi,443.0,339.0,In stock,https://www.hiperlibertad.com.ar/alfajor-terrabusi-dulce-de-leche-70-g/p,12,almacen,golosinas-y-chocolates
TURRON GEOR.MANI SOFT S/FRX130,Mir,1051.0,850.0,In stock,https://www.hiperlibertad.com.ar/turron-georgalos-mani-soft-s-fr-x-130gr/p,12,almacen,golosinas-y-chocolates
CHUPETINES LHERITIER BOLA LOCA BOCA JRS X 432 Gr,LHERITIER,None,1451.0,In stock,https://www.hiperlibertad.com.ar/chupetines-lheritier-bola-loca-boca-jrs-x-432-gr/p,12,almacen,golosinas-y-chocolates
POSTRE MANI SABOR TRADICIONAL LHERITIER X 100 G,LHERITIER,494.0,370.99,In stock,https://www.hiperlibertad.com.ar/postre-mani-sabor-tradicional-lheritier-x-100-g/p,12,almacen,golosinas-y-chocolates
Chocolate con leche Cofler 100 Gr,Cofler,None,1172.0,In stock,https://www.hiperlibertad.com.ar/chocolate-con-leche-cofler-100-gr/p,12,almacen,golosinas-y-chocolates
TABLETA DE CHOCOLATE ARCOR LECHE CON MAN� X 95 G.,Mir,None,820.0,In stock,https://www.hiperlibertad.com.ar/tableta-de-chocolate-con-leche-arcor-con-mani-x-95-gr/p,12,almacen,golosinas-y-chocolates
NUCREM GEORGALOS X 105 Gr,Georgalos,None,558.0,In stock,https://www.hiperlibertad.com.ar/nucrem-georgalos-x-105-gr/p,12,almacen,golosinas-y-chocolates
GARRAPI�ADA GEORGALOS MANI X80,Mir,None,390.0,In stock,https://www.hiperlibertad.com.ar/garrapi-ada-georgalos-x-80-gr/p,12,almacen,golosinas-y-chocolates
OBLEA DE ARROZ GALLO SNACKS X 20 Gr,Gallo Snacks,None,229.0,In stock,https://www.hiperlibertad.com.ar/oblea-de-arroz-gallo-snacks-x-20-gr/p,12,almacen,golosinas-y-chocolates
CHOCOLATE VIZZIO BLANCO X 90 Gr,VIZZIO,None,593.0,In stock,https://www.hiperlibertad.com.ar/chocolate-vizzio-blanco-x-90-gr/p,12,almacen,golosinas-y-chocolates
ALFAJOR CHOCOARROZ GALLO LIMON X 22 Gr,Chocoarroz,None,208.0,In stock,https://www.hiperlibertad.com.ar/alfajor-chocoarroz-gallo-limon-x-22-gr/p,12,almacen,golosinas-y-chocolates
TURRON GEORG.MANI MIEL X120G,Mir,None,650.0,In stock,https://www.hiperlibertad.com.ar/turron-georgalos-mani-miel-x-120gr/p,12,almacen,golosinas-y-chocolates
CHUPETINES BOLA LOCA MAX CEREZA MANZANA X 25 U,LHERITIER,None,1709.0,In stock,https://www.hiperlibertad.com.ar/chupetines-bola-loca-max-cereza-manzana-x-25-u/p,12,almacen,golosinas-y-chocolates
Chupetín Lheritier frutal Chupetoncito 35 Gr,Lheriter,None,298.0,In stock,https://www.hiperlibertad.com.ar/chupet-n-lheritier-frutal-chupetoncito-35-gr/p,12,almacen,golosinas-y-chocolates
Chocolitos Aguila Blanco 150 Gr,Aguila,1546.0,1004.99,In stock,https://www.hiperlibertad.com.ar/chocolitos-aguila-blanco-150-gr/p,12,almacen,golosinas-y-chocolates
CAJA NAVIDEÑA ESPECIAL,Mir,6951.0,5900.0,In stock,https://www.hiperlibertad.com.ar/caja-navidena-especial/p,12,almacen,golosinas-y-chocolates
TURRON CANNETT.MANI X100GR,Mir,529.0,450.0,In stock,https://www.hiperlibertad.com.ar/turron-cannettine-mani-x-100gr/p,12,almacen,golosinas-y-chocolates
ALFAJOR DE ARROZ CHOCO CRUNCH GALLO X 20GR,Gallo,250.0,145.99,In stock,https://www.hiperlibertad.com.ar/alfajor-de-arroz-choco-crunch-gallo-x-20gr/p,12,almacen,golosinas-y-chocolates
CARAMELOS MASTICABLES PICO DULCE BIT X 408 Gr,LHERITIER,None,1692.0,In stock,https://www.hiperlibertad.com.ar/caramelos-masticables-pico-dulce-bit-x-408-gr/p,12,almacen,golosinas-y-chocolates
OBLEA BAÑADA TYM 20G,Tym,None,105.0,In stock,https://www.hiperlibertad.com.ar/oblea-banada-tym-20g/p,12,almacen,golosinas-y-chocolates
POSTRE MANTECOL CLASICO X 253 GR,Mantecol,1956.0,1790.0,In stock,https://www.hiperlibertad.com.ar/postre-mantecol-clasico-x-253-gr/p,12,almacen,golosinas-y-chocolates
ALFAJOR CHOCOARROZ LIM GALL X6.,Mir,None,1032.0,In stock,https://www.hiperlibertad.com.ar/alfajor-chocoarroz-lim-gall-x6/p,12,almacen,golosinas-y-chocolates
Alfajor Yuka Fruta s/tacc X 6,YUKA,None,1676.0,In stock,https://www.hiperlibertad.com.ar/alfajor-yuka-fruta-s-tacc-x-6/p,12,almacen,golosinas-y-chocolates
Chocolate Cofler con rocklets 55 Gr,Cofler,None,732.0,In stock,https://www.hiperlibertad.com.ar/chocolate-cofler-con-rocklets-55-gr/p,12,almacen,golosinas-y-chocolates
CHOCOLATE NESTLE CLASSIC CON LECHE X 80 GR,Nestlé,710.0,499.0,In stock,https://www.hiperlibertad.com.ar/chocolate-nestle-classic-con-leche-x-80-gr/p,12,almacen,golosinas-y-chocolates
CONFITE MANI CANNETTINE X80GR,Mir,506.0,400.0,In stock,https://www.hiperlibertad.com.ar/confite-mani-cannettine-x-80gr/p,12,almacen,golosinas-y-chocolates
Oblea Cofler Graffiti 45 Gr,Graffiti,None,356.0,In stock,https://www.hiperlibertad.com.ar/oblea-cofler-graffiti-45-gr/p,12,almacen,golosinas-y-chocolates
PASAS DE UVA CON CHOCOLATE CON LECHE COFLER X 100 Gr,Cofler,1834.0,1650.0,In stock,https://www.hiperlibertad.com.ar/pasas-de-uva-con-chocolate-con-leche-cofler-x-100-gr/p,12,almacen,golosinas-y-chocolates
TURRON MANI NOEL X60GR,Mir,None,368.0,In stock,https://www.hiperlibertad.com.ar/turron-mani-noel-x-60gr/p,12,almacen,golosinas-y-chocolates
Barra Yogubar 20 Gr,Gallo Snacks,None,213.0,In stock,https://www.hiperlibertad.com.ar/barra-yogubar-20-gr/p,12,almacen,golosinas-y-chocolates
Turron De Maní Canettine Semiblando x 80 Gr,Mir,550.0,490.0,In stock,https://www.hiperlibertad.com.ar/turron-de-man-canettine-semiblando-x-80-gr/p,12,almacen,golosinas-y-chocolates
CHICLE BELDENT MENTA FUERTE QI X 10 GR,Beldent,None,218.0,In stock,https://www.hiperlibertad.com.ar/chicle-beldent-menta-fuerte-qi-x-10-gr/p,12,almacen,golosinas-y-chocolates
CER.ARCOR CHOCOLATOSOS 70G,Mir,None,962.0,In stock,https://www.hiperlibertad.com.ar/cereal-arcor-chocolatosos-ba-ados-en-chocolate-x-70-gr/p,12,almacen,golosinas-y-chocolates
