title,brand,list_price,price,stock,url,branch_id,category,subcategory
Vitina Clásica Luchetti Con Calcio 250 Gr,Lucchetti,None,488.0,In stock,https://www.hiperlibertad.com.ar/vitina-clasica-luchetti-con-calcio-250-gr/p,12,almacen,harinas
HAR C�SPIDE LEUX1KG,Mir,None,698.0,In stock,https://www.hiperlibertad.com.ar/harina-cuspide-leudante-1kg/p,12,almacen,harinas
Galletas rellenas Smams Relleno Chocolate x 105 gr,Smams,None,538.0,In stock,https://www.hiperlibertad.com.ar/galletas-rellenas-smams-relleno-chocolate-x-105-gr/p,12,almacen,harinas
HARINA 0000 MORIXE FORTIVAC X 1 Kg,Morixe,None,535.0,In stock,https://www.hiperlibertad.com.ar/harina-0000-morixe-fortivac-x-1-kg/p,12,almacen,harinas
PURE DE MANZANA GERBER X 113 Gr,Gerber,None,472.0,In stock,https://www.hiperlibertad.com.ar/pure-de-manzana-gerber-x-113-gr/p,12,almacen,harinas
NESTUM MULTI 225G,Mir,None,1468.0,In stock,https://www.hiperlibertad.com.ar/nestum-multi-225g/p,12,almacen,harinas
NESTUM® sabor Banana x 225gr,Nestum,1635.0,1094.99,In stock,https://www.hiperlibertad.com.ar/nestum-sabor-banana-x-225gr/p,12,almacen,harinas
PRE MAIZENA BIZ CHO S/T X450G,Mir,None,809.0,In stock,https://www.hiperlibertad.com.ar/premezcla-maizena-bizcochuelo-de-chocolate-x-450-gr/p,12,almacen,harinas
SEMOLA GRUESA BONALMA X 500 Gr,Bonalma,None,2487.0,In stock,https://www.hiperlibertad.com.ar/semola-gruesa-bonalma-x-500-gr/p,12,almacen,harinas
Premezcla Harina Gourmet Pizza 550 Gr,Gourmet,None,477.57,In stock,https://www.hiperlibertad.com.ar/premezcla-harina-gourmet-pizza-550-gr/p,12,almacen,harinas
Premezcla Lucchetti Tortas Fritas x 500 gr,Lucchetti,None,832.0,In stock,https://www.hiperlibertad.com.ar/premezcla-lucchetti-tortas-fritas-x-500-gr/p,12,almacen,harinas
PRE MAIZENA BROW S/T X450G,Mir,848.0,635.99,In stock,https://www.hiperlibertad.com.ar/premezcla-maizena-brownies-x-450-gr/p,12,almacen,harinas
HARINA LEUDANTE CAPANNOLI X 1 Kg,Mir,None,465.0,In stock,https://www.hiperlibertad.com.ar/harina-leudante-capannoli-x-1-kg/p,12,almacen,harinas
FECULA MAIZ EGRAN X500GR,Mir,None,2341.0,In stock,https://www.hiperlibertad.com.ar/almidon-de-maiz-egran-500-gr/p,12,almacen,harinas
HARINA LEUDANTE MORIXE FORTIVAC X 1 Kg,Morixe,None,632.0,In stock,https://www.hiperlibertad.com.ar/harina-leudante-morixe-fortivac-x-1-kg/p,12,almacen,harinas
PURE DE PAPAS YUSPE X 125 Gr,Yuspe,None,1148.0,In stock,https://www.hiperlibertad.com.ar/pure-de-papas-yuspe-x-125-gr/p,12,almacen,harinas
Premezcla Lucchetti Ñoquis De Papa Tipo Caseros X 500 Gr,Lucchetti,None,1589.0,In stock,https://www.hiperlibertad.com.ar/premezcla-lucchetti-oquis-de-papa-tipo-caseros-x-500-gr/p,12,almacen,harinas
PREMEZCLA PARA PIZZA MAMA COCINA PLUS X 500 Gr,Mama Cocina,None,309.0,In stock,https://www.hiperlibertad.com.ar/premezcla-para-pizza-mama-cocina-plus-x-500-gr/p,12,almacen,harinas
HARINA LEU CA�UELAS X 1KG,Mir,None,452.0,In stock,https://www.hiperlibertad.com.ar/harina-ca-uelas-leudante-x-1kg/p,12,almacen,harinas
NESTUM TR MIEL 225G,Mir,1541.0,1031.99,In stock,https://www.hiperlibertad.com.ar/nestum-tr-miel-225g/p,12,almacen,harinas
PREMEZCLA PIZZA INTGRAL GOURMET 550GR,Pureza,None,501.0,In stock,https://www.hiperlibertad.com.ar/premezcla-pizza-intgral-gourmet-550gr/p,12,almacen,harinas
