title,brand,list_price,price,stock,url,branch_id,category,subcategory
Tostadas Veneziana Light Saladas 200 Gr,Veneziana,None,947.0,In stock,https://www.hiperlibertad.com.ar/tostadas-veneziana-light-saladas-200-gr/p,12,almacen,panificados
Pan Integral con Salvado Veneziana integral 360 Gr,Veneziana,None,801.0,In stock,https://www.hiperlibertad.com.ar/pan-integral-con-salvado-veneziana-integral-360-gr/p,12,almacen,panificados
Pan de Campo Veneziana Tipo Casero 400 Gr,Veneziana,None,1007.0,In stock,https://www.hiperlibertad.com.ar/pan-de-campo-veneziana-tipo-casero-400-gr/p,12,almacen,panificados
PAN ARABE X 4 UN,Frescos,None,449.0,In stock,https://www.hiperlibertad.com.ar/pan-arabe-x-4-un/p,12,almacen,panificados
PAN PETIT X 500G,Frescos,None,419.0,In stock,https://www.hiperlibertad.com.ar/pan-petit-x-500g/p,12,almacen,panificados
Pan Hamburguesa Veneziana x 4 un - 210 Gr,Veneziana,None,550.0,In stock,https://www.hiperlibertad.com.ar/pan-hamburguesa-veneziana-x-4-un-210-gr/p,12,almacen,panificados
CRIOLLITOS COMUNES X 250 G,Frescos,None,399.0,In stock,https://www.hiperlibertad.com.ar/criollitos-comunes-x-250-g/p,12,almacen,panificados
Pan Multicereal Veneziana Cormillot 410 Gr,Veneziana,None,1071.0,In stock,https://www.hiperlibertad.com.ar/pan-multicereal-veneziana-cormillot-410-gr/p,12,almacen,panificados
TOST DIET MESA TRAD FITZX200G,Mir,None,407.0,In stock,https://www.hiperlibertad.com.ar/tost-diet-mesa-trad-fitzx200g/p,12,almacen,panificados
Pan Lactal Familiar Veneziana Blanco 600 Gr,Veneziana,None,1111.0,In stock,https://www.hiperlibertad.com.ar/pan-lactal-familiar-veneziana-blanco-600-gr/p,12,almacen,panificados
Budín de Vainilla con Chips de Chocolate X 160 Gr,Elaboración Propia,None,751.0,In stock,https://www.hiperlibertad.com.ar/budin-de-vainilla-con-chips-de-chocolate-x-160-gr/p,12,almacen,panificados
PAN INTEGRAL TAEQ,TAEQ,None,419.0,In stock,https://www.hiperlibertad.com.ar/pan-integral-taeq/p,12,almacen,panificados
Pan de Hamburguesa Veneziana 4 Un - 210 Gr,Veneziana,None,621.0,In stock,https://www.hiperlibertad.com.ar/pan-de-hamburguesa-veneziana-4-un-210-gr/p,12,almacen,panificados
GRISINES FIRENZE FINOS CON SALVADO X400GR,FIRENZE,None,1187.0,In stock,https://www.hiperlibertad.com.ar/grisines-firenze-finos-con-salvado-x400gr/p,12,almacen,panificados
Grisines Blancos Veneziana 180 Gr,Veneziana,None,465.0,In stock,https://www.hiperlibertad.com.ar/grisines-blancos-veneziana-180-gr/p,12,almacen,panificados
CRIOLLITOS DE HOJALDRE X 250 G,Frescos,None,419.0,In stock,https://www.hiperlibertad.com.ar/criollitos-de-hojaldre-x-250-g/p,12,almacen,panificados
TOSTADAS FIRENZE CON GLUTEN 180G,FIRENZE,None,446.0,In stock,https://www.hiperlibertad.com.ar/tostadas-firenze-con-gluten-180g/p,12,almacen,panificados
PAN DE LOMO X 4 U,Elaboración Propia,None,599.0,In stock,https://www.hiperlibertad.com.ar/pan-de-lomo-x-4-u/p,12,almacen,panificados
Grisines Salvado Veneziana 180 Gr,Veneziana,None,465.0,In stock,https://www.hiperlibertad.com.ar/grisines-salvado-veneziana-180-gr/p,12,almacen,panificados
Pan Integral Dr. Cormillot Veneziana 630 Gr,Dr. Cormillot,None,1408.0,In stock,https://www.hiperlibertad.com.ar/pan-integral-dr-cormillot-veneziana-630-gr/p,12,almacen,panificados
Grisines Trisalvado Veneziana Light 180 Gr,Veneziana,None,467.0,In stock,https://www.hiperlibertad.com.ar/grisines-trisalvado-veneziana-light-180-gr/p,12,almacen,panificados
Pan Panchos Veneziana x 6 un - 210 Gr,Veneziana,None,576.0,In stock,https://www.hiperlibertad.com.ar/pan-panchos-veneziana-x-6-un-210-gr/p,12,almacen,panificados
REBOZADOR MORIXEX1KG,Mir,560.0,424.87,In stock,https://www.hiperlibertad.com.ar/rebozador-morixe-1kg/p,12,almacen,panificados
Tortilla Integral Veneziana Practirica Cormillot 6 un - 165 Gr,Veneziana,None,465.0,In stock,https://www.hiperlibertad.com.ar/tortilla-integral-veneziana-practirica-cormillot-6-un-165-gr/p,12,almacen,panificados
Tostaditas de Arroz Dos Hermanos Sin Sal 120 Gr,Dos Hermanos,None,384.0,In stock,https://www.hiperlibertad.com.ar/tostaditas-de-arroz-dos-hermanos-sin-sal-120-gr/p,12,almacen,panificados
Grisines Firenze Finos 400 G,FIRENZE,None,1246.0,In stock,https://www.hiperlibertad.com.ar/grisines-firenze-finos-400-g/p,12,almacen,panificados
Tortilla Clasica Veneziana Practiricas 6 un - 165 Gr,Veneziana,None,465.0,In stock,https://www.hiperlibertad.com.ar/tortilla-clasica-veneziana-practiricas-6-un-165-gr/p,12,almacen,panificados
PAN DE CHORIPAN X 6 UN,Elaboración Propia,None,429.0,In stock,https://www.hiperlibertad.com.ar/pan-de-choripan-x-6-un/p,12,almacen,panificados
Tostadas Fitz Roy Salvado 200 Gr,Mir,None,486.0,In stock,https://www.hiperlibertad.com.ar/tostadas-fitz-roy-salvado-200-gr/p,12,almacen,panificados
PAN TORPEDO C/CPC X U ECOMM,Mir,None,359.0,In stock,https://www.hiperlibertad.com.ar/pan-torpedo-x-un/p,12,almacen,panificados
Tostadas Fitz Roy Gluten 200 Gr,OB,None,469.0,In stock,https://www.hiperlibertad.com.ar/tostadas-fitz-roy-gluten-200-gr/p,12,almacen,panificados
Grisines Clasicos Veneziana 180 Gr,Veneziana,None,465.0,In stock,https://www.hiperlibertad.com.ar/grisines-clasicos-veneziana-180-gr/p,12,almacen,panificados
TOSTADAS FIRENZE SIN SAL X 180 Gr,FIRENZE,None,446.0,In stock,https://www.hiperlibertad.com.ar/tostadas-firenze-sin-sal-x-180-gr/p,12,almacen,panificados
TOSTADA CORMILLOT SALVADO 200G,Mir,None,825.0,In stock,https://www.hiperlibertad.com.ar/tostada-cormillot-salvado-200g/p,12,almacen,panificados
TOSTADAS CORMILLOT S/SAL 200G,Mir,None,888.0,In stock,https://www.hiperlibertad.com.ar/tostadas-cormillot-s-sal-200g/p,12,almacen,panificados
Budín de Limón x 160 Gr,Elaboración Propia,None,751.0,In stock,https://www.hiperlibertad.com.ar/budin-de-limon-x-160-gr/p,12,almacen,panificados
Rebozador Morixe 500 Gr,Morixe,None,305.53,In stock,https://www.hiperlibertad.com.ar/rebozador-morixe-500-gr/p,12,almacen,panificados
TOST.CORMILLOT MULTICEREA 200G,CORMILLOT,None,1048.0,In stock,https://www.hiperlibertad.com.ar/tost-cormillot-multicerea-200g/p,12,almacen,panificados
Pan Lacteado Veneziana 400 Gr,Veneziana,None,730.0,In stock,https://www.hiperlibertad.com.ar/pan-lacteado-veneziana-400-gr/p,12,almacen,panificados
MEDIALUNAS X UN,Frescos,None,199.0,In stock,https://www.hiperlibertad.com.ar/medialunas-x-un-3/p,12,almacen,panificados
GRISINES FIRENZE SALVADO X 200 GR,FIRENZE,None,618.0,In stock,https://www.hiperlibertad.com.ar/grisines-firenze-salvado-x-200-gr/p,12,almacen,panificados
Grisin Multicereal Cormillot 180 Gr,Dr. Cormillot,None,467.0,In stock,https://www.hiperlibertad.com.ar/grisin-multicereal-cormillot-180-gr/p,12,almacen,panificados
PAN FRANCÉS X 500 G,Frescos,None,419.0,In stock,https://www.hiperlibertad.com.ar/pan-frances-x-500-g/p,12,almacen,panificados
PAN BAGUETTE SALVADO X UN,Frescos,None,319.0,In stock,https://www.hiperlibertad.com.ar/pan-baguette-salvado-x-un-3/p,12,almacen,panificados
TOSTADAS FIRENZE DULCE 180G.,FIRENZE,None,446.0,In stock,https://www.hiperlibertad.com.ar/tostadas-firenze-dulce-180g/p,12,almacen,panificados
Talitas Don Satur 140 Gr,Don Satur,None,529.0,In stock,https://www.hiperlibertad.com.ar/talitas-don-satur-140-gr/p,12,almacen,panificados
PAN DE CAMPO X UN,Frescos,None,429.0,In stock,https://www.hiperlibertad.com.ar/pan-de-campo-x-un-2/p,12,almacen,panificados
Tostadas Veneziana Light Dulces 200 Gr,Veneziana,None,812.0,In stock,https://www.hiperlibertad.com.ar/tostadas-veneziana-light-dulces-200-gr/p,12,almacen,panificados
PAN LACTEADO LA PANERITA BLANCO X 400 Gr,Mir,None,645.0,In stock,https://www.hiperlibertad.com.ar/pan-lacteado-la-panerita-blanco-x-400-gr/p,12,almacen,panificados
MADALENAS VAINILLA X 175 GR,Frescos,None,701.0,In stock,https://www.hiperlibertad.com.ar/madalenas-vainilla-x-175-gr/p,12,almacen,panificados
CREMONA X UN,Elaboración Propia,None,549.0,In stock,https://www.hiperlibertad.com.ar/cremona-x-un/p,12,almacen,panificados
Budín de Vainilla x 160 Gr,Elaboración Propia,None,751.0,In stock,https://www.hiperlibertad.com.ar/budin-de-vainilla-x-160-gr/p,12,almacen,panificados
RAVIOLES POLLO/ESPINACA 1 KG,Frescos,None,1520.0,In stock,https://www.hiperlibertad.com.ar/ravioles-pollo-espinaca-1-kg/p,12,almacen,panificados
PAN BAGUETE x unidad,Mir,None,319.0,In stock,https://www.hiperlibertad.com.ar/pan-baguete-x-unidad-2/p,12,almacen,panificados
SANDWICHES DE MIGA JAMON COCIDO Y QUESO PAN NEGRO X 6 U,Elaboración Propia,None,2299.0,In stock,https://www.hiperlibertad.com.ar/sandwiches-de-miga-jamon-cocido-y-queso-pan-negro-x-6-u-2/p,12,almacen,panificados
MEDIALUNAS CON DULCE DE LECHE X U,Elaboración Propia,None,230.0,In stock,https://www.hiperlibertad.com.ar/medialunas-con-dulce-de-leche-x-u-2/p,12,almacen,panificados
PALMERITAS X 180 GR,Mir,None,904.0,In stock,https://www.hiperlibertad.com.ar/palmeritas-x-180-gr/p,12,almacen,panificados
Bizcochuelo Rectangular de Chocolate 3 Capas X 500 Gr,Elaboración Propia,None,2479.0,In stock,https://www.hiperlibertad.com.ar/bizcochuelo-rectangular-de-chocolate-3-capas-x-500-gr/p,12,almacen,panificados
Budín Marmolado x 160 Gr,Elaboración Propia,None,751.0,In stock,https://www.hiperlibertad.com.ar/budin-marmolado-x-160-gr/p,12,almacen,panificados
Pionono Vainilla Sin TACC X 170 Gr,Dimax,None,1453.0,In stock,https://www.hiperlibertad.com.ar/pionono-vainilla-sin-tacc-x-170-gr/p,12,almacen,panificados
SANDWICHES DE MIGA JAMON CRUDO Y QUESO PAN NEGRO X 6 U,Elaboración Propia,None,3199.0,In stock,https://www.hiperlibertad.com.ar/sandwiches-de-miga-jamon-crudo-y-queso-pan-negro-x-6-u/p,12,almacen,panificados
PAN BAGUETTE X UN,Frescos,None,319.0,In stock,https://www.hiperlibertad.com.ar/pan-baguette-x-un/p,12,almacen,panificados
Palmeritas De Manteca X 200 Gr,Elaboración Propia,None,1314.0,In stock,https://www.hiperlibertad.com.ar/palmeritas-de-manteca-x-200-gr/p,12,almacen,panificados
Budín Inglés x 160 Gr,Elaboración Propia,None,751.0,In stock,https://www.hiperlibertad.com.ar/budin-ingles-x-160-gr/p,12,almacen,panificados
Chalitas Sabor Jamón Sin Tacc X 100 Gr,Via Vita,None,685.0,In stock,https://www.hiperlibertad.com.ar/chalitas-sabor-jamon-sin-tacc-x-100-gr/p,12,almacen,panificados
Chalitas Sabor Chimichurri Sin Tacc X 100 Gr,Via Vita,None,685.0,In stock,https://www.hiperlibertad.com.ar/chalitas-sabor-chimichurri-sin-tacc-x-100-gr/p,12,almacen,panificados
SANDWICHES DE MIGA JAMON COCIDO Y QUESO PAN NEGRO X 12 U,Elaboración Propia,None,3999.0,In stock,https://www.hiperlibertad.com.ar/sandwiches-de-miga-jamon-cocido-y-queso-pan-negro-x-12-u/p,12,almacen,panificados
