title,brand,list_price,price,stock,url,branch_id,category,subcategory
POSTRE EXQ VAINILLA 80G,Mir,None,294.0,In stock,https://www.hiperlibertad.com.ar/postre-exquisita-vainilla-x-80-gr/p,12,almacen,para-preparar
SALSA DULCE LHERITIER DULCE DE LECHE X 200 CC,LHERITIER,None,1306.0,In stock,https://www.hiperlibertad.com.ar/salsa-dulce-lheritier-dulce-de-leche-x-200-cc/p,12,almacen,para-preparar
EXQ BIZC 1 MIN LIMON,Mir,None,235.0,In stock,https://www.hiperlibertad.com.ar/exq-bizc-1-min-limon/p,12,almacen,para-preparar
POSTRE ROYAL FRUTILLA 75G,Mir,None,341.0,In stock,https://www.hiperlibertad.com.ar/postre-royal-frutilla-x-75-gr/p,12,almacen,para-preparar
RELLENO UNTABLE AGUILA NUT AVELLANAS X 290 Gr,Aguila,None,1178.0,In stock,https://www.hiperlibertad.com.ar/relleno-untable-aguila-nut-avellanas-x-290-gr/p,12,almacen,para-preparar
Postre Tentaciones Bon o Bon x 120 Gr,Bon o Bon,None,1258.0,In stock,https://www.hiperlibertad.com.ar/postre-tentaciones-bon-o-bon-x-120-gr/p,12,almacen,para-preparar
BROWNIE EXQUISITA CHOCOLATE X 425 G.,Mir,None,880.0,In stock,https://www.hiperlibertad.com.ar/brownies-exquisita-425-gr/p,12,almacen,para-preparar
BIZCOZCHO EXQUISITA 1 MIN CHOCO 55GR,Exquisita,324.0,188.99,In stock,https://www.hiperlibertad.com.ar/bizcozcho-exquisita-1-min-choco-55gr/p,12,almacen,para-preparar
GELATINA ROYAL LIGHT FRUTILLA X 25 Gr,Royal,None,471.0,In stock,https://www.hiperlibertad.com.ar/gelatina-royal-light-frutilla-x-25-gr/p,12,almacen,para-preparar
RELLEN UNTABLE BOB X290G S/,Mir,None,1151.0,In stock,https://www.hiperlibertad.com.ar/relleno-untable-bon-o-bon-x-290-gr/p,12,almacen,para-preparar
RELLENO UNTABLE AGUILA 3EN1 X 290 Gr,Aguila,1159.0,775.99,In stock,https://www.hiperlibertad.com.ar/relleno-untable-aguila-3en1-x-290-gr/p,12,almacen,para-preparar
Postre Bon o Bon Maní x 95 gr,Bon o Bon,None,898.0,In stock,https://www.hiperlibertad.com.ar/postre-bon-o-bon-man-x-95-gr/p,12,almacen,para-preparar
POSTRE ROYAL VAINILLA X 75 Gr,Royal,None,341.0,In stock,https://www.hiperlibertad.com.ar/postre-royal-vainilla-x-75-gr/p,12,almacen,para-preparar
GELATINA ROYAL FRUTILLA X 25 Gr,Royal,None,302.0,In stock,https://www.hiperlibertad.com.ar/gelatina-royal-frutilla-x-25-gr/p,12,almacen,para-preparar
POSTRE EXQUISITA LIGHT VAINILLA X 50 Gr,Exquisita,None,281.0,In stock,https://www.hiperlibertad.com.ar/postre-exquisita-light-vainilla-x-50-gr/p,12,almacen,para-preparar
Gelatina Royal Sin Sabor 14Grs,Royal,225.0,133.99,In stock,https://www.hiperlibertad.com.ar/gelatina-royal-sin-sabor-14grs/p,12,almacen,para-preparar
FLAN ROYAL VAINILLA 60 GR.,Mir,None,170.0,In stock,https://www.hiperlibertad.com.ar/flan-royal-vainilla-x-60-gr/p,12,almacen,para-preparar
VAINILLA LIQ.DOS ANCLASX100CC,Mir,None,740.0,In stock,https://www.hiperlibertad.com.ar/vainilla-liquido-dos-anclas-x-100cc/p,12,almacen,para-preparar
NESTLÉ® Leche Condensada Orgánica x 395gr,Nestlé,None,1816.0,In stock,https://www.hiperlibertad.com.ar/nestl-leche-condensada-org-nica-x-395gr/p,12,almacen,para-preparar
SALSA DULCE LHERITIER CHOCOLATE X 200 CC,LHERITIER,None,1306.0,In stock,https://www.hiperlibertad.com.ar/salsa-dulce-lheritier-chocolate-x-200-cc/p,12,almacen,para-preparar
GELATINA ROYAL NARANJA X 22 Gr,Royal,None,201.58,In stock,https://www.hiperlibertad.com.ar/gelatina-royal-naranja-x-22-gr/p,12,almacen,para-preparar
