title,brand,list_price,price,stock,url,branch_id,category,subcategory
FIDEOS MOSTACHOL N51 LUCCHETTI X 500 Gr,Lucchetti,1011.0,690.0,In stock,https://www.hiperlibertad.com.ar/fideos-mostachol-n51-lucchetti-x-500-gr/p,12,almacen,pastas-secas-y-salsas
Fideos Chicago Guiseros 500 Gr,Chicago,None,492.0,In stock,https://www.hiperlibertad.com.ar/fideo-chicago-guisero-x500gr/p,12,almacen,pastas-secas-y-salsas
FIDEOS TIRABUZON N34 LUCCHETTI X 500 Gr,Lucchetti,1011.0,690.0,In stock,https://www.hiperlibertad.com.ar/fideos-tirabuzon-n34-lucchetti-x-500-gr/p,12,almacen,pastas-secas-y-salsas
FIDEOS WAKAS FUSILLI ALUBIA Y QUINOA X 250 Gr,WAKAS,None,1111.0,In stock,https://www.hiperlibertad.com.ar/fideos-wakas-fusilli-alubia-y-quinoa-x-250-gr/p,12,almacen,pastas-secas-y-salsas
FIDEO RIVOLI ROSCA CINTA X500G,Mir,None,935.0,In stock,https://www.hiperlibertad.com.ar/fideo-rivoli-rosca-cinta-x-500gr/p,12,almacen,pastas-secas-y-salsas
FID FAVOR CODX500GR,Mir,None,647.0,In stock,https://www.hiperlibertad.com.ar/fideos-favorita-coo-rayado-x-500gr/p,12,almacen,pastas-secas-y-salsas
FIDEOS PENNE RIGATE BONALMA X 500 Gr,Bonalma,None,1811.0,In stock,https://www.hiperlibertad.com.ar/fideos-penne-rigate-bonalma-x-500-gr/p,12,almacen,pastas-secas-y-salsas
FIDEOS TALLARIN N5 LUCCHETTI X 500 Gr,Lucchetti,1011.0,690.0,In stock,https://www.hiperlibertad.com.ar/fideos-tallarin-n5-lucchetti-x-500-gr/p,12,almacen,pastas-secas-y-salsas
FIDEO RIVOLI GUIS.MACARON X500,Mir,None,653.0,In stock,https://www.hiperlibertad.com.ar/fideos-rivoli-guiserso-macaron-x-500-gr/p,12,almacen,pastas-secas-y-salsas
FIDEO RIVOLI ROSCA TALLAR.X500,Mir,None,935.0,In stock,https://www.hiperlibertad.com.ar/fideo-rivoli-rosca-tallar-x-500gr/p,12,almacen,pastas-secas-y-salsas
FIDEOS TIRABUZON 3 VEGETALES MATARAZZO X 500 Gr,Matarazzo,None,1173.0,In stock,https://www.hiperlibertad.com.ar/fideos-tirabuzon-3-vegetales-matarazzo-x-500-gr/p,12,almacen,pastas-secas-y-salsas
FID FAVOR TIRABX500GR,Mir,None,648.0,In stock,https://www.hiperlibertad.com.ar/fideos-favorita-tirabuzon-x-500gr/p,12,almacen,pastas-secas-y-salsas
FIDEOS PENNE RIGATE N48 MATARAZZO X 500 Gr,Matarazzo,976.0,872.0,In stock,https://www.hiperlibertad.com.ar/fideos-penne-rigate-n48-matarazzo-x-500-gr/p,12,almacen,pastas-secas-y-salsas
FIDEOS FUSILLI BONALMA X 500 Gr,Bonalma,None,1811.0,In stock,https://www.hiperlibertad.com.ar/fideos-fusilli-bonalma-x-500-gr/p,12,almacen,pastas-secas-y-salsas
