title,brand,list_price,price,stock,url,branch_id,category,subcategory
Licor de Crema Baileys original 750 cc,Baileys,None,9224.0,In Stock,https://www.hiperlibertad.com.ar/licor-de-crema-baileys-original-750-cc/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS CHOCOLATE X 700 Ml,Tres Plumas,None,2567.0,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-chocolate-x-700-ml/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS DULCE DE LECHE 700CC,Tres Plumas,None,2567.0,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-dulce-de-leche-700cc/p,12,bebidas,bebidas-blancas-y-licores
LICOR TAMBO DULCE DE LECHE X 750 Ml,Mir,12139.0,9103.99,In Stock,https://www.hiperlibertad.com.ar/licor-tambo-dulce-de-leche-x-750-ml/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS BLUE CURAZAO 700CC,Tres Plumas,1823.0,1184.99,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-blue-curazao-700cc/p,12,bebidas,bebidas-blancas-y-licores
DR LEMON MOJITO 473,Mir,841.0,562.99,In Stock,https://www.hiperlibertad.com.ar/aperitivo-dr-lemon-mojito-x-473-ml/p,12,bebidas,bebidas-blancas-y-licores
VODka SERNOVA fresh citrus X 750M,Sernova,None,4781.0,In Stock,https://www.hiperlibertad.com.ar/vodka-sernova-fresh-citrus-x-750m/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS AMARETTO 700CC,Tres Plumas,None,2203.0,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-amaretto-700cc/p,12,bebidas,bebidas-blancas-y-licores
Vodka Sernova Italian Style 700 cc.,Sernova,4253.0,3037.99,In Stock,https://www.hiperlibertad.com.ar/vodka-sernova-italian-style-700-cc/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS CHOCOLATE BLANCO 700CC,Tres Plumas,2567.0,1668.99,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-chocolate-blanco-700cc/p,12,bebidas,bebidas-blancas-y-licores
BEBIDA BACARDI RUM Y COLA LATA X 310 Ml,Bacardi,None,794.0,In Stock,https://www.hiperlibertad.com.ar/bebida-bacardi-rum-y-cola-lata-x-310-ml/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS CAFÉ AL COÑAC X 750 Ml,Tres Plumas,None,2412.0,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-caf-al-co-ac-x-750-ml/p,12,bebidas,bebidas-blancas-y-licores
GIN MALEFICIO PINK BOT 500CC,Mir,None,3649.0,In Stock,https://www.hiperlibertad.com.ar/gin-maleficio-sunset-pink-x-500-ml/p,12,bebidas,bebidas-blancas-y-licores
GIN MALEFICIO HONEY X 500 Ml,Maleficio,None,3649.0,In Stock,https://www.hiperlibertad.com.ar/gin-maleficio-honey-x-500-ml/p,12,bebidas,bebidas-blancas-y-licores
LILLET BLANC X750,Mir,None,7570.0,In Stock,https://www.hiperlibertad.com.ar/lillet-blanc-6x750/p,12,bebidas,bebidas-blancas-y-licores
GIN BOSQUE ALTA MONTANA 500ML,Mir,None,8644.0,In Stock,https://www.hiperlibertad.com.ar/gin-bosque-alta-montana-ow-x4/p,12,bebidas,bebidas-blancas-y-licores
VODka SERNOVA WILD BERRIES X 750M,Sernova,None,4781.0,In Stock,https://www.hiperlibertad.com.ar/vodka-sernova-wild-berries-x-750m/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS MENTA 700CC,Tres Plumas,2098.0,1363.99,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-menta-700cc/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS CHOCOLATE/MENTA 700CC,Tres Plumas,2567.0,1668.99,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-chocolate-menta-700cc/p,12,bebidas,bebidas-blancas-y-licores
WHISKY FAMOUS GROUSE X 700 Ml,Mir,31563.0,22544.99,In Stock,https://www.hiperlibertad.com.ar/whisky-famous-grouse-x-700-ml/p,12,bebidas,bebidas-blancas-y-licores
WHISKY JOHNNIE WALKER BLACK LABEL X 1 Lt,Johnnie Walker,None,23461.0,In Stock,https://www.hiperlibertad.com.ar/whisky-johnnie-walker-black-label-x-1-lt/p,12,bebidas,bebidas-blancas-y-licores
Whisky J&B Rare Blended Scotch 750 cc,J&B,7634.0,5527.0,In Stock,https://www.hiperlibertad.com.ar/whisky-j-b-rare-blended-scotch-750-cc/p,12,bebidas,bebidas-blancas-y-licores
WHISKY VAT 69 APPLE 700 CC,Vat 69,None,3047.0,In Stock,https://www.hiperlibertad.com.ar/whisky-vat-69-apple-700-cc/p,12,bebidas,bebidas-blancas-y-licores
GIN BOMBAY X 750 ML,Mir,None,20043.0,In Stock,https://www.hiperlibertad.com.ar/gin-bombay-x-750-ml/p,12,bebidas,bebidas-blancas-y-licores
GIN MALEFICIO DRY BOT 500CC,Mir,None,2986.0,In Stock,https://www.hiperlibertad.com.ar/gin-maleficio-dry-x-500-ml/p,12,bebidas,bebidas-blancas-y-licores
LICOR CUSENIER HUEVO 700 CC,Cusenier,None,1173.0,In Stock,https://www.hiperlibertad.com.ar/licor-cusenier-huevo-700-cc/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS CAFE AL WHISKY X 750 Ml,Tres Plumas,2364.0,1772.99,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-cafe-al-whisky-x-750-ml/p,12,bebidas,bebidas-blancas-y-licores
WHISKY LOS CRIADORES X 192 CC,Mir,None,1176.0,In Stock,https://www.hiperlibertad.com.ar/whisky-los-criadores-x-192-cc/p,12,bebidas,bebidas-blancas-y-licores
WHISKY SINGLETON 12 AÑOS X 700 Ml,Mir,19529.0,14646.99,In Stock,https://www.hiperlibertad.com.ar/whisky-singleton-12-a-os-x-700-ml/p,12,bebidas,bebidas-blancas-y-licores
GRAPPA VALLE VIEJO X 930 Ml,Mir,3024.0,1965.99,In Stock,https://www.hiperlibertad.com.ar/grappa-valle-viejo-x-930-ml/p,12,bebidas,bebidas-blancas-y-licores
Licor Strega Di Limone X 700 Cc,Mir,17170.0,12264.99,In Stock,https://www.hiperlibertad.com.ar/licor-strega-di-limone-x-700-cc/p,12,bebidas,bebidas-blancas-y-licores
LICOR TRES PLUMAS CHOCOLATE AL DULCE DE LECHE X 700 Ml,Tres Plumas,2567.0,1668.99,In Stock,https://www.hiperlibertad.com.ar/licor-tres-plumas-chocolate-al-dulce-de-leche-x-700-ml/p,12,bebidas,bebidas-blancas-y-licores
GIN LARIOS ROSE X 700 CC,Mir,8411.0,6307.99,In Stock,https://www.hiperlibertad.com.ar/gin-larios-rose-x-700-cc/p,12,bebidas,bebidas-blancas-y-licores
VODKA SERNOVA SWEET APPLE PEAR X 700 Ml,Sernova,None,4781.0,In Stock,https://www.hiperlibertad.com.ar/vodka-sernova-sweet-apple-pear-x-700-ml/p,12,bebidas,bebidas-blancas-y-licores
GIN GRAFT BOSQUE 500CC,Mir,None,6395.0,In Stock,https://www.hiperlibertad.com.ar/gin-bosque-x4-500cc-con-dun/p,12,bebidas,bebidas-blancas-y-licores
Ron Carta Blanca Bacardi 750 Cc,Bacardi,9695.0,6181.99,In Stock,https://www.hiperlibertad.com.ar/ron-carta-blanca-bacardi-750-cc/p,12,bebidas,bebidas-blancas-y-licores
LICOR STREGA LIMONCELLO X 700 Ml,Mir,19727.0,14090.99,In Stock,https://www.hiperlibertad.com.ar/licor-strega-limoncello-x-700-ml/p,12,bebidas,bebidas-blancas-y-licores
GIN MALEFICIO SUNSET ORANGE X 500 Ml,Maleficio,None,3649.0,In Stock,https://www.hiperlibertad.com.ar/gin-maleficio-sunset-orange-x-500-ml/p,12,bebidas,bebidas-blancas-y-licores
