title,brand,list_price,price,stock,url,branch_id,category,subcategory
VINO CASILLERO DEL DIABLO RED BLEND 750ML,Casillero del Diablo,3990.0,2883.2,In Stock,https://www.hiperlibertad.com.ar/vino-casillero-del-diablo-red-blend-750ml/p,12,bebidas,vinos-y-espumantes
Espumante NOVECENTO EXTRA BRUT 750 CC,Mir,None,1983.0,In Stock,https://www.hiperlibertad.com.ar/espumante-novecento-extra-brut-750-cc/p,12,bebidas,vinos-y-espumantes
VINO BENJAMÍN CABERNET SAUVIGNON X 750 Ml,Benjamín,2682.0,2011.5,In Stock,https://www.hiperlibertad.com.ar/vino-benjam-n-cabernet-sauvignon-x-750-ml/p,12,bebidas,vinos-y-espumantes
ESPUMANTE NAVARRO CORREAS EXTRA BRUT X 750 ML.,Mir,4409.0,3299.0,In Stock,https://www.hiperlibertad.com.ar/espumante-navarro-correas-extra-brut-x-750-cc/p,12,bebidas,vinos-y-espumantes
Espumante Chandon Mini Délice 187ml,Chandon,None,1276.0,In Stock,https://www.hiperlibertad.com.ar/espumante-chandon-mini-delice-187ml/p,12,bebidas,vinos-y-espumantes
Vino Tinto Trivento Cabernet Sauvignon Roble 750 mL,Trivento,3350.0,2542.35,In Stock,https://www.hiperlibertad.com.ar/vino-tinto-trivento-cabernet-sauvignon-roble-750-ml/p,12,bebidas,vinos-y-espumantes
VINO TRIVENTO RESERVA MALBEC 750ML,Trivento,3742.0,2130.09,In Stock,https://www.hiperlibertad.com.ar/vino-trivento-reserva-malbec-750ml/p,12,bebidas,vinos-y-espumantes
VINO CHAC CHAC LP SAUV BLA 750,Chac Chac,3977.0,2584.99,In Stock,https://www.hiperlibertad.com.ar/vino-chac-chac-lp-sauv-bla-750/p,12,bebidas,vinos-y-espumantes
VINO TRIVENTO GOLDEN RESERVE CABERNET SAUVIGNON X 750 Ml,Trivento,9495.0,5405.14,In Stock,https://www.hiperlibertad.com.ar/vino-trivento-golden-reserve-cabernet-sauvignon-x-750-ml/p,12,bebidas,vinos-y-espumantes
VINO VINAS DE ALVEAR TINTO X 1250 ML.,Mir,None,1103.0,In Stock,https://www.hiperlibertad.com.ar/vino-borgona-vinas-de-alvear-1-25-lt/p,12,bebidas,vinos-y-espumantes
VINO EMILIA CABERNET SAUVIGNON X 750 Ml,Emilia,3628.0,1990.0,In Stock,https://www.hiperlibertad.com.ar/vino-emilia-cabernet-sauvignon-x-750-ml/p,12,bebidas,vinos-y-espumantes
VINO DON NICANOR CABERNET SAUVIGNON X 750 Ml,Don Nicanor,None,7220.0,In Stock,https://www.hiperlibertad.com.ar/vino-don-nicanor-cabernet-sauvignon-x-750-ml-2/p,12,bebidas,vinos-y-espumantes
VINO BENJAMIN NIETO SENETINER BLEND MALBEC CABERNET SAUVIGNON X 750 Ml,Benjamín,None,2395.0,In Stock,https://www.hiperlibertad.com.ar/vino-benjamin-nieto-senetiner-blend-malbec-cabernet-sauvignon-x-750-ml/p,12,bebidas,vinos-y-espumantes
VINO ZUCCARDI Q CHARDONNAY X 750 Ml,Mir,7263.0,5446.99,In Stock,https://www.hiperlibertad.com.ar/vino-zuccardi-q-chardonnay-x-750-ml/p,12,bebidas,vinos-y-espumantes
VINO NORTON ELEGIDO CABERNET SAUVIGNON X 750 Ml,Norton,None,1093.0,In Stock,https://www.hiperlibertad.com.ar/vino-norton-elegido-cabernet-sauvignon-x-750-ml/p,12,bebidas,vinos-y-espumantes
Vino La Celia Reserva Malbec/Cabernet 750mL,La Celia Reserva,None,2289.0,In Stock,https://www.hiperlibertad.com.ar/vino-la-celia-reserva-malbec-cabernet-750ml/p,12,bebidas,vinos-y-espumantes
Vino Novecento Malbec,Mir,None,1561.0,In Stock,https://www.hiperlibertad.com.ar/vino-novecento-malbec/p,12,bebidas,vinos-y-espumantes
VINO BENJAMÍN MALBEC X 750 Ml,Benjamín,2682.0,2011.5,In Stock,https://www.hiperlibertad.com.ar/vino-benjam-n-malbec-x-750-ml/p,12,bebidas,vinos-y-espumantes
REAL BLANCA BOT X750ML CORCHO,Mir,1200.0,1000.0,In Stock,https://www.hiperlibertad.com.ar/sidra-real-corcho-botella-750-cc/p,12,bebidas,vinos-y-espumantes
ESPUMANTE CHANDON APERITIF 750 CC,Chandon,None,4315.0,In Stock,https://www.hiperlibertad.com.ar/espumante-chandon-aperitif-750-cc/p,12,bebidas,vinos-y-espumantes
SIDRA LA VICTORIA X720ML,Mir,990.0,790.0,In Stock,https://www.hiperlibertad.com.ar/sidra-la-victoria-botella-720cc/p,12,bebidas,vinos-y-espumantes
VINO EMILIA NIETO SENETINER RED BLEND X 750 Ml,Emilia,3628.0,1990.0,In Stock,https://www.hiperlibertad.com.ar/vino-emilia-nieto-senetiner-red-blend-x-750-ml/p,12,bebidas,vinos-y-espumantes
VINO NIETO SENETINER CABERNET SAUVIGNON X 750 Ml,Nieto Senetiner,None,4899.0,In Stock,https://www.hiperlibertad.com.ar/vino-nieto-senetiner-cabernet-sauvignon-x-750-ml-2/p,12,bebidas,vinos-y-espumantes
Vino Tinto Intimo Cabernet Malbec Merlot 750 mL,Intimo,3959.0,2229.99,In Stock,https://www.hiperlibertad.com.ar/vino-tinto-intimo-cabernet-malbec-merlot-750-ml/p,12,bebidas,vinos-y-espumantes
VINO LATITUD 33 MALBEC 2007 X 750 ML.,Mir,None,1896.0,In Stock,https://www.hiperlibertad.com.ar/vino-tinto-malbec-latitud-33-750-cc/p,12,bebidas,vinos-y-espumantes
CHAMPAGNE MUMM CUVEE RESERVE BRUT ROSE X 750 ML,Mumm,None,2450.0,In Stock,https://www.hiperlibertad.com.ar/champagne-mumm-cuvee-reserve-brut-rose-x-750-ml/p,12,bebidas,vinos-y-espumantes
VINO NORTON ELEGIDO MALBEC X 750 Ml,Norton,None,1109.0,In Stock,https://www.hiperlibertad.com.ar/vino-norton-elegido-malbec-x-750-ml/p,12,bebidas,vinos-y-espumantes
