title,brand,list_price,price,stock,url,branch_id,category,subcategory
SET DE 2 CHUPETES NUK SIGNATURE (18-36 MESES) - AZUL,Mir,None,5699.0,In stock,https://www.hiperlibertad.com.ar/set-de-2-chupetes-nuk-signature-18-36-meses-azul/p,12,bebes-y-ninos,lactancia-y-alimentacion
Chupete ULTRA AIR Animals x1u Blue Penguin 6-18m,Avent,None,5999.0,In stock,https://www.hiperlibertad.com.ar/chupete-ultra-air-animals-x1u-blue-penguin-6-18m/p,12,bebes-y-ninos,lactancia-y-alimentacion
MAMADERA TEDDY TRADICIONAL TETILLA SILICONA 250 Ml,Teddy,None,2699.0,In stock,https://www.hiperlibertad.com.ar/mamadera-teddy-tradicional-tetilla-silicona-250-ml/p,12,bebes-y-ninos,lactancia-y-alimentacion
SET DE 2 CHUPETES NUK SIGNATURE (6-18 MESES) - FUCSIA,Mir,None,5699.0,In stock,https://www.hiperlibertad.com.ar/set-de-2-chupetes-nuk-signature-6-18-meses-fucsia/p,12,bebes-y-ninos,lactancia-y-alimentacion
CHUPETE ANATOMICO TEDDY,Teddy,None,1699.0,In stock,https://www.hiperlibertad.com.ar/chupete-anatomico-teddy/p,12,bebes-y-ninos,lactancia-y-alimentacion
SET DE 2 CHUPETES NUK SIGNATURE (18-36 MESES) - FUCSIA,Mir,None,5699.0,In stock,https://www.hiperlibertad.com.ar/set-de-2-chupetes-nuk-signature-18-36-meses-fucsia/p,12,bebes-y-ninos,lactancia-y-alimentacion
Babero grande con abrojo MI BES new baby,Mir,None,1699.0,In stock,https://www.hiperlibertad.com.ar/babero-grande-con-abrojo-mi-bes-new-baby/p,12,bebes-y-ninos,lactancia-y-alimentacion
MAMADERA NUK FC+ CON CONTROL TEMPERATURA 300ML (6-18 MESES) - JIRAFA,Mir,None,8399.0,In stock,https://www.hiperlibertad.com.ar/mamadera-nuk-fc-con-control-temperatura-300ml-6-18-meses-jirafa/p,12,bebes-y-ninos,lactancia-y-alimentacion
Vaso Avent Easy Sip Cup 260ml Azul,Avent,None,12299.0,In stock,https://www.hiperlibertad.com.ar/vaso-avent-easy-sip-cup-260ml-azul/p,12,bebes-y-ninos,lactancia-y-alimentacion
VASO INFANTIL NUK KIDDY CUP LUMINOSO Y PICO DURO 300ML (6+ MESES) - LILA,Mir,None,9529.0,In stock,https://www.hiperlibertad.com.ar/vaso-infantil-nuk-kiddy-cup-luminoso-y-pico-duro-300ml-6-meses-lila/p,12,bebes-y-ninos,lactancia-y-alimentacion
BIBERON 140 ESTAMPADO SIL TEDD,Teddy,None,2499.0,In stock,https://www.hiperlibertad.com.ar/biberon-140-estampado-sil-tedd/p,12,bebes-y-ninos,lactancia-y-alimentacion
Cepillos NUK Twist Limpia Mamaderas,Nuk,None,6249.0,In stock,https://www.hiperlibertad.com.ar/cepillos-nuk-twist-limpia-mamaderas/p,12,bebes-y-ninos,lactancia-y-alimentacion
Babero impermeable MI BES con portachupetes,Mir,None,2599.0,In stock,https://www.hiperlibertad.com.ar/babero-impermeable-mi-bes-con-portachupetes/p,12,bebes-y-ninos,lactancia-y-alimentacion
PORTA CHUPETE CORAZON TEDDY,Teddy,None,1699.0,In stock,https://www.hiperlibertad.com.ar/porta-chupete-corazon-teddy/p,12,bebes-y-ninos,lactancia-y-alimentacion
CHUPETE TEDDY BICOLOR TETINA SILICONA X 1 U,Teddy,None,1699.0,In stock,https://www.hiperlibertad.com.ar/chupete-teddy-bicolor-tetina-silicona-x-1-u/p,12,bebes-y-ninos,lactancia-y-alimentacion
SET DE 2 CHUPETES NUK SIGNATURE (0-6 MESES) - CELESTE,Mir,None,5699.0,In stock,https://www.hiperlibertad.com.ar/set-de-2-chupetes-nuk-signature-0-6-meses-celeste/p,12,bebes-y-ninos,lactancia-y-alimentacion
Mamadera Teddy Capacidad de 250 Ml,Teddy,None,2899.0,In stock,https://www.hiperlibertad.com.ar/biberon-acint-dec-latex-250ml/p,12,bebes-y-ninos,lactancia-y-alimentacion
CHUPETE TEDDY COMUN ANATOMICO,Teddy,None,1289.0,In stock,https://www.hiperlibertad.com.ar/chupete-teddy-comun-anatomico/p,12,bebes-y-ninos,lactancia-y-alimentacion
Babero chico MI BES liso con broderie,Mir,None,1369.0,In stock,https://www.hiperlibertad.com.ar/babero-chico-mi-bes-liso-con-broderie/p,12,bebes-y-ninos,lactancia-y-alimentacion
SET DE 2 CHUPETES NUK SIGNATURE (0-6 MESES) - ROSA,Mir,None,5699.0,In stock,https://www.hiperlibertad.com.ar/set-de-2-chupetes-nuk-signature-0-6-meses-rosa/p,12,bebes-y-ninos,lactancia-y-alimentacion
CHUPETE TRANSPARENTE TET. SILICONA,Teddy,None,2149.0,In stock,https://www.hiperlibertad.com.ar/chupete-transparente-tet-silicona/p,12,bebes-y-ninos,lactancia-y-alimentacion
BABERO MED C/ABROJO TRES TELAS,Mir,None,1799.0,In stock,https://www.hiperlibertad.com.ar/babero-med-c-abrojo-tres-telas-2/p,12,bebes-y-ninos,lactancia-y-alimentacion
BABERO MED ABROJO LATERAL RAYA,Mir,None,1799.0,In stock,https://www.hiperlibertad.com.ar/babero-med-abrojo-lateral-raya/p,12,bebes-y-ninos,lactancia-y-alimentacion
Mamadera Babelito,Babelito,None,7949.0,In stock,https://www.hiperlibertad.com.ar/mamadera-babelito/p,12,bebes-y-ninos,lactancia-y-alimentacion
Chupete ULTRA AIR Happy x1u Plain 6-18m,Avent,None,5999.0,In stock,https://www.hiperlibertad.com.ar/chupete-ultra-air-happy-x1u-plain-6-18m/p,12,bebes-y-ninos,lactancia-y-alimentacion
SET DE 2 CHUPETES NUK SIGNATURE (6-18 MESES) - AZUL,Mir,None,5699.0,In stock,https://www.hiperlibertad.com.ar/set-de-2-chupetes-nuk-signature-6-18-meses-azul/p,12,bebes-y-ninos,lactancia-y-alimentacion
CHUPETE NUK SIGNATURE 18-36 M SURTIDO,Mir,None,3589.0,In stock,https://www.hiperlibertad.com.ar/chupete-nuk-signature-18-36-m-surtido/p,12,bebes-y-ninos,lactancia-y-alimentacion
TETINA ANTICOLIC AVENT 1M,Philips,None,3499.0,In stock,https://www.hiperlibertad.com.ar/tetina-anticolic-avent-1m/p,12,bebes-y-ninos,lactancia-y-alimentacion
JUEGO CUBIERTOS TEDDY PLASTICO,Teddy,None,1699.0,In stock,https://www.hiperlibertad.com.ar/juego-cubiertos-teddy-plastico/p,12,bebes-y-ninos,lactancia-y-alimentacion
