title,brand,list_price,price,stock,url,branch_id,category,subcategory
TOALLITAS HUMEDAS HUGGIES TRIPLE PROTECCI�N X 48 U,Mir,None,1048.0,In stock,https://www.hiperlibertad.com.ar/toallas-humedas-huggies-triple-proteccion-x-48-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
"Pampers Babysan Hipoalergénico, Pañales Desechables Talle G 40 Unidades",Pampers,9270.0,4965.75,In stock,https://www.hiperlibertad.com.ar/pampers-babysan-hipoalerg-nico-pa-ales-desechables-talle-g-40-unidades/p,12,bebes-y-ninos,panales-y-toallitas-humedas
PAÑALES HUGGIES PROTECT PLUS XG X 52 U,Huggies,None,4661.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-huggies-protect-plus-xg-x-52-u-2/p,12,bebes-y-ninos,panales-y-toallitas-humedas
PAÑALES PAMPERS BABYSAN XXG X 54 U,Pampers,19532.0,10463.25,In stock,https://www.hiperlibertad.com.ar/pa-ales-pampers-babysan-xxg-x-54-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
PAMPERS BABYSAN GDE 09PADS,Mir,None,1956.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-pampers-babysan-g-x-9-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
"Pañales Pampers Premium Care Plus Hipoalergénico Piel Delicada Talle P , 36 Unidades",Pampers,None,4400.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-pampers-premium-care-plus-hipoalerg-nico-piel-delicada-talle-p-36-unidades/p,12,bebes-y-ninos,panales-y-toallitas-humedas
"Pampers Baby Dry Recién Nacido Hipoalergénico, Pañales Desechables Talle P 56 Unidades",Pampers,11458.0,6138.0,In stock,https://www.hiperlibertad.com.ar/pampers-baby-dry-reci-n-nacido-hipoalerg-nico-pa-ales-desechables-talle-p-56-unidades/p,12,bebes-y-ninos,panales-y-toallitas-humedas
TOALLAS HUMEDAS HUGGIES OLEO CALCAREO X 80 U,Huggies,None,2183.0,In stock,https://www.hiperlibertad.com.ar/toallas-humedas-huggies-oleo-calcareo-x-80-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
"Pampers Baby Dry Hipoalergénico, Pañales Desechables Talle M 52 Unidades",Pampers,10307.0,7730.25,In stock,https://www.hiperlibertad.com.ar/pampers-baby-dry-hipoalerg-nico-pa-ales-desechables-talle-m-52-unidades/p,12,bebes-y-ninos,panales-y-toallitas-humedas
TOA HUMED PAMP AROMA BEB X48,Mir,2744.0,1783.99,In stock,https://www.hiperlibertad.com.ar/toallitas-humedas-pampers-aroma-de-bebe-x-48-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
"Pampers Baby Dry Recién Nacido Hipoalergénico, Pañales Desechables Talle RN+ 36 Unidades",Pampers,5370.0,4027.5,In stock,https://www.hiperlibertad.com.ar/pampers-baby-dry-reci-n-nacido-hipoalerg-nico-pa-ales-desechables-talle-rn-36-unidades/p,12,bebes-y-ninos,panales-y-toallitas-humedas
"Pañales Pampers Premium Care Plus Hipoalergénico Piel Delicada Talle M , 52 Unidades",Pampers,None,8110.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-pampers-premium-care-plus-hipoalerg-nico-piel-delicada-talle-m-52-unidades/p,12,bebes-y-ninos,panales-y-toallitas-humedas
Pañales Babysec Ultrasec talle XG x 8 uni.,Babysec,None,866.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-babysec-ultrasec-talle-xg-x-8-uni/p,12,bebes-y-ninos,panales-y-toallitas-humedas
Pañales Babysec Ultrasec talle G x 8 uni.,Babysec,None,774.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-babysec-ultrasec-talle-g-x-8-uni/p,12,bebes-y-ninos,panales-y-toallitas-humedas
TOALLITAS HUMEDAS UPA LA LA X 100 Gr,UpaLaLa,None,1534.0,In stock,https://www.hiperlibertad.com.ar/toallitas-humedas-upa-la-la-x-100-gr/p,12,bebes-y-ninos,panales-y-toallitas-humedas
"Pampers Baby Dry Hipoalergénico, Pañales Desechables Talle XXG 34 Unidades",Pampers,16162.0,8658.0,In stock,https://www.hiperlibertad.com.ar/pampers-baby-dry-hipoalerg-nico-pa-ales-desechables-talle-xxg-34-unidades/p,12,bebes-y-ninos,panales-y-toallitas-humedas
PAN HUG TRIP PRO AHORR M X 68,Mir,None,5371.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-huggies-triple-proteccion-m-x-68-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
TOALLITAS HÚMEDAS JOHNSON PRIMEROS DIA X 48U,Johnson,None,2350.0,In stock,https://www.hiperlibertad.com.ar/toallitas-humedas-johnson-primeros-dia-x-48u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
PA�ALES PAMPERS HIPOALERG�NICO PANTS PREMIUM XXG X,Mir,None,4324.0,In stock,https://www.hiperlibertad.com.ar/pa-ales-pampers-premium-care-pants-hipoalerg-nico-talle-m-x-34-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
PAÑALES HUGGIES SUPREME CARE G x 20 U,Huggies,None,2454.97,In stock,https://www.hiperlibertad.com.ar/pa-ales-huggies-supreme-care-g-x-20-u/p,12,bebes-y-ninos,panales-y-toallitas-humedas
