title,brand,list_price,price,stock,url,branch_id,category,subcategory
Yogur helado Karinat maracuya x 120 gr,Karinat,None,1137.0,In stock,https://www.hiperlibertad.com.ar/yogur-helado-karinat-maracuya-x-120-gr/p,12,congelados,helados-y-postres
Postre Helado Princesa Banana Split 1 lt,Princesa,None,3266.0,In stock,https://www.hiperlibertad.com.ar/postre-helado-princesa-banana-split-1-lt/p,12,congelados,helados-y-postres
Helado Ice Cream Diet Frutilla y Americana 500 grs,Ice Cream,None,3659.0,In stock,https://www.hiperlibertad.com.ar/helado-ice-cream-diet-frutilla-y-americana-500-grs/p,12,congelados,helados-y-postres
CEREZAS CONGELADAS KARINAT X 300 Gr,Mir,None,2162.0,In stock,https://www.hiperlibertad.com.ar/cerezas-congeladas-karinat-x-300-gr/p,12,congelados,helados-y-postres
TABLETAS HELADAS DE MENTA NOTICECREAM® 6 X 300 GR,Not Company,None,2485.0,In stock,https://www.hiperlibertad.com.ar/tabletas-heladas-de-menta-noticecream-6-x-300-gr/p,12,congelados,helados-y-postres
HELADO DE BANANA SPLIT NOTICECREAM® X 330 GR,Not Company,None,2050.0,In stock,https://www.hiperlibertad.com.ar/helado-de-banana-split-noticecream-x-330-gr/p,12,congelados,helados-y-postres
Yogur helado Karinat frutilla x 120 gr,KARINAT,1137.0,795.9,In stock,https://www.hiperlibertad.com.ar/yogur-helado-karinat-frutilla-x-120-gr/p,12,congelados,helados-y-postres
HELADO ETIQUETA VERDE CHOCOLATE CON SALSA DE CHOCOLATE X 250 Gr,Mir,None,2442.0,In stock,https://www.hiperlibertad.com.ar/helado-etiqueta-verde-chocolate-con-salsa-de-chocolate-x-250-gr/p,12,congelados,helados-y-postres
FRUTAS CONGELADAS KARINAT MIX 3 BERRIES X 300 Gr,Mir,None,2143.0,In stock,https://www.hiperlibertad.com.ar/frutas-congeladas-karinat-mix-3-berries-x-300-gr/p,12,congelados,helados-y-postres
YOGUR HELADO KARINAT DULCE DE LECHE X 120 Gr,Mir,1137.0,795.9,In stock,https://www.hiperlibertad.com.ar/yogur-helado-karinat-dulce-de-leche-x-120-gr/p,12,congelados,helados-y-postres
Helado Ice cream Almendrado 1200 cc,Ice Cream,None,3252.0,In stock,https://www.hiperlibertad.com.ar/helado-ice-cream-almendrado-1200-cc/p,12,congelados,helados-y-postres
POSTRE FRIO TIRAMISU ICE CREAM X 637 Gr,Ice Cream,None,3657.0,In stock,https://www.hiperlibertad.com.ar/postre-frio-tiramisu-ice-cream-x-637-gr/p,12,congelados,helados-y-postres
Yogur helado Karinat frutos del bosque x 120 gr,Karinat,None,1137.0,In stock,https://www.hiperlibertad.com.ar/yogur-helado-karinat-frutos-del-bosque-x-120-gr/p,12,congelados,helados-y-postres
Palito de crema Ice Cream 270 grs,Ice Cream,None,1861.0,In stock,https://www.hiperlibertad.com.ar/palito-de-crema-ice-cream-270-grs/p,12,congelados,helados-y-postres
Helado Capricho Maracuya 300 grs,Capricho,None,2314.0,In stock,https://www.hiperlibertad.com.ar/helado-capricho-maracuya-300-grs/p,12,congelados,helados-y-postres
TORTA HELADA KARINAT DESSERTS WHITE CHOCOLATE RASPBERRY X 150 Gr,Karinat,None,1027.0,In stock,https://www.hiperlibertad.com.ar/torta-helada-karinat-desserts-white-chocolate-raspberry-x-150-gr/p,12,congelados,helados-y-postres
Helado Capricho Dulce de leche 300 grs,Capricho,None,2314.0,In stock,https://www.hiperlibertad.com.ar/helado-capricho-dulce-de-leche-300-grs/p,12,congelados,helados-y-postres
Helado vegano Ice Cream sin tacc crema de maní x 250 gr,Ice Cream,None,2699.0,In stock,https://www.hiperlibertad.com.ar/helado-vegano-ice-cream-sin-tacc-crema-de-man-x-250-gr/p,12,congelados,helados-y-postres
Helado palito Ice cream crema americana y chocolate x 6 u,Ice Cream,None,2770.0,In stock,https://www.hiperlibertad.com.ar/helado-palito-ice-cream-crema-americana-y-chocolate-x-6-u/p,12,congelados,helados-y-postres
Helado Cofler Gelato Dulce De Leche Pote X 250gr,Cofler,None,1620.0,In stock,https://www.hiperlibertad.com.ar/helado-cofler-gelato-dulce-de-leche-pote-x-250gr/p,12,congelados,helados-y-postres
Helado vegano Ice Cream sin tacc sabor dulce de leche x 250 gr,Ice Cream,None,2699.0,In stock,https://www.hiperlibertad.com.ar/helado-vegano-ice-cream-sin-tacc-sabor-dulce-de-leche-x-250-gr/p,12,congelados,helados-y-postres
YOGUR HELADO KARINAT COCONUT X 120 Gr,Mir,None,1137.0,In stock,https://www.hiperlibertad.com.ar/yogur-helado-karinat-coconut-x-120-gr/p,12,congelados,helados-y-postres
ARANDANOS CONGELADOS KARINAT X 300 Gr,Mir,None,2021.0,In stock,https://www.hiperlibertad.com.ar/arandanos-congelados-karinat-x-300-gr/p,12,congelados,helados-y-postres
HELADO DE FRUTILLAS CON CREMA NOTICECREAM® X 330 GR,Not Company,None,2050.0,In stock,https://www.hiperlibertad.com.ar/helado-de-frutillas-con-crema-noticecream-x-330-gr/p,12,congelados,helados-y-postres
HELADO COFLER CHOCOLATE BLOCK X 250 Gr,Cofler,None,1916.0,In stock,https://www.hiperlibertad.com.ar/helado-cofler-chocolate-block-x-250-gr/p,12,congelados,helados-y-postres
PALETAS HELADAS DE CHOCOLATE CROCANTE NOTICECREAM® 4 X 240 GR,Not Company,None,2421.0,In stock,https://www.hiperlibertad.com.ar/paletas-heladas-de-chocolate-crocante-noticecream-4-x-240-gr/p,12,congelados,helados-y-postres
Postre Helado Princesa Dulce de Leche 1 lt,Princesa,None,3141.0,In stock,https://www.hiperlibertad.com.ar/postre-helado-princesa-dulce-de-leche-1-lt/p,12,congelados,helados-y-postres
HELADO BC LA CAMPAGNOLA LIMON AL AGUA X 300 Gr,BC La Campagnola,None,1527.0,In stock,https://www.hiperlibertad.com.ar/helado-bc-la-campagnola-limon-al-agua-x-300-gr/p,12,congelados,helados-y-postres
TABLETAS HELADAS DE DULCE DE LECHE TENTACIÓN NOTICECREAM® 6 X 300 GR,Not Company,None,2485.0,In stock,https://www.hiperlibertad.com.ar/tabletas-heladas-de-dulce-de-leche-tentaci-n-noticecream-6-x-300-gr/p,12,congelados,helados-y-postres
Helado Ice cream Con Salsa de Chocolate 750 cc,Ice Cream,None,1670.0,In stock,https://www.hiperlibertad.com.ar/helado-ice-cream-con-salsa-de-chocolate-750-cc/p,12,congelados,helados-y-postres
POSTRE HELADO COFLER BLOCK X 500 Gr,Cofler,None,3922.0,In stock,https://www.hiperlibertad.com.ar/postre-helado-cofler-block-x-500-gr/p,12,congelados,helados-y-postres
PALETAS HELADAS DE CHOCOLATE BLANCO NOTICECREAM® 4 X 240 GR,Not Company,None,2421.0,In stock,https://www.hiperlibertad.com.ar/paletas-heladas-de-chocolate-blanco-noticecream-4-x-240-gr/p,12,congelados,helados-y-postres
Chocolinas Postre Helado Chocotorta x 673gr,Chocolinas,None,2949.0,In stock,https://www.hiperlibertad.com.ar/chocolinas-postre-helado-chocotorta-x-673gr/p,12,congelados,helados-y-postres
HELADO ARCOR CREMA ROCKLETS X 250 Gr,Arcor,None,1613.0,In stock,https://www.hiperlibertad.com.ar/helado-arcor-crema-rocklets-x-250-gr/p,12,congelados,helados-y-postres
Helado Capricho Mousse de limón 300 grs,Capricho,None,2314.0,In stock,https://www.hiperlibertad.com.ar/helado-capricho-mousse-de-limon-300-grs/p,12,congelados,helados-y-postres
Almendrado Ice cream baño con chocolate 1200 cc,Ice Cream,None,3269.0,In stock,https://www.hiperlibertad.com.ar/almendrado-ice-cream-bano-con-chocolate-1200-cc/p,12,congelados,helados-y-postres
POSTRE ARCOR TOFI x 637GR,Arcor,None,3124.0,In stock,https://www.hiperlibertad.com.ar/postre-arcor-tofi-x-637gr/p,12,congelados,helados-y-postres
HELADO DE CHOCOLATE CHIPS NOTICECREAM® X 330 GR,Not Company,None,2050.0,In stock,https://www.hiperlibertad.com.ar/helado-de-chocolate-chips-noticecream-x-330-gr/p,12,congelados,helados-y-postres
Helado Glamour Chocolate Dulce de leche Vainilla y Frutilla x 3 lts,Glamour,None,3849.0,In stock,https://www.hiperlibertad.com.ar/helado-glamour-chocolate-dulce-de-leche-vainilla-y-frutilla-x-3-lts/p,12,congelados,helados-y-postres
Helado Ice cream Con Chocolate y Vainilla 1 lt,ICE CREAM,None,2356.0,In stock,https://www.hiperlibertad.com.ar/helado-ice-cream-con-chocolate-y-vainilla-1-lt/p,12,congelados,helados-y-postres
HELADO FELICES LAS VACAS DULCE DE LECHE A BASE DE ALMENDRAS X 420 Gr,Mir,None,1442.0,In stock,https://www.hiperlibertad.com.ar/helado-felices-las-vacas-dulce-de-leche-a-base-de-almendras-x-420-gr/p,12,congelados,helados-y-postres
POSTRE ARCOR AGUILA x 637GR,Arcor,None,2949.0,In stock,https://www.hiperlibertad.com.ar/postre-arcor-aguila-x-637gr/p,12,congelados,helados-y-postres
PALETAS HELADAS DE CREMA AMERICANA NOTICECREAM® 4 X 240 GR,Not Company,None,2421.0,In stock,https://www.hiperlibertad.com.ar/paletas-heladas-de-crema-americana-noticecream-4-x-240-gr/p,12,congelados,helados-y-postres
BOMBONES HELADOS COFLER CITOS CHOCOLATE BLOCK X 180 Gr,Cofler,None,2190.0,In stock,https://www.hiperlibertad.com.ar/bombones-helados-cofler-citos-chocolate-block-x-180-gr/p,12,congelados,helados-y-postres
