title,brand,list_price,price,stock,url,branch_id,category,subcategory
CALEF PEABODY 3000 KCAL S/SAL,Mir,None,42579.0,In Stock,https://www.hiperlibertad.com.ar/calefactor-peabody-gas-natural-sin-salida-3000-kcal/p,12,electrodomesticos,climatizacion
ESTUFA ELECTRICA KEN BROWN KB2001,Ken Brown,None,18879.0,In Stock,https://www.hiperlibertad.com.ar/estufa-electrica-ken-brown-kb2001/p,12,electrodomesticos,climatizacion
VENTILADOR TURBO INDEPLAS DECO PISO NEGRO,Indeplas,24239.0,20603.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-turbo-indeplas-deco-piso-negro/p,12,electrodomesticos,climatizacion
AIRE ACONDICIONADO HYUNDAI 6000 FC HY8,Hyundai,None,999999.0,In Stock,https://www.hiperlibertad.com.ar/aire-acondicionado-hyundai-6000-fc-hy8/p,12,electrodomesticos,climatizacion
VENTILADOR TURBO INDEPLAS DECO PISO VERDE,Indeplas,24239.0,20603.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-turbo-indeplas-deco-piso-verde/p,12,electrodomesticos,climatizacion
VENTILADOR DE PIE INDUSTRIAL 32 PULGADAS LILIANA VPI32,LILIANA,None,132199.0,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-industrial-32-pulgadas-liliana-vpi32/p,12,electrodomesticos,climatizacion
CALEFACTOR CALEFACTOR LILIANA CVO-27,LILIANA,None,9559.0,In Stock,https://www.hiperlibertad.com.ar/calef-cuarzo-liliana-cv027/p,12,electrodomesticos,climatizacion
CALEFACTOR SPLIT LILIANA CW800,LILIANA,None,30799.0,In Stock,https://www.hiperlibertad.com.ar/calefactor-split-liliana-cw800/p,12,electrodomesticos,climatizacion
"TURBO INDELPLAS 12""",Mir,25299.0,21504.15,In Stock,https://www.hiperlibertad.com.ar/turboventilador-12-indelplas/p,12,electrodomesticos,climatizacion
VENTILADOR LILIANA DE PIE 20- ORBITAL VPRN20,LILIANA,68499.0,58224.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-20-pulgadas-liliana-vprn20/p,12,electrodomesticos,climatizacion
VENTILADOR DE PIE 18 PIONEER HOME 3EN1,Mir,46329.0,39379.65,In Stock,https://www.hiperlibertad.com.ar/vent-pie-18-pioneer-home-3en1/p,12,electrodomesticos,climatizacion
"VENT. PARED 24"" LILIANA VW2416",Mir,75499.0,64174.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pared-24-pulgadas-liliana-vw2416/p,12,electrodomesticos,climatizacion
CALEFACTOR INFRARROJO CI080 CALORE 700/1400W - LILIANA,LILIANA,None,18049.0,In Stock,https://www.hiperlibertad.com.ar/calefactor-ifrar-liliana-ci080/p,12,electrodomesticos,climatizacion
Caloventor Indelplas 2 Niveles 1800W AZUL,Indelplas,None,9599.0,In Stock,https://www.hiperlibertad.com.ar/caloventor-indeplas-1800w-ic-o1-azul/p,12,electrodomesticos,climatizacion
VENTILADOR DE PARED LILIANA VW25M,LILIANA,87999.0,74799.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pared-liliana-vw25m/p,12,electrodomesticos,climatizacion
Panel vitroconvector PEABODY 2000w pe-vc20n,PEABODY,None,37999.0,In Stock,https://www.hiperlibertad.com.ar/panel-vitroconvector-recto-peabody-vc20n/p,12,electrodomesticos,climatizacion
VITROCONVECTOR CURVO REABODY PE-VQM20R,PEABODY,None,42999.0,In Stock,https://www.hiperlibertad.com.ar/calefactor-vitroconvector-peabody-pe-vqm20r/p,12,electrodomesticos,climatizacion
"VENT PIE LILIANA 24"" VPHP2416",Mir,83499.0,70974.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-24-pulgadas-liliana-vphp2416/p,12,electrodomesticos,climatizacion
VENTILADOR TURBO INDEPLAS DECO PISO NARANJA,Indeplas,24239.0,20603.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-turbo-indeplas-deco-piso-naranja/p,12,electrodomesticos,climatizacion
VENTILADOR DE PIE 20 PULGADAS INDELPLAS VP20I,Indelplas,56519.0,48041.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-20-pulgadas-indelplas-vp20i/p,12,electrodomesticos,climatizacion
VENTILADOR DE PIE INDEPLAS 20 PULGADAS SIN BOTONERA,Indeplas,51829.0,44054.65,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-indeplas-20-pulgadas-sin-botonera/p,12,electrodomesticos,climatizacion
VENTILADOR DE PIE PEABODY PE-VPD2062,PEABODY,55999.0,47599.15,In Stock,https://www.hiperlibertad.com.ar/ventilador-de-pie-peabody-pe-vpd2062/p,12,electrodomesticos,climatizacion
CALOVENTOR LILIANA CFH510,LILIANA,None,16989.0,In Stock,https://www.hiperlibertad.com.ar/caloventor-liliana-dual-hot-cfh-510/p,12,electrodomesticos,climatizacion
AIRE ACONDICIONADO HYUNDAI INVERTER HY10INV 3200 FC,Hyundai,None,589999.0,In Stock,https://www.hiperlibertad.com.ar/aire-acondicionado-hyundai-inverter-hy10inv-3200-fc/p,12,electrodomesticos,climatizacion
