title,brand,list_price,price,stock,url,branch_id,category,subcategory
TOALLON KNUT 70 X 130 360G BLANCO FANTASIA,Rep Cor,6499.0,4874.25,In Stock,https://www.hiperlibertad.com.ar/toallon-knut-70-x-130-360g-blanco-fantasia/p,12,hogar,bano
TOALLA HOLLY 41X70 380G DU/AM,COTEMINAS,2999.0,2249.25,In Stock,https://www.hiperlibertad.com.ar/toalla-holly-41x70-color-durazno-380-gr/p,12,hogar,bano
TOALLON HOLLY 71X135 380G DU/AM,COTEMINAS,,4874.25,In Stock,https://www.hiperlibertad.com.ar/toallon-holly-71x135-color-durazno-380-gr/p,12,hogar,bano
TOALLON SAMY 70cmX130cm 380 Gramos cereza,Mir,6799.0,5099.25,In Stock,https://www.hiperlibertad.com.ar/toallon-samy-70cmx130cm-380-gramos-cereza/p,12,hogar,bano
Toallon Holly 71x135 color blanco 380 gr.,COTEMINAS,6499.0,4874.25,In Stock,https://www.hiperlibertad.com.ar/toallon-holly-71x135-color-blanco-380-gr/p,12,hogar,bano
TOALLA KNUT 41X70 380GRS VERDE,COTEMINAS,2999.0,2249.25,In Stock,https://www.hiperlibertad.com.ar/toalla-knut-41x70-380grs-verde/p,12,hogar,bano
Toalla Holly 41x70 color blanco 380 gr.,COTEMINAS,2999.0,2249.25,In Stock,https://www.hiperlibertad.com.ar/toalla-holly-41x70-color-blanco-380-gr/p,12,hogar,bano
TOALLA SAMY 41cmX70cm 380 Gramos beige,Mir,3099.0,2324.25,In Stock,https://www.hiperlibertad.com.ar/toalla-samy-41cmx70cm-380-gramos-beige/p,12,hogar,bano
JUEGO DE TOALLA Y TOALLON PALETTE BORIS 420G VERDE,COTEMINAS,12990.0,9742.5,In Stock,https://www.hiperlibertad.com.ar/juego-de-toalla-y-toallon-palette-boris-420g-verde/p,12,hogar,bano
TOALLON SAMY 70cmX130cm 380 Gramos beige,Mir,6799.0,5099.25,In Stock,https://www.hiperlibertad.com.ar/toallon-samy-70cmx130cm-380-gramos-beige/p,12,hogar,bano
TOALLA KNUT 41X70 380GRS MALVA,COTEMINAS,2999.0,2249.25,In Stock,https://www.hiperlibertad.com.ar/toalla-knut-41x70-380grs-malva/p,12,hogar,bano
TOALLA LUMIERE 500G 45CMX75CM BORDO,Mir,2799.0,2099.25,In Stock,https://www.hiperlibertad.com.ar/toalla-lumiere-500g-45cmx75cm-bordo/p,12,hogar,bano
Toallon Holly 71x135 color acquamarina 380 gr.,COTEMINAS,6499.0,4874.25,In Stock,https://www.hiperlibertad.com.ar/toallon-holly-71x135-color-acquamarina-380-gr/p,12,hogar,bano
TOALLA SOLARE 500G 45CMX80CM ROSA,Mir,2499.0,1874.25,In Stock,https://www.hiperlibertad.com.ar/toalla-solare-500g-45cmx80cm-rosa/p,12,hogar,bano
JABONERA VERDE-14226,Mir,,1579.0,In Stock,https://www.hiperlibertad.com.ar/jabonera-plastico-plasutil-verde/p,12,hogar,bano
TOALLÓN HOLLY 71X135 ROSA 380 Gr,COTEMINAS,6499.0,4874.25,In Stock,https://www.hiperlibertad.com.ar/toalla-holly-71x135-rosa-380-gr/p,12,hogar,bano
TOALLON KNUT 70cmX130cm 360 Gramos ROJO,Mir,6499.0,4874.25,In Stock,https://www.hiperlibertad.com.ar/toallon-knut-70cmx130cm-360-gramos-rojo/p,12,hogar,bano
