title,brand,list_price,price,stock,url,branch_id,category,subcategory
"MESA TV TABLES LINEA CHIC 1,33 m OLMO/GRIS",Tables,None,114399.0,In Stock,https://www.hiperlibertad.com.ar/mesa-tv-tables-linea-chic-1-33-m-olmo-gris/p,12,hogar,muebles-de-interior
BIBLIOTECA TABLES LINEA CHIC 2 CAJONES OLMO/EVEREST,Tables,None,99499.0,In Stock,https://www.hiperlibertad.com.ar/biblioteca-tables-linea-chic-2-cajones-olmo-everest/p,12,hogar,muebles-de-interior
MESA ARRIME REDONDA NEGRA,Donnet Muebles,None,24889.0,In Stock,https://www.hiperlibertad.com.ar/mesa-arrime-redonda-negra/p,12,hogar,muebles-de-interior
ESTANTE CON MESULA CENTROESTANT,CENTROESTANT,None,9499.0,In Stock,https://www.hiperlibertad.com.ar/estante-con-mesula-centroestant/p,12,hogar,muebles-de-interior
RACK TV MULTIFUNCION BLANCO,CENTROESTANT,None,54699.0,In Stock,https://www.hiperlibertad.com.ar/rack-tv-multifuncion-blanco/p,12,hogar,muebles-de-interior
MESA NOA REDONDA NEGRA LAQUEADA,Donnet Muebles,None,111999.0,In Stock,https://www.hiperlibertad.com.ar/mesa-noa-redonda-negra-laqueada/p,12,hogar,muebles-de-interior
FUTON REBATIBLE,Donnet Muebles,None,273799.0,In Stock,https://www.hiperlibertad.com.ar/futon-rebatible/p,12,hogar,muebles-de-interior
ESTANTE FLOTANTE CENTROESTANT,CENTROESTANT,None,19299.0,In Stock,https://www.hiperlibertad.com.ar/estante-flotante-centroestant-2/p,12,hogar,muebles-de-interior
"MINI PLACARD ESTUDIANTIL VENECIA 1,3 M",ORLANDI,None,211499.0,In Stock,https://www.hiperlibertad.com.ar/placard-bajo-de-1-3-mt-3-puertas-2-cajones-orlandi/p,12,hogar,muebles-de-interior
POLTRONA CONRAD,Donnet Muebles,154999.0,116248.99,In Stock,https://www.hiperlibertad.com.ar/poltrona-conrad/p,12,hogar,muebles-de-interior
MATERA CAÑO NEGRO TAP. BRONCE,Donnet Muebles,66429.0,49821.99,In Stock,https://www.hiperlibertad.com.ar/matera-ca-o-negro-tap-bronce/p,12,hogar,muebles-de-interior
MESA ARRIME CUADRADA TAPA MELAMINA,Donnet Muebles,None,40999.0,In Stock,https://www.hiperlibertad.com.ar/mesa-arrime-cuadrada-tapa-melamina/p,12,hogar,muebles-de-interior
ESTANTE CON MESULA CENTROESTANT,CENTROESTANT,None,13999.0,In Stock,https://www.hiperlibertad.com.ar/estante-con-mesula-centroestant-2/p,12,hogar,muebles-de-interior
MESA ARRIME REDONDA BLANCA,Donnet Muebles,None,24889.0,In Stock,https://www.hiperlibertad.com.ar/mesa-arrime-redonda-blanca/p,12,hogar,muebles-de-interior
SILLA DISEÑO NINA NEGRA,GardenLife,None,29999.0,In Stock,https://www.hiperlibertad.com.ar/silla-dise-o-nina-negra/p,12,hogar,muebles-de-interior
CHIFFONIER 6 CAJONES TABACO PLATINUM,PLATINUM,None,64499.0,In Stock,https://www.hiperlibertad.com.ar/chifonier-6-cajones-color-tabaco-platinum/p,12,hogar,muebles-de-interior
BOX JUVENIL TABLES 1 PLAZA 4 CAJONES Y ESTANTES OLMO/EVEREST,Tables,None,173999.0,In Stock,https://www.hiperlibertad.com.ar/box-juvenil-tables-1-plaza-4-cajones-y-estantes-olmo-everest/p,12,hogar,muebles-de-interior
VAJILLERO BOHO 2 PUERTAS,Mir,None,122999.0,In Stock,https://www.hiperlibertad.com.ar/vajillero-boho-2-puertas/p,12,hogar,muebles-de-interior
ESTANTE FLOTANTE SLIM 60X20 WENGUE,CENTROESTANT,None,8599.0,In Stock,https://www.hiperlibertad.com.ar/estante-flotante-slim-60x20-wengue/p,12,hogar,muebles-de-interior
MESA DE LUZ 1 CAJON 1 PUERTA ORLANDI,ORLANDI,None,27499.0,In Stock,https://www.hiperlibertad.com.ar/mesa-de-luz-1-cajon-1-puerta-orlandi/p,12,hogar,muebles-de-interior
ESTANTE FLOTANTE SLIM 80X20 WENGUE,CENTROESTANT,None,10299.0,In Stock,https://www.hiperlibertad.com.ar/estante-flotante-slim-80x20-wengue/p,12,hogar,muebles-de-interior
KIT DOBLE BLANCO / WENGUE ORLANDI,ORLANDI,None,80199.0,In Stock,https://www.hiperlibertad.com.ar/kit-doble-blanco-wengue-orlandi/p,12,hogar,muebles-de-interior
"RESPALDO JUVENIL 1,18 m TABLES OLMO/GRIS",Tables,None,41199.0,In Stock,https://www.hiperlibertad.com.ar/respaldo-juvenil-1-18-m-tables-olmo-gris/p,12,hogar,muebles-de-interior
