title,brand,list_price,price,stock,url,branch_id,category,subcategory
Cepillo Leader Price Para la Ropa X 1 Unidad,Pets Class,None,360.07,In stock,https://www.hiperlibertad.com.ar/cepillo-leader-price-para-la-ropa-x-1-unidad/p,12,limpieza,accesorios-de-limpieza
ESPONJA PLATA TASK15 GR,Mir,None,235.0,In stock,https://www.hiperlibertad.com.ar/esponja-plata-task15-gr/p,12,limpieza,accesorios-de-limpieza
PACK ESPONJA TASK COLOR X 3U,Mir,None,456.0,In stock,https://www.hiperlibertad.com.ar/pack-esponja-task-color-x-3u/p,12,limpieza,accesorios-de-limpieza
Bolsa Residuos Task Verde 45 x 60 x 20 unid.,Task,None,823.0,In stock,https://www.hiperlibertad.com.ar/bolsa-residuos-task-verde-45-x-60-x-20-unid/p,12,limpieza,accesorios-de-limpieza
Cabo Metalico Gris Virulana,Virulana,None,1137.0,In stock,https://www.hiperlibertad.com.ar/cabo-metalico-gris-virulana/p,12,limpieza,accesorios-de-limpieza
Escoba Exteriores La Gauchita,La Gauchita,2594.0,1505.99,In stock,https://www.hiperlibertad.com.ar/escoba-exteriores-la-gauchita/p,12,limpieza,accesorios-de-limpieza
Bolsa Residuos Rollo Bio 90x70cm Task 10 unid.,Task,None,1144.0,In stock,https://www.hiperlibertad.com.ar/bolsa-residuos-rollo-bio-90x70cm-task-10-unid/p,12,limpieza,accesorios-de-limpieza
Virulana Fibra Esponja Lisa 1 Und,Virulana,None,133.0,In stock,https://www.hiperlibertad.com.ar/virulana-fibra-esponja-lisa-1-und/p,12,limpieza,accesorios-de-limpieza
ESPONJA VIRULANA MULTIONDAS SIN RAYAR X 1 U,Virulana,None,296.0,In stock,https://www.hiperlibertad.com.ar/esponja-virulana-multiondas-sin-rayar-x-1-u/p,12,limpieza,accesorios-de-limpieza
Bolsa Residuos Asurin x 10 unid.,Asurin,None,1772.0,In stock,https://www.hiperlibertad.com.ar/bolsa-residuos-asurin-x-10-unid/p,12,limpieza,accesorios-de-limpieza
Secador Virulana Secarapid 40 Cm con Agarre,Virulana,None,1394.0,In stock,https://www.hiperlibertad.com.ar/secador-virulana-secarapid-40-cm-con-agarre/p,12,limpieza,accesorios-de-limpieza
GUANTES PLUMITA M,Mir,618.0,463.5,In stock,https://www.hiperlibertad.com.ar/guantes-plumita-m/p,12,limpieza,accesorios-de-limpieza
Broches Task de Madera 12 unid.,Task,None,689.0,In stock,https://www.hiperlibertad.com.ar/broches-task-de-madera-12-unid/p,12,limpieza,accesorios-de-limpieza
Bolsa Residuos Rollo Bio 50x70 Task 20 unid.,Task,None,1097.0,In stock,https://www.hiperlibertad.com.ar/bolsa-residuos-rollo-bio-50x70-task-20-unid/p,12,limpieza,accesorios-de-limpieza
FRANELA COLOR AMARILL LINEA10,Linea 10,None,592.0,In stock,https://www.hiperlibertad.com.ar/franela-color-amarill-linea10/p,12,limpieza,accesorios-de-limpieza
GUANTES PLUMITA S,Mir,None,618.0,In stock,https://www.hiperlibertad.com.ar/guantes-plumita-s/p,12,limpieza,accesorios-de-limpieza
ESPONJA SBRITE CRAYA NARX1UN,Mir,None,391.0,In stock,https://www.hiperlibertad.com.ar/esponja-sbrite-craya-narx1un/p,12,limpieza,accesorios-de-limpieza
Bolsa Residuos Task PL 45X60X10,Task,None,506.0,In stock,https://www.hiperlibertad.com.ar/bolsa-residuos-task-pl-45x60x10/p,12,limpieza,accesorios-de-limpieza
Escobillón Plano Asapractic,La Gauchita,None,1225.0,In stock,https://www.hiperlibertad.com.ar/escobillon-plano-asapractic/p,12,limpieza,accesorios-de-limpieza
GUANTES VIRULANA MULTIUSO L,Virulana,None,961.0,In stock,https://www.hiperlibertad.com.ar/guantes-virulana-multiuso-l/p,12,limpieza,accesorios-de-limpieza
