title,brand,list_price,price,stock,url,branch_id,category,subcategory
Detergente Bora Limon 750ml,Bora,None,540.0,In stock,https://www.hiperlibertad.com.ar/detergente-bora-limon-750ml/p,12,limpieza,limpieza-de-cocina
Detergente Gigante Glicerina x 750 ml,Gigante,None,483.0,In stock,https://www.hiperlibertad.com.ar/detergente-gigante-glicerina-x-750-ml/p,12,limpieza,limpieza-de-cocina
BOLSA BOZIP CIERRE FACIL GRANDE X 4 U,Mir,None,879.56,In stock,https://www.hiperlibertad.com.ar/bolsa-bozip-cierre-facil-grande-x-4-u/p,12,limpieza,limpieza-de-cocina
MAGISTRAL ULTRA� LIMON� 300ML,Mir,None,688.0,In stock,https://www.hiperlibertad.com.ar/detergente-lavavajillas-magistral-ultra-limon-x-300-ml/p,12,limpieza,limpieza-de-cocina
Limpiador Multisuperficies CIF Original Ultra Brillo 400 ml Gatillo,Cif,None,977.0,In stock,https://www.hiperlibertad.com.ar/limpiador-multisuperficies-cif-original-ultra-brillo-400-ml-gatillo/p,12,limpieza,limpieza-de-cocina
DETERGENTE LAVAVAJILLAS HEROE MANZANA X 300 CC,Héroe,None,552.0,In stock,https://www.hiperlibertad.com.ar/detergente-lavavajillas-heroe-manzana-x-300-cc/p,12,limpieza,limpieza-de-cocina
DETERGENTE FINISH EN POLVO 1KG,Finish,2387.0,1522.99,In stock,https://www.hiperlibertad.com.ar/detergente-finish-en-polvo-1kg/p,12,limpieza,limpieza-de-cocina
Lavavajillas para Maquina Polvo Finish 1 Kg,Finish,None,2291.0,In stock,https://www.hiperlibertad.com.ar/lavavajillas-para-maquina-polvo-finish-1-kg/p,12,limpieza,limpieza-de-cocina
LIMPIADOR LIQUIDO PROCENEX ANTIGRASA CITRUS X 900 Ml,Procenex,None,273.0,In stock,https://www.hiperlibertad.com.ar/limpiador-liquido-procenex-antigrasa-citrus-x-900-ml/p,12,limpieza,limpieza-de-cocina
LIMPIADOR LIQUIDO PROCENEX ANTIGRASA X 900 Ml,Procenex,None,273.0,In stock,https://www.hiperlibertad.com.ar/limpiador-liquido-procenex-antigrasa-x-900-ml/p,12,limpieza,limpieza-de-cocina
LIMPiador BORA VIDRIOS DP 500CC,Bora,452.0,338.99,In stock,https://www.hiperlibertad.com.ar/limpiador-bora-vidrios-dp-500cc/p,12,limpieza,limpieza-de-cocina
PROTECTOR DE HORNALLAS SEPARATA X 12 U,Separata,None,2810.0,In stock,https://www.hiperlibertad.com.ar/protector-de-hornallas-separata-x-12-u/p,12,limpieza,limpieza-de-cocina
