title,brand,list_price,price,stock,url,branch_id,category,subcategory
PH HIGIENOL SH 4X30 FRESH ALOE,Mir,None,966.0,In stock,https://www.hiperlibertad.com.ar/papel-higi-nico-higienol-hoja-simple-fresh-aloe-4-u-30-mts/p,12,limpieza,papeles
ROLLO DE COCINA SUSSEX CLÁSICO 3X50M,Mir,None,1025.0,In stock,https://www.hiperlibertad.com.ar/rc-sussex-cl-sico-3x50/p,12,limpieza,papeles
PAPEL.H.CAMPANITA.XL.DHX4UX50M,Mir,None,2061.0,In stock,https://www.hiperlibertad.com.ar/papel-higienico-campanita-doble-hoja-4-unid-x-50-mts/p,12,limpieza,papeles
Servilleta Sussex Hoja simple 30x30 Blanca x 80 Uni.,Sussex,None,591.0,In stock,https://www.hiperlibertad.com.ar/servilleta-sussex-hoja-simple-30x30-blanca-x-80-uni/p,12,limpieza,papeles
Pañuelos Elite c/extracto de seda Pack x 10 x 6 un,Elite,None,522.0,In stock,https://www.hiperlibertad.com.ar/pa-uelos-elite-c-extracto-de-seda-pack-x-10-x-6-un/p,12,limpieza,papeles
Papel higiénico Elite hoja simple con algodón 30 Mts x 6 u,Elite,1389.0,990.0,In stock,https://www.hiperlibertad.com.ar/papel-higi-nico-elite-hoja-simple-con-algod-n-30-mts-x-6-u/p,12,limpieza,papeles
ROLLO DE COCINA CAMPANITA PRACTIROLLO 1 X 200,Campanita,None,895.0,In stock,https://www.hiperlibertad.com.ar/rollo-de-cocina-campanita-practirollo-1-x-200/p,12,limpieza,papeles
PAPEL HIGIENICO HIGIENOL PREMIUM DOBLE HOJA 4 U X 30 Mts,Higienol,None,1287.0,In stock,https://www.hiperlibertad.com.ar/papel-higienico-higienol-premium-doble-hoja-x4ux30mts/p,12,limpieza,papeles
Papel Higienico Campanita ultra Doble Hoja 4unid. x 30mts,Campanita,None,1113.0,In stock,https://www.hiperlibertad.com.ar/papel-higienico-campanita-ultra-doble-hoja-4unid-x-30mts/p,12,limpieza,papeles
Papel higiénico hoja simple Higienol max x 4 U 80 mts,Higienol,None,1983.0,In stock,https://www.hiperlibertad.com.ar/papel-higi-nico-hoja-simple-higienol-max-x-4-u-80-mts/p,12,limpieza,papeles
Rollo de Cocina Campanita Minimega 2unid. x 100mts.,Campanita,None,1099.0,In stock,https://www.hiperlibertad.com.ar/rollo-de-cocina-campanita-minimega-2unid-x-100mts/p,12,limpieza,papeles
ROLLO COCINA CAMPANITA CLASSIC 3U. X 150 PA�OS.,Mir,778.0,599.0,In stock,https://www.hiperlibertad.com.ar/rollo-de-cocina-campanita-classic-3-unid-x-50-pa-os/p,12,limpieza,papeles
Papel higiénico hoja simple Higienol max x 4 u 100 mts,Higienol,None,2277.0,In stock,https://www.hiperlibertad.com.ar/papel-higi-nico-hoja-simple-higienol-max-x-4-u-100-mts/p,12,limpieza,papeles
PAÑUELOS DESCARTABLES X 6 U,Mir,None,488.0,In stock,https://www.hiperlibertad.com.ar/pa-uelos-descartables-x-6-u/p,12,limpieza,papeles
Rollo de Cocina Sussex Clásico Megarollo x 200 paños,Sussex,None,932.0,In stock,https://www.hiperlibertad.com.ar/rollo-de-cocina-sussex-cl-sico-megarollo-x-200-pa-os/p,12,limpieza,papeles
Papel Higiénico Campanita Plus 4 u x 50 Mts,Campanita,None,1882.0,In stock,https://www.hiperlibertad.com.ar/papel-higi-nico-campanita-plus-4-u-x-50-mts/p,12,limpieza,papeles
Papel higiénico Campanita Soft 4 Un 80 Mt,Campanita,None,1566.0,In stock,https://www.hiperlibertad.com.ar/papel-higienico-campanita-soft-4-un-80-mt/p,12,limpieza,papeles
