title,brand,list_price,price,stock,url,branch_id,category,subcategory
LECHE LS P D C/HIERRO PET 1L,Mir,None,612.0,In Stock,https://www.hiperlibertad.com.ar/leche-la-serenisima-parcialmente-descremada-con-hierro-pet-1l/p,12,lacteos,leches
NESQUIK RTD MILKSHAKE BNA X190,Mir,None,266.0,In Stock,https://www.hiperlibertad.com.ar/nesquik-rtd-milkshake-bna-x190/p,12,lacteos,leches
Leche Entera C/Calcio LA LACTEO Larga Vida 1 L,La Lácteo,None,545.0,In Stock,https://www.hiperlibertad.com.ar/leche-entera-c-calcio-la-lacteo-larga-vida-1-l/p,12,lacteos,leches
Bebida Láctea La Serenisima Sense Caramel x 1 L,Sense,None,859.0,In Stock,https://www.hiperlibertad.com.ar/bebida-lactea-sense-c-car-bri-1lt/p,12,lacteos,leches
LECHE ILOLAY LARGA VIDA DESCREMADA X 1 L,Ilolay,None,577.0,In Stock,https://www.hiperlibertad.com.ar/leche-ilolay-larga-vida-descremada-x-1-l/p,12,lacteos,leches
LECHE CHOCOLATADA ILOLAY X 200 Ml,Ilolay,None,293.0,In Stock,https://www.hiperlibertad.com.ar/leche-chocolatada-ilolay-x-200-ml/p,12,lacteos,leches
LECHE LA SERENÍSIMA PROTEIN UAT 0% PET 1L,La Serenisima,None,684.0,In Stock,https://www.hiperlibertad.com.ar/leche-la-serenisima-protein-uat-0-pet-1l/p,12,lacteos,leches
LECHE DESCREMADA TREGAR 0% GRASA UAT 1LT,Tregar,None,648.0,In Stock,https://www.hiperlibertad.com.ar/leche-descremada-tregar-0-grasa-uat-1lt/p,12,lacteos,leches
Bebible Frutilla La Serenisima Larga Vida 1L,La Serenisima,None,698.0,In Stock,https://www.hiperlibertad.com.ar/bebible-frutilla-la-serenisima-larga-vida-1l/p,12,lacteos,leches
LECHE ILOLAY LARGA VIDA ENTERA X 1 L,Ilolay,None,577.0,In Stock,https://www.hiperlibertad.com.ar/leche-ilolay-larga-vida-entera-x-1-l/p,12,lacteos,leches
Alimento vegetal bebible La Serenisima 100% vegetal Almendra sin azúcar 1L,La Serenisima,None,1153.0,In Stock,https://www.hiperlibertad.com.ar/alimento-vegetal-bebible-la-serenisima-100-vegetal-almendra-sin-azucar-1l/p,12,lacteos,leches
LECHE LIVIANA LAS TRES NIÑAS 2% FORTIFICADA 1 LT,Mir,None,798.0,In Stock,https://www.hiperlibertad.com.ar/leche-l3n-2-vit-zinc-1-lt/p,12,lacteos,leches
Vital 1 - Brick 200 ml,Vital,None,600.0,In Stock,https://www.hiperlibertad.com.ar/vital-1-brick-200-ml/p,12,lacteos,leches
LECHE ILOLAY REDUCIDA EN LACTOSA X 1 L,Ilolay,None,676.0,In Stock,https://www.hiperlibertad.com.ar/leche-ilolay-reducida-en-lactosa-x-1-l/p,12,lacteos,leches
LECHE.L3N.0%.VITYMIN,Mir,None,1057.0,In Stock,https://www.hiperlibertad.com.ar/leche-l3n-0-vitymin/p,12,lacteos,leches
LECHE LS UAT PET ENT 3%,Mir,None,871.0,In Stock,https://www.hiperlibertad.com.ar/leche-entera-larga-vida-la-serenisima-clasica-3-botella-1-lt/p,12,lacteos,leches
Bebible Vainilla La Serenisima 0% Grasas Larga Vida 1L,La Serenisima,None,698.0,In Stock,https://www.hiperlibertad.com.ar/bebible-vainilla-la-serenisima-0-grasas-larga-vida-1l/p,12,lacteos,leches
"LECHE POL.NUTRILON 3 POUCH1,2KG",Mir,None,6756.0,In Stock,https://www.hiperlibertad.com.ar/leche-en-polvo-nutrilon-3-pouch1-2kg/p,12,lacteos,leches
LECHE L.V DESCREMADA TREGARX1L,Mir,None,579.0,In Stock,https://www.hiperlibertad.com.ar/leche-larga-vida-descremada-tregar-1-lt/p,12,lacteos,leches
Leche Ultra Descremada 2% La Serenisima Sachet 1L,La Serenísima,None,619.0,In Stock,https://www.hiperlibertad.com.ar/leche-ultra-descremada-2-la-serenisima-sachet-1l/p,12,lacteos,leches
LECHE CLÁSICA LAS TRES NIÑAS 3% FORTIFICADA 1 LT,Mir,None,798.0,In Stock,https://www.hiperlibertad.com.ar/l3n-leche-entera-vitymin/p,12,lacteos,leches
Leche Parcialmente Descremada UAT MANFREY Larga Vida 1 L,Manfrey,None,565.0,In Stock,https://www.hiperlibertad.com.ar/leche-parcialmente-descremada-uat-manfrey-larga-vida-1-l/p,12,lacteos,leches
