title,brand,list_price,price,stock,url,branch_id,category,subcategory
POSTRE DANETTE MOUSSE DULCE DE LECHE X 80 Gr,Danette,None,549.4,In Stock,https://www.hiperlibertad.com.ar/postre-danette-mousse-dulce-de-leche-x-80-gr-2/p,12,lacteos,postres-y-flanes
FLAN SERENITO VAINILLA X 100 Gr,Serenito,None,369.9,In Stock,https://www.hiperlibertad.com.ar/flan-serenito-vainilla-x-100-gr/p,12,lacteos,postres-y-flanes
POSTRE DANETTE MOUSSE CHOCOLATE X 80 Gr,Danette,None,549.4,In Stock,https://www.hiperlibertad.com.ar/postre-danette-mousse-chocolate-x-80-gr/p,12,lacteos,postres-y-flanes
POSTRE DANETTE CREMA AMERICANA X 95 Gr,Danette,None,543.7,In Stock,https://www.hiperlibertad.com.ar/postre-danette-crema-americana-x-95-gr-2/p,12,lacteos,postres-y-flanes
POSTRE DANETTE COPA CHOCOLATE Y CREMA X 100 Gr,Danette,None,618.3,In Stock,https://www.hiperlibertad.com.ar/postre-danette-copa-chocolate-y-crema-x-100-gr-2/p,12,lacteos,postres-y-flanes
POSTRE ILOLAY DULCE DE LECHE X 120 Gr,Ilolay,None,265.0,In Stock,https://www.hiperlibertad.com.ar/postre-ilolay-dulce-de-leche-x-120-gr/p,12,lacteos,postres-y-flanes
Flan De Vainilla Manfrey 120Gr,Manfrey,None,258.0,In Stock,https://www.hiperlibertad.com.ar/flan-de-vainilla-manfrey-120gr/p,12,lacteos,postres-y-flanes
Postre Danette Mousse Dulce de Leche x 80 gr,Danette,946.0,350.4,In Stock,https://www.hiperlibertad.com.ar/postre-danette-mousse-dulce-de-leche-x-80-gr/p,12,lacteos,postres-y-flanes
POSTRE DANETTE COPA CHOCOLATE Y CREMA X 100 Gr,Danette,788.0,394.3,In Stock,https://www.hiperlibertad.com.ar/postre-danette-copa-chocolate-y-crema-x-100-gr/p,12,lacteos,postres-y-flanes
Postre De Dulce De Leche Manfrey 120Gr,Manfrey,None,254.0,In Stock,https://www.hiperlibertad.com.ar/postre-de-dulce-de-leche-manfrey-120gr/p,12,lacteos,postres-y-flanes
POSTRE FELICES LAS VACAS DULCE DE LECHE X 170 Gr,Mir,None,651.0,In Stock,https://www.hiperlibertad.com.ar/postre-felices-las-vacas-dulce-de-leche-x-170-gr/p,12,lacteos,postres-y-flanes
Postre Shimy vainilla pote x 120 gr,Shimy,None,435.0,In Stock,https://www.hiperlibertad.com.ar/postre-shimy-vainilla-pote-x-120-gr/p,12,lacteos,postres-y-flanes
POSTRE DANETTE DULCE DE LECHE X 95 Gr,Danette,None,543.7,In Stock,https://www.hiperlibertad.com.ar/postre-danette-dulce-de-leche-x-95-gr/p,12,lacteos,postres-y-flanes
FLAN YATASTO C CAR 130 GRS,Mir,None,281.0,In Stock,https://www.hiperlibertad.com.ar/flan-yatasto-con-caramelo-x-130-gr/p,12,lacteos,postres-y-flanes
POSTRE DANETTE FLAN X 95 Gr,Danette,None,543.7,In Stock,https://www.hiperlibertad.com.ar/postre-danette-flan-x-95-gr/p,12,lacteos,postres-y-flanes
POSTRE DANETTE CHOCOLATE X 95 Gr,Danette,None,543.7,In Stock,https://www.hiperlibertad.com.ar/postre-danette-chocolate-x-95-gr/p,12,lacteos,postres-y-flanes
Postre De Vainilla Manfrey 120Gr,Manfrey,None,253.0,In Stock,https://www.hiperlibertad.com.ar/postre-de-vainilla-manfrey-120gr/p,12,lacteos,postres-y-flanes
POSTRE YATASTO VAINILLA X 100 Gr,Mir,None,168.0,In Stock,https://www.hiperlibertad.com.ar/postre-yatasto-vainilla-x-100-gr/p,12,lacteos,postres-y-flanes
ARROZ CON LECHE YATASTO X 140 Gr,Mir,None,309.0,In Stock,https://www.hiperlibertad.com.ar/arroz-con-leche-yatasto-x-140-gr/p,12,lacteos,postres-y-flanes
Postre Shimy vainilla con dulce de leche pote x 120 gr,Shimy,None,447.0,In Stock,https://www.hiperlibertad.com.ar/postre-shimy-vainilla-con-dulce-de-leche-pote-x-120-gr/p,12,lacteos,postres-y-flanes
Postre Vainilla Kids Ilolay 130 Gr,Ilolay,None,266.0,In Stock,https://www.hiperlibertad.com.ar/postre-vainilla-kids-ilolay-130-gr/p,12,lacteos,postres-y-flanes
Postre Vainilla Con Dulce De Leche Kids Ilolay 130 Gr,Ilolay,None,266.0,In Stock,https://www.hiperlibertad.com.ar/postre-vainilla-con-dulce-de-leche-kids-ilolay-130-gr/p,12,lacteos,postres-y-flanes
POSTRE FEL LA VACAS CHOC 170GR,Mir,None,651.0,In Stock,https://www.hiperlibertad.com.ar/postre-felices-las-vacas-chocolate-x-170-gr/p,12,lacteos,postres-y-flanes
