title,brand,list_price,price,stock,url,branch_id,category,subcategory
ACONDICIONADOR PETS CLASS X 500ML,Pets Class,,2054.0,In Stock,https://www.hiperlibertad.com.ar/acondicionador-pets-class-x-500ml/p,12,mascotas,accesorios-para-mascotas
PELOTA SONAJERO PETSCLASS X2UDS,Mir,1005.0,652.99,In Stock,https://www.hiperlibertad.com.ar/pelota-sonajero-petsclass-para-mascotas-x-2-u/p,12,mascotas,accesorios-para-mascotas
TABLETAS PET-CLASS FORTI X12,Mir,1024.0,767.99,In Stock,https://www.hiperlibertad.com.ar/tabletas-pet-class-forti-x-12-u/p,12,mascotas,accesorios-para-mascotas
HUESO PETS CLASS 9/10 X 1 U,Pets Class,3291.0,2138.99,In Stock,https://www.hiperlibertad.com.ar/hueso-pets-class-9-10-x-1-u/p,12,mascotas,accesorios-para-mascotas
CONJUNTO PATITAS PETS CLASS M X 1U,Pets Class,,3916.0,In Stock,https://www.hiperlibertad.com.ar/conjunto-patitas-pets-class-m-x-1u/p,12,mascotas,accesorios-para-mascotas
Hueso Saborizado Para Perros Pets Class,Pets Class,2074.0,1347.99,In Stock,https://www.hiperlibertad.com.ar/hueso-saborizado-para-perros-pets-class/p,12,mascotas,accesorios-para-mascotas
HUESO SABORIZADO 5/6 X1UNIDAD,Mir,1165.0,873.99,In Stock,https://www.hiperlibertad.com.ar/hueso-saborizado-5-6-x-1u/p,12,mascotas,accesorios-para-mascotas
ALIMENTO PARA GATOS WHISKAS ADULTO SABOR SALMON POUCH 85 GR,Whiskas,,457.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-adulto-sabor-salmon-pouch-85-gr/p,12,mascotas,alimentos
GALLETITAS PETSCLASS CARNEX75G,Pets Class,,472.0,In Stock,https://www.hiperlibertad.com.ar/galletitas-petsclass-carnex75g/p,12,mascotas,alimentos
Alimento para Perros Pedigree Cachorros Carne 85 Gr,Pedigree,,435.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-pedigree-cachorros-carne-85-gr/p,12,mascotas,alimentos
ALIMENTO PARA GATOS FELIX GATITOS MEGAMIX X 1 Kg,Felix,,1824.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-felix-gatitos-megamix-x-1-kg/p,12,mascotas,alimentos
ALIMENTO PARA GATOS HUMEDO PETS CLASS 340GR,Pets Class,,982.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-humedo-pets-class-340gr/p,12,mascotas,alimentos
ALIMENTO PARA GATOS WHISKAS GATITO LATA SABOR CARNE 340 GR,Whiskas,,1276.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-gatito-lata-sabor-carne-340-gr/p,12,mascotas,alimentos
ALIMENTO PARA PERROS GALLETAS PETS CLASS CARNE X 400G,Pets Class,,1904.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-galletas-pets-class-carne-x-400g/p,12,mascotas,alimentos
ALIMENTO PARA GATOS WHISKAS SALMON X 500 Gr,Whiskas,,1311.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-salmon-x-500-gr/p,12,mascotas,alimentos
ALIMENTO PARA PERROS PETS CALSS CACHORO POL/LEC X 340GR,Pets Class,,982.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-pets-calss-cachoro-pol-lec-x-340gr/p,12,mascotas,alimentos
GALLETAS PARA PERROS PETS CLASS HORNEADAS PANCETA AHUMADA X 120 Gr,Pets Class,,792.0,In Stock,https://www.hiperlibertad.com.ar/galletas-para-perros-pets-class-horneadas-panceta-ahumada-x-120-gr/p,12,mascotas,alimentos
ALIMENTO GATOS WHISKAS PESCADO X 1KG,Whiskas,2178.0,1000.0,In Stock,https://www.hiperlibertad.com.ar/alimento-gatos-whiskas-pescado-x-1kg/p,12,mascotas,alimentos
