title,brand,list_price,price,stock,url,branch_id,category,subcategory
ALIMENTO PARA GATOS WHISKAS ADULTO SABOR SALMON POUCH 85 GR,Whiskas,None,457.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-adulto-sabor-salmon-pouch-85-gr/p,12,mascotas,alimentos
GALLETITAS PETSCLASS CARNEX75G,Pets Class,None,472.0,In Stock,https://www.hiperlibertad.com.ar/galletitas-petsclass-carnex75g/p,12,mascotas,alimentos
Alimento para Perros Pedigree Cachorros Carne 85 Gr,Pedigree,None,435.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-pedigree-cachorros-carne-85-gr/p,12,mascotas,alimentos
ALIMENTO PARA GATOS FELIX GATITOS MEGAMIX X 1 Kg,Felix,None,1824.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-felix-gatitos-megamix-x-1-kg/p,12,mascotas,alimentos
ALIMENTO PARA GATOS HUMEDO PETS CLASS 340GR,Pets Class,None,982.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-humedo-pets-class-340gr/p,12,mascotas,alimentos
ALIMENTO PARA GATOS WHISKAS GATITO LATA SABOR CARNE 340 GR,Whiskas,None,1276.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-gatito-lata-sabor-carne-340-gr/p,12,mascotas,alimentos
ALIMENTO PARA PERROS GALLETAS PETS CLASS CARNE X 400G,Pets Class,None,1904.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-galletas-pets-class-carne-x-400g/p,12,mascotas,alimentos
ALIMENTO PARA GATOS WHISKAS SALMON X 500 Gr,Whiskas,None,1311.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-salmon-x-500-gr/p,12,mascotas,alimentos
ALIMENTO PARA PERROS PETS CALSS CACHORO POL/LEC X 340GR,Pets Class,None,982.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-pets-calss-cachoro-pol-lec-x-340gr/p,12,mascotas,alimentos
GALLETAS PARA PERROS PETS CLASS HORNEADAS PANCETA AHUMADA X 120 Gr,Pets Class,None,792.0,In Stock,https://www.hiperlibertad.com.ar/galletas-para-perros-pets-class-horneadas-panceta-ahumada-x-120-gr/p,12,mascotas,alimentos
ALIMENTO GATOS WHISKAS PESCADO X 1KG,Whiskas,2178.0,1000.0,In Stock,https://www.hiperlibertad.com.ar/alimento-gatos-whiskas-pescado-x-1kg/p,12,mascotas,alimentos
ALIMENTO PARA PEROO PEDIGREE RODEO CARNE 4 UN,Pedigree,None,724.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-peroo-pedigree-rodeo-carne-4-un/p,12,mascotas,alimentos
ALIMENTO PARA GATOS FELIX ADULTOS MEGAMIX X 1 Kg,Felix,None,1668.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-felix-adultos-megamix-x-1-kg/p,12,mascotas,alimentos
ALIMENTO PARA GATOS PETS CLASS FRUT. MAR X 340GR,Pets Class,None,982.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-pets-class-frut-mar-x-340gr/p,12,mascotas,alimentos
ALIMENTO PARA PERRO PEDIGREE DENTASTIX RAZA PEQUEÑA 1 UN,Pedigree,None,274.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perro-pedigree-dentastix-raza-pequena-1-un/p,12,mascotas,alimentos
ALIMENTO PARA GATOS KINGFOOD 500 Gr,Kingfood,None,753.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-kingfood-500-gr/p,12,mascotas,alimentos
GALLETAS PARA PERRO PETS CLASS POLLO X 400 Gr,Pets Class,None,1904.0,In Stock,https://www.hiperlibertad.com.ar/galletas-para-perro-pets-class-pollo-x-400-gr/p,12,mascotas,alimentos
ALIMENTO PARA PERRO PEDIGREE DENTASTIX RAZA MEDIANA 1 UN,Pedigree,None,265.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perro-pedigree-dentastix-raza-mediana-1-un/p,12,mascotas,alimentos
ALIMENTO PARA GATOS WHISKAS CARNE SOUFFLE GATITOS X 85 Gr,Whiskas,None,435.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-carne-souffle-gatitos-x-85-gr/p,12,mascotas,alimentos
ALIMENTO PARA PERRO PEDIGREE BISCROK MULTI 100GR,Pedigree,None,605.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perro-pedigree-biscrok-multi-100gr/p,12,mascotas,alimentos
ALIMENTO PARA GATOS SABROSITOS MIX 10 Kg,Sabrositos,None,13463.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-sabrositos-mix-10-kg/p,12,mascotas,alimentos
ALIMENTO PARA PERRO PEDIGREE DENTASTIX RAZA MEDIANA 3 UN,Pedigree,None,724.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perro-pedigree-dentastix-raza-mediana-3-un/p,12,mascotas,alimentos
DENTASTIX PEDIGREE RAZAS PEQUEÑAS X 7 U,Pedigree,None,1347.0,In Stock,https://www.hiperlibertad.com.ar/dentastix-pedigree-razas-peque-as-x-7-u/p,12,mascotas,alimentos
FELIX ADULTOS MEGAMIX 3KG,Mir,None,4709.0,In Stock,https://www.hiperlibertad.com.ar/felix-adultos-megamix-3kg/p,12,mascotas,alimentos
ALIMENTO PARA PERROS SABROSITOS MIX CACHORROS X 8 Kg,Sabrositos,None,9319.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-sabrositos-mix-cachorros-x-8-kg/p,12,mascotas,alimentos
ALIMENTO PARA GATOS WHISKAS ADULTO LATA SABOR POLLO 340 GR,Whiskas,None,1276.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-gatos-whiskas-adulto-lata-sabor-pollo-340-gr/p,12,mascotas,alimentos
BOCADITOS PALITOS PARA PERROS RAZA CARNE X 65 Gr,Raza,None,321.0,In Stock,https://www.hiperlibertad.com.ar/bocaditos-palitos-para-perros-raza-carne-x-65-gr/p,12,mascotas,alimentos
SABROSITOS VARIEDADES X17KG,Mir,None,12642.0,In Stock,https://www.hiperlibertad.com.ar/sabrositos-variedades-x17kg/p,12,mascotas,alimentos
SNACKS PARA PERROS PETS CLASS GALLETAS HORNEADAS PANCETA X 50 Gr,Pets Class,None,544.0,In Stock,https://www.hiperlibertad.com.ar/snacks-para-perros-pets-class-galletas-horneadas-panceta-x-50-gr/p,12,mascotas,alimentos
PED ADULTO BALANCE NAT ETAPA 2 X7KG,Mir,None,9329.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-pedigree-balance-natural-adultos-7-kg/p,12,mascotas,alimentos
ALIMENTO PARA PERROS GUISADO RAZA CARNE X 340GR,Raza,None,721.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-guisado-raza-carne-x-340gr/p,12,mascotas,alimentos
ALIMENTO PARA PERROS GALLETITAS PETS CLASS PANCETA X 400GR,Pets Class,None,1904.0,In Stock,https://www.hiperlibertad.com.ar/alimento-para-perros-galletitas-pets-class-panceta-x-400gr/p,12,mascotas,alimentos
