title,brand,list_price,price,stock,url,branch_id,category,subcategory
"FIVE NIGHTS AT FREDDYS, FAZBE",Mir,None,9599.0,In Stock,https://www.hiperlibertad.com.ar/five-nights-at-freddys-fazbe/p,12,libreria,libreria-y-papeleria
Papel Muresco Lunares Azul Blister x 2 hojas,Muresco,None,429.0,In Stock,https://www.hiperlibertad.com.ar/papel-muresco-lunares-azul-blister-x-2-hojas/p,12,libreria,libreria-y-papeleria
LIBRO ARTERAPIA X 1 U,Mir,None,799.0,In Stock,https://www.hiperlibertad.com.ar/libro-arterapia-x-1-u/p,12,libreria,libreria-y-papeleria
MATEMATICAS 2-JUEGO Y APRENDO,Mir,None,1139.0,In Stock,https://www.hiperlibertad.com.ar/matematicas-2-juego-y-aprendo-2/p,12,libreria,libreria-y-papeleria
Bolígrafo STICK 1.0 / negro,FILGO,None,1399.0,In Stock,https://www.hiperlibertad.com.ar/boligrafo-stick-1-0-negro/p,12,libreria,libreria-y-papeleria
CUADERNO AMERICA CUADRICULADO 80 HOJAS,AMERICA,None,2315.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-29-7-x-80-hojas-cuadriculado/p,12,libreria,libreria-y-papeleria
CUADERNO AMERICA AMARILLO RAYADO TAPAS DURAS LUNARES X 42 HOJAS,AMERICA,None,1910.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-amarillo-rayado-tapas-duras-lunares-x-42-hojas/p,12,libreria,libreria-y-papeleria
REPUESTO ESCOLAR ÉXITO N°3 48 HOJAS CUADRICULADO,Éxito,None,2175.0,In Stock,https://www.hiperlibertad.com.ar/repuesto-escolar-exito-n-3-48-hojas-cuadriculado/p,12,libreria,libreria-y-papeleria
REP X 6 HS N 3 COLOR EL NENE..,El Nene,None,809.0,In Stock,https://www.hiperlibertad.com.ar/repuesto-el-nene-n3-para-dibujo-hoja-color-x-8-hojas/p,12,libreria,libreria-y-papeleria
CUADERNO AMERICA ROJO CUADRICULADO TAPAS DURAS X 42 HOJAS,AMERICA,None,1910.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-rojo-cuadriculado-tapas-duras-x-42-hojas/p,12,libreria,libreria-y-papeleria
LIBRO NEURONAS EN ACCION EJERCITA TU CEREBRO X 1 U,Mir,None,399.0,In Stock,https://www.hiperlibertad.com.ar/libro-neuronas-en-accion-ejercita-tu-cerebro-x-1-u/p,12,libreria,libreria-y-papeleria
RESMA PAMPA A4 70GR 500 HOJAS,PAMPA,3999.0,3199.0,In Stock,https://www.hiperlibertad.com.ar/resma-pampa-a4-70gr-500-hojas/p,12,libreria,libreria-y-papeleria
Resaltador LIGHTER FINE / flúo am + am,FILGO,None,1279.0,In Stock,https://www.hiperlibertad.com.ar/resaltador-lighter-fine-fluo-am-am/p,12,libreria,libreria-y-papeleria
REPUESTO RITMO RAYADO 400 HOJAS,RITMO,None,5999.0,In Stock,https://www.hiperlibertad.com.ar/repuesto-ritmo-rayado-400-hojas/p,12,libreria,libreria-y-papeleria
CARPETA ESCOLAR 3 ANILLAS 40MM FIBRA NEGRA FIBRACAP,Mir,None,1029.0,In Stock,https://www.hiperlibertad.com.ar/carpeta-escolar-3-anillas-40mm-fibra-negra-fibracap/p,12,libreria,libreria-y-papeleria
ACTIVA TU CEREBRO 2,Mir,None,1439.0,In Stock,https://www.hiperlibertad.com.ar/activa-tu-cerebro-2/p,12,libreria,libreria-y-papeleria
Canopla Ezco plana basic line x 1 unidad,Ezco,None,1769.0,In Stock,https://www.hiperlibertad.com.ar/canopla-ezco-plana-basic-line-x-1-unidad-con-1-compartimiento-tela-cordura/p,12,libreria,libreria-y-papeleria
Bolígrafo retráctil FASTGRIP 1.0 / negro,FILGO,None,799.0,In Stock,https://www.hiperlibertad.com.ar/boligrafo-retractil-fastgrip-1-0-negro/p,12,libreria,libreria-y-papeleria
KIT X5 MAPAS N3 AMERICA DEL SUR POL.,Rivadavia,None,799.0,In Stock,https://www.hiperlibertad.com.ar/kit-5-mapas-rivadavia-america-del-sur-n-3/p,12,libreria,libreria-y-papeleria
LIBRO MANDALAS MAGICOS COLOREAR PARA RELAJARTE X 1 U,Mir,None,699.0,In Stock,https://www.hiperlibertad.com.ar/libro-mandalas-magicos-colorear-para-relajarte-x-1-u/p,12,libreria,libreria-y-papeleria
CUADERNO AMERICA AZUL RAYADO TAPAS DURAS LUNARES X 42 HOJAS,AMERICA,None,1910.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-azul-rayado-tapas-duras-lunares-x-42-hojas/p,12,libreria,libreria-y-papeleria
Resaltador BIC Marking High Lighter Text (brite Liner Text) Verde Blister 1 unidad,BIC,None,795.0,In Stock,https://www.hiperlibertad.com.ar/resaltador-bic-marking-high-lighter-text-brite-liner-text-verde-blister-1-unidad/p,12,libreria,libreria-y-papeleria
Resaltador LIGHTER FINE / Flúo am + na,FILGO,None,1279.0,In Stock,https://www.hiperlibertad.com.ar/resaltador-lighter-fine-fluo-am-na/p,12,libreria,libreria-y-papeleria
Cinta Scotch Empaque 24mm x 50m - Transparente,Scotch,None,665.0,In Stock,https://www.hiperlibertad.com.ar/cinta-scotch-empaque-24mm-x-50m-transparente/p,12,libreria,libreria-y-papeleria
CUADERNO RIVADAVIA CON LUNARES AZUL 50 HOJAS TAPAS DURAS RAYADO,Rivadavia,None,4609.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-rivadavia-con-lunares-azul-50-hojas-tapas-duras-rayado/p,12,libreria,libreria-y-papeleria
CUADERNO EXITO ARAÑA 48 HOJAS RAYADAS AMARILLO TAPA DURA,Éxito,None,3559.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-exito-ara-a-48-hojas-rayadas-amarillo-tapa-dura/p,12,libreria,libreria-y-papeleria
Cinta Scotch 500 12 mm x 10 mts,Scotch,264.0,189.0,In Stock,https://www.hiperlibertad.com.ar/cinta-scotch-500-12-mm-x-10-mts/p,12,libreria,libreria-y-papeleria
TEMPERAS MAPED X 12 U,Maped,None,1799.0,In Stock,https://www.hiperlibertad.com.ar/temperas-maped-x-12-u/p,12,libreria,libreria-y-papeleria
CUADERNO EXITO TAPA LUNAR RAYADO VERDE X 48 HOJAS,Éxito,None,3555.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-exito-tapa-lunar-rayado-verde-x-48-hojas/p,12,libreria,libreria-y-papeleria
CUADERNO AMERICA NARANJA RAYADO TAPAS DURAS LUNARES X 42 HOJAS,AMERICA,None,1910.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-naranja-rayado-tapas-duras-lunares-x-42-hojas/p,12,libreria,libreria-y-papeleria
Ecolápices Faber Castel de colores x 12 unidades + 6 lápices neon,Faber Castell,None,4599.0,In Stock,https://www.hiperlibertad.com.ar/ecol-pices-faber-castel-de-colores-x-12-unidades-6-l-pices-neon/p,12,libreria,libreria-y-papeleria
RESMA DE HOJAS LEDESMA NAT A4 75 Gr,Ledesma,3999.0,3199.0,In Stock,https://www.hiperlibertad.com.ar/resma-de-hojas-ledesma-nat-a4-75-gr/p,12,libreria,libreria-y-papeleria
Riñonera Candy matelase zig-zag color block,Mir,None,5899.0,In Stock,https://www.hiperlibertad.com.ar/ri-onera-candy-matelase-zig-zag-color-block-37-8-5cm-x-1-u/p,12,libreria,libreria-y-papeleria
Folio n3 Luma extra cristal 10 unidades,LUMA,None,470.0,In Stock,https://www.hiperlibertad.com.ar/folio-n3-luma-extra-cristal-10-unidades/p,12,libreria,libreria-y-papeleria
LIBRO COLECCIÓN EL GATO DE HOJALATA X 1 U,Mir,None,599.0,In Stock,https://www.hiperlibertad.com.ar/libro-colecci-n-el-gato-de-hojalata-x-1-u/p,12,libreria,libreria-y-papeleria
ROTULOS X3PLANCHAS X1UN,Ezco,None,749.0,In Stock,https://www.hiperlibertad.com.ar/rotulos-ezco-x-3-planchas/p,12,libreria,libreria-y-papeleria
OJALILLOS AVERY TRANSPARENTES X 5,Avery,None,415.9,In Stock,https://www.hiperlibertad.com.ar/ojalillos-avery-transparentes-x-5/p,12,libreria,libreria-y-papeleria
CINTA P/EMPAQUE 3M TRANSP.,Scotch,None,702.0,In Stock,https://www.hiperlibertad.com.ar/cinta-de-empaque-scotch-48-mm-x-40-mts/p,12,libreria,libreria-y-papeleria
CUADERNO AMERICA VERDE RAYADO TAPAS DURAS LUNARES X 42 HOJAS,AMERICA,None,1910.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-verde-rayado-tapas-duras-lunares-x-42-hojas/p,12,libreria,libreria-y-papeleria
Cuaderno America rayado tapa araña azul x 42 hojas,América,None,1910.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-rayado-tapa-arana-azul-x-42-hojas/p,12,libreria,libreria-y-papeleria
CUADERNO AMERICA 80 HOJAS RAYADO,AMERICA,None,2315.0,In Stock,https://www.hiperlibertad.com.ar/cuaderno-america-29-7x80-hojas-rayado/p,12,libreria,libreria-y-papeleria
Mochila matelasse cotton Candy 26x22x9.5cm x 1 u,Mir,None,14999.0,In Stock,https://www.hiperlibertad.com.ar/mochila-matelasse-cotton-candy-26x22x9-5cm-x-1-u/p,12,libreria,libreria-y-papeleria
