title,brand,list_price,price,stock,url,branch_id,category,subcategory
Tapas Para Empanadas Italiana Arabes x 12 un,Italiana,None,786.0,In Stock,https://www.hiperlibertad.com.ar/tapas-para-empanadas-italiana-arabes-x-12-un/p,12,pastas-frescas-y-tapas,tapas
TAPAS PASCUALINAS VILLA DAGRI,Mir,None,663.0,In Stock,https://www.hiperlibertad.com.ar/tapa-pascualina-villa-dagri-x-2-un/p,12,pastas-frescas-y-tapas,tapas
Tapas Para Pascualina Criolla La Italiana 400 gr,La Italiana,None,703.0,In Stock,https://www.hiperlibertad.com.ar/tapas-para-pascualina-criolla-la-italiana-400-gr/p,12,pastas-frescas-y-tapas,tapas
Prepizza Con Salsa De Tomate x 2 un,Sin Marca,None,1301.0,In Stock,https://www.hiperlibertad.com.ar/prepizza-con-salsa-de-tomate-x-2-un/p,12,pastas-frescas-y-tapas,tapas
DISCO P/EMPANADAS PIPORINO FREIR X 12U,Piporino,None,504.0,In Stock,https://www.hiperlibertad.com.ar/disco-p-empanadas-piporino-freir-x-12u/p,12,pastas-frescas-y-tapas,tapas
DISCO EMPANADAS YULI HOR/VIG X 12U,Yuli,None,605.0,In Stock,https://www.hiperlibertad.com.ar/disco-empanadas-yuli-hor-vig-x-12u/p,12,pastas-frescas-y-tapas,tapas
TAPAS PARA EMPANADAS LA ITALIANA FREIR X 12 U,La Italiana,None,577.0,In Stock,https://www.hiperlibertad.com.ar/tapas-para-empanadas-la-italiana-freir-x-12-u/p,12,pastas-frescas-y-tapas,tapas
Disco Para Pastelito Yuli x 24 un,Yuli,None,831.0,In Stock,https://www.hiperlibertad.com.ar/disco-para-pastelito-yuli-x-24-un/p,12,pastas-frescas-y-tapas,tapas
DISCO P/EMPANADAS YULI FREIR X 12U,Yuli,None,605.0,In Stock,https://www.hiperlibertad.com.ar/disco-p-empanadas-yuli-freir-x-12u/p,12,pastas-frescas-y-tapas,tapas
Tapas Para Empanadas Italiana Horno x 12 un,Italiana,None,577.0,In Stock,https://www.hiperlibertad.com.ar/tapas-para-empanadas-italiana-horno-x-12-un/p,12,pastas-frescas-y-tapas,tapas
