title,brand,list_price,price,stock,url,branch_id,category,subcategory
KIT COLORACION SILKEY KEY KOLOR MASTER COLLECTION N 10.1 MOONLIGHT PLATINO,Silkey,,1692.0,In stock,https://www.hiperlibertad.com.ar/kit-coloracion-silkey-key-kolor-master-collection-n-10-1-moonlight-platino/p,12,perfumeria,cuidado-capilar
Acondicionador Capilatis Keratina 350 ML,Capilatis,,1781.0,In stock,https://www.hiperlibertad.com.ar/acondicionador-capilatis-keratina-350-ml/p,12,perfumeria,cuidado-capilar
COLORACIÓN KOLESTON SING 121 RUBIO CENIZA,Koleston,2096.0,1361.99,In stock,https://www.hiperlibertad.com.ar/coloracion-koleston-sing-121-rubio-ceniza/p,12,perfumeria,cuidado-capilar
MÁSCARA. ALTA MODA ALFAKERATIN 300 GR,Alta moda,,1208.0,In stock,https://www.hiperlibertad.com.ar/mascara-alta-moda-alfakeratin-300-gr/p,12,perfumeria,cuidado-capilar
KIT COLORACION SILKEY KEY KOLOR MASTER COLLECTION N 5.3,Silkey,1692.0,1099.99,In stock,https://www.hiperlibertad.com.ar/kit-coloracion-silkey-key-kolor-master-collection-n-5-3/p,12,perfumeria,cuidado-capilar
COLORACIÓN ALTA MODA 1 NEGRO,Alta moda,1978.0,1237.99,In stock,https://www.hiperlibertad.com.ar/coloracion-alta-moda-1-negro/p,12,perfumeria,cuidado-capilar
SHAMPOO BIFERDIL MORINGA Y KERATINA X 200ML,Biferdil,,2417.0,In stock,https://www.hiperlibertad.com.ar/shampoo-biferdil-moringa-y-keratina-x-200ml/p,12,perfumeria,cuidado-capilar
ACONDICIONADOR DOVE RECONSTRUCCION COMPLETA X 400 Ml,Dove,1748.0,1399.0,In stock,https://www.hiperlibertad.com.ar/acondicionador-dove-reconstruccion-completa-x-400-ml-2/p,12,perfumeria,cuidado-capilar
SHAMPOO SEDAL CREMA BALANCE X 650 Ml,Sedal,1756.0,1499.0,In stock,https://www.hiperlibertad.com.ar/shampoo-sedal-crema-balance-x-650-ml-2/p,12,perfumeria,cuidado-capilar
KIT COLORACION SILKEY KEY KOLOR MASTER COLLECTION N 9.3 RUBIO CLARO CLARO ARENA DORADO,Silkey,,1692.0,In stock,https://www.hiperlibertad.com.ar/kit-coloracion-silkey-key-kolor-master-collection-n-9-3-rubio-claro-claro-arena-dorado/p,12,perfumeria,cuidado-capilar
COLORACION PERMANENTE KOLESTON SINGLE N°80 RUBIO CLARO,Koleston,1996.0,1296.99,In stock,https://www.hiperlibertad.com.ar/coloracion-permanente-koleston-single-n-80-rubio-claro/p,12,perfumeria,cuidado-capilar
Acondicionador Capilatis Brillo 420 ML,Capilatis,,1781.0,In stock,https://www.hiperlibertad.com.ar/acondicionador-capilatis-brillo-420-ml/p,12,perfumeria,cuidado-capilar
