title,brand,list_price,price,stock,url,branch_id,category,subcategory
Baguetin sin sal Taeq x 2 un,TAEQ,,26399.99,In Stock,https://www.hiperlibertad.com.ar/baguetin-sin-sal-taeq-x-2-un/p,12,taeq,almacen-taeq
ACEITE TAEQ DE CANOLA Y OLIVA 250ML,TAEQ,,94633.33,In Stock,https://www.hiperlibertad.com.ar/aceite-taeq-de-canola-y-oliva-250ml/p,12,taeq,almacen-taeq
MIEL TAEQ FRASCO X 250 G. CRE,Mir,,87347.47,In Stock,https://www.hiperlibertad.com.ar/miel-cremosa-taeq-250-grs/p,12,taeq,almacen-taeq
ROMERO ESPECIERO MOLE X 30 Gr,Molé,,1069.0,In Stock,https://www.hiperlibertad.com.ar/romero-especiero-mole-x-30-gr/p,12,taeq,almacen-taeq
JENGIBRE ESPECIERO MOLE X 75 Gr,Molé,,1356.0,In Stock,https://www.hiperlibertad.com.ar/jengibre-especiero-mole-x-75-gr/p,12,taeq,almacen-taeq
SAZONADOR GOURMET MOLE X 115 Gr,Molé,,1488.0,In Stock,https://www.hiperlibertad.com.ar/sazonador-gourmet-mole-x-115-gr/p,12,taeq,almacen-taeq
CHIMICHURRI PATAGONICO SHIO X 100 Gr,Mir,,1033.0,In Stock,https://www.hiperlibertad.com.ar/chimichurri-patagonico-shio-x-100-gr/p,12,taeq,almacen-taeq
SAZONADOR CRIOLLO MOLE X 120 Gr,Molé,,1127.0,In Stock,https://www.hiperlibertad.com.ar/sazonador-criollo-mole-x-120-gr/p,12,taeq,almacen-taeq
"TOSTADAS C/SEMILLA S/TACC,S/L",Mir,1322.0,999.0,In Stock,https://www.hiperlibertad.com.ar/tostadas-con-semillas-taeq-4/p,12,taeq,almacen-taeq
AJO ESPECIERO MOLE X 55 Gr,Molé,,1076.0,In Stock,https://www.hiperlibertad.com.ar/ajo-especiero-mole-x-55-gr/p,12,taeq,almacen-taeq
CURRY ESPECIERO MOLE X 45 Gr,Molé,,1012.0,In Stock,https://www.hiperlibertad.com.ar/curry-especiero-mole-x-45-gr/p,12,taeq,almacen-taeq
PREMEZCLA PIZZA STACCTAEQX500G,Mir,,1360.0,In Stock,https://www.hiperlibertad.com.ar/premezcla-pizza-taeq-500gr/p,12,taeq,almacen-taeq
SAZONADOR MOSTAZA Y CURRY MOLE X 120 Gr,Molé,,990.0,In Stock,https://www.hiperlibertad.com.ar/sazonador-mostaza-y-curry-mole-x-120-gr/p,12,taeq,almacen-taeq
NUEZ MOSCADA ESPECIERO MOLE X 55 Gr,Molé,,2339.0,In Stock,https://www.hiperlibertad.com.ar/nuez-moscada-especiero-mole-x-55-gr/p,12,taeq,almacen-taeq
ACEITE TAEQ DE CANOLA 250ML,TAEQ,,87470.7,In Stock,https://www.hiperlibertad.com.ar/aceite-taeq-de-canola-250ml/p,12,taeq,almacen-taeq
CHIMICHURRI ARGENTO SHIO X 100 Gr,Mir,,1033.0,In Stock,https://www.hiperlibertad.com.ar/chimichurri-argento-shio-x-100-gr/p,12,taeq,almacen-taeq
TOMILLO ESPECIERO MOLE X 35 Gr,Molé,,1031.0,In Stock,https://www.hiperlibertad.com.ar/tomillo-especiero-mole-x-35-gr/p,12,taeq,almacen-taeq
SAZONADOR PINCANTE MOLE X 120 Gr,Molé,,92300.0,In Stock,https://www.hiperlibertad.com.ar/sazonador-pincante-mole-x-120-gr/p,12,taeq,almacen-taeq
CEBOLLA ESPECIERO MOLE X 45 Gr,Molé,,1154.0,In Stock,https://www.hiperlibertad.com.ar/cebolla-especiero-mole-x-45-gr/p,12,taeq,almacen-taeq
PEREJIL Y AJO ESPECIERO MOLE X 70 Gr,Molé,,1204.0,In Stock,https://www.hiperlibertad.com.ar/perejil-y-ajo-especiero-mole-x-70-gr/p,12,taeq,almacen-taeq
SAZONADOR LIMON Y PIMIENTA MOLE X 120 Gr,Molé,,1488.0,In Stock,https://www.hiperlibertad.com.ar/sazonador-limon-y-pimienta-mole-x-120-gr/p,12,taeq,almacen-taeq
TRIGO BURGOL ORIENTAL TAEQ 200GR,TAEQ,,854.0,In Stock,https://www.hiperlibertad.com.ar/trigo-burgol-oriental-taeq-200gr/p,12,taeq,frutas-y-verduras-taeq
SOJA TAEQ 200GR,TAEQ,,397.0,In Stock,https://www.hiperlibertad.com.ar/soja-taeq-200gr/p,12,taeq,frutas-y-verduras-taeq
POLENTA MEDITERRANEA TAEQ 200GR,TAEQ,,746.0,In Stock,https://www.hiperlibertad.com.ar/polenta-mediterranea-taeq-200gr/p,12,taeq,frutas-y-verduras-taeq
ARROZ PARBOIL TAEQ 240GR,TAEQ,,400.0,In Stock,https://www.hiperlibertad.com.ar/arroz-parboil-taeq-240gr/p,12,taeq,frutas-y-verduras-taeq
POROTO MUNG TAEQ 200GR,TAEQ,,464.0,In Stock,https://www.hiperlibertad.com.ar/poroto-mung-taeq-200gr/p,12,taeq,frutas-y-verduras-taeq
SOPA ENERGÉTICA TAEQ,TAEQ,,756.0,In Stock,https://www.hiperlibertad.com.ar/sopa-energetica-taeq/p,12,taeq,frutas-y-verduras-taeq
SEMILLAS DE CHIA TAEQ 190GR,TAEQ,,1259.0,In Stock,https://www.hiperlibertad.com.ar/semillas-de-chia-taeq-190gr/p,12,taeq,frutas-y-verduras-taeq
POROTO ADZUKI TAEQ 200GR,TAEQ,,652.0,In Stock,https://www.hiperlibertad.com.ar/poroto-adzuki-taeq-200gr/p,12,taeq,frutas-y-verduras-taeq
