title,brand,list_price,price,stock,url,branch_id,category,subcategory
None,None,None,None,Out of stock,https://www.hiperlibertad.com.ar/yogur-firme-entero-de-dulce-de-leche-yofrey-140gr/p,12,lacteos,yogures
None,None,None,None,Out of stock,https://www.hiperlibertad.com.ar/yog-lsc-c-cereales-x-157gr/p,12,lacteos,yogures
"Yogur Peppa Pig batido vainilla Danonino 80,5gr",Danonino,None,23600.0,In Stock,https://www.hiperlibertad.com.ar/yogur-peppa-pig-batido-vainilla-danonino-80-5gr/p,12,lacteos,yogures
YOGUR SER DESCREMADO CON COLCHON DE FRUTOS ROJOS X 175 Gr,Ser,99400.0,69790.9,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-descremado-con-colchon-de-frutos-rojos-x-175-gr/p,12,lacteos,yogures
YOGUR SER DESCREMADO CON COLCHON DE DURAZNO Y MANZANA X 175 Gr,Ser,88700.0,69790.9,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-descremado-con-colchon-de-durazno-y-manzana-x-175-gr/p,12,lacteos,yogures
None,None,None,None,Out of stock,https://www.hiperlibertad.com.ar/yogur-yogs-firme-natural-x-190-gr/p,12,lacteos,yogures
None,None,None,None,Out of stock,https://www.hiperlibertad.com.ar/yog-lsc-entero-arandanox140gr/p,12,lacteos,yogures
YOGUR0 YOFREY DESCREMADO FRUTILLA 140 GRS,Manfrey,None,None,In Stock,https://www.hiperlibertad.com.ar/yogur0-yofrey-descremado-frutilla-140-grs/p,12,lacteos,yogures
YOGUR YATASTO DESCREMADO VAINILLA X 1 L,Mir,None,44000.0,In Stock,https://www.hiperlibertad.com.ar/yogur-yatasto-descremado-vainilla-x-1-l/p,12,lacteos,yogures
YOGUR BEBIBLE SER FRUTILLA SIN LACTOSA X 185 Gr,Ser,96600.0,70320.2,In Stock,https://www.hiperlibertad.com.ar/yogur-bebible-ser-frutilla-sin-lactosa-x-185-gr-2/p,12,lacteos,yogures
YOGUR ILOLAY DESCREMADO VAINILLA X 190GR,Ilolay,None,26700.0,In Stock,https://www.hiperlibertad.com.ar/yogur-ilolay-descremado-vainilla-x-190gr/p,12,lacteos,yogures
YOGUR ILOLAY DESCREMADO C/CEREAL X 150ML,Ilolay,None,33300.0,In Stock,https://www.hiperlibertad.com.ar/yogur-ilolay-descremado-c-cereal-x-150ml/p,12,lacteos,yogures
YOGUR SER CEREALES CON MIEL X 166 Gr,Ser,1003.0,80170.7,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-cereales-con-miel-x-166-gr/p,12,lacteos,yogures
Yogur Bebible Yofurisimo Entero Frutilla Tetrabrick x 1 Lt,Yogurísimo,None,1631.5,In Stock,https://www.hiperlibertad.com.ar/yogur-bebible-yofurisimo-entero-frutilla-tetrabrick-x-1-lt/p,12,lacteos,yogures
YOGUR SER DESCREMADO FIRME VAINILLA X 190 Gr,Ser,80700.0,None,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-descremado-firme-vainilla-x-190-gr/p,12,lacteos,yogures
YOGUR NATURAL YOGURISIMO ENDULZADO X 300 Gr,Yogurísimo,None,74470.7,In Stock,https://www.hiperlibertad.com.ar/yogur-natural-yogurisimo-endulzado-x-300-gr/p,12,lacteos,yogures
YOGUR YOGURISIMO ESTILO GRIEGO FRUTILLAS A LA CREMA X 125 Gr,Yogurísimo,None,61530.3,In Stock,https://www.hiperlibertad.com.ar/yogur-yogurisimo-estilo-griego-frutillas-a-la-crema-x-125-gr/p,12,lacteos,yogures
