title,brand,list_price,price,stock,url,branch_id,category,subcategory
CREMA LECHE HUMECTANTE CORPORAL VEGANIS CELULITIS GINKGO BILBOA X 500 Gr,Veganis,3678.0,2330.99,In stock,https://www.hiperlibertad.com.ar/crema-leche-humectante-corporal-veganis-celulitis-ginkgo-bilboa-x-500-gr/p,12,perfumeria,cuidado-de-la-piel
Crema Para Manos Atrix Intensive 150 ml,Mir,None,907.0,In stock,https://www.hiperlibertad.com.ar/crema-para-manos-atrix-intensive-150-ml/p,12,perfumeria,cuidado-de-la-piel
CREMA VERITAS CORP SECA 400ML,Veritas,3855.0,2297.99,In stock,https://www.hiperlibertad.com.ar/crema-veritas-corp-seca-400ml/p,12,perfumeria,cuidado-de-la-piel
Gel de Limpieza Facial con Pepino y Limón Francés x 100ml,Sri Sri Tattva,3495.0,2271.99,In stock,https://www.hiperlibertad.com.ar/gel-de-limpieza-facial-con-pepino-y-limon-frances-x-100ml/p,12,perfumeria,cuidado-de-la-piel
Crema Corporal Nivea Manteca de Karité 5En1 x 250 Ml,Nivea,None,None,In stock,https://www.hiperlibertad.com.ar/crema-corporal-nivea-manteca-de-karit-5en1-x-250-ml/p,12,perfumeria,cuidado-de-la-piel
GEL LIMPIEZA FACIAL KALO PORE SABER X 120 ML.,Mir,None,6530.0,In stock,https://www.hiperlibertad.com.ar/gel-de-limpieza-facial-kalo-pore-saver-x-120-ml/p,12,perfumeria,cuidado-de-la-piel
CREMA LECHE HUMECTANTE CORPORAL VEGANIS COFEE BERRY Y NECTARINE X 500 Gr,Veganis,3678.0,2330.99,In stock,https://www.hiperlibertad.com.ar/crema-leche-humectante-corporal-veganis-cofee-berry-y-nectarine-x-500-gr/p,12,perfumeria,cuidado-de-la-piel
Gel de Limpieza Facial con Aloe Vera x 100ml,Sri Sri Tattva,3496.0,2271.99,In stock,https://www.hiperlibertad.com.ar/gel-de-limpieza-facial-con-aloe-vera-x-100ml/p,12,perfumeria,cuidado-de-la-piel
Protector Solar Cocoa Beach FPS50 x 130 gr,Cocoa Beach,None,6346.0,In stock,https://www.hiperlibertad.com.ar/protector-solar-cocoa-beach-fps-50-130-gr/p,12,perfumeria,cuidado-de-la-piel
CREMA VERITAS CORP NORMAL 200ML,Veritas,2300.0,1371.99,In stock,https://www.hiperlibertad.com.ar/crema-veritas-corp-normal-200ml/p,12,perfumeria,cuidado-de-la-piel
GEL DE LIMPIEZA FACIAL NEUTROGENA X 150 Ml,Neutrogena,None,None,In stock,https://www.hiperlibertad.com.ar/gel-de-limpieza-facial-neutrogena-x-150ml/p,12,perfumeria,cuidado-de-la-piel
Gel de Limpieza Facial con Rosas x 100ml,Sri Sri Tattva,3488.0,2266.99,In stock,https://www.hiperlibertad.com.ar/gel-de-limpieza-facial-con-rosas-x-100ml/p,12,perfumeria,cuidado-de-la-piel
Toallitas Desmaquillantes Qsoft 25 U,Qsoft,None,None,In stock,https://www.hiperlibertad.com.ar/toallitas-desmaquillantes-qsoft-25-u/p,12,perfumeria,cuidado-de-la-piel
CREMA VERITAS CORP NORMAL 400ML,Veritas,3855.0,None,In stock,https://www.hiperlibertad.com.ar/crema-veritas-corp-normal-400ml/p,12,perfumeria,cuidado-de-la-piel
Crema Hidratante con Rosas y Aloe Vera x 150gr,Sri Sri Tattva,5417.0,3520.99,In stock,https://www.hiperlibertad.com.ar/crema-hidratante-con-rosas-y-aloe-vera-x-150gr/p,12,perfumeria,cuidado-de-la-piel
JABON EXFOLIANTE ASEPXIA X 100 Gr,Asepxia,None,680.0,In stock,https://www.hiperlibertad.com.ar/jabon-exfoliante-asepxia-x-100-gr/p,12,perfumeria,cuidado-de-la-piel
CEPILLO DE UÑA TIPO ACRILICO,Tao,None,None,In stock,https://www.hiperlibertad.com.ar/cepillo-de-una-tipo-acrilico/p,12,perfumeria,cuidado-de-la-piel
CREMA VERITAS EXTRA SECA 400ML,Veritas,3853.0,2296.99,In stock,https://www.hiperlibertad.com.ar/crema-veritas-extra-seca-400ml/p,12,perfumeria,cuidado-de-la-piel
CREMA CORPORAL VERITAS PIEL EXTRA SECA X 200 Ml,Veritas,2300.0,None,In stock,https://www.hiperlibertad.com.ar/crema-corporal-veritas-piel-extra-seca-x-200-ml/p,12,perfumeria,cuidado-de-la-piel
AGUA MICELAR BIFASICA NIVEA ROSE CARE 400 ML,Nivea,None,None,In stock,https://www.hiperlibertad.com.ar/agua-micelar-bifasica-nivea-rose-care-400-ml/p,12,perfumeria,cuidado-de-la-piel
Protector Solar Fps 40 Dermaglos Bot 200 Ml,Dermaglós,None,None,In stock,https://www.hiperlibertad.com.ar/protector-solar-dermagl-s-f40-emulsion-x-200-ml/p,12,perfumeria,cuidado-de-la-piel
Toallas Anti Acne Qsoft 25 U,Qsoft,None,911.0,In stock,https://www.hiperlibertad.com.ar/toallas-anti-acne-qsoft-25-u/p,12,perfumeria,cuidado-de-la-piel
Crema corporal Goicoechea anti celulitis 200 ml.,Goicoechea,None,797.0,In stock,https://www.hiperlibertad.com.ar/crema-corporal-goicoechea-anti-celulitis-200-ml/p,12,perfumeria,cuidado-de-la-piel
LIMA CARTON X10 Nº17,Diswald,789.0,465.99,In stock,https://www.hiperlibertad.com.ar/lima-carton-x10-n-17/p,12,perfumeria,cuidado-de-la-piel
Crema para piernas Goicoechea ultra nutritiva 200 ml.,Goicoechea,None,None,In stock,https://www.hiperlibertad.com.ar/crema-para-piernas-goicoechea-ultra-nutritiva-200-ml/p,12,perfumeria,cuidado-de-la-piel
KIT TAO PINZA DE DEPILAR + LIMA,Tao,481.0,312.99,In stock,https://www.hiperlibertad.com.ar/kit-tao-pinza-de-depilar-lima/p,12,perfumeria,cuidado-de-la-piel
BROCHA DE AFEITAR,Diswald,1416.0,922.99,In stock,https://www.hiperlibertad.com.ar/brocha-de-afeitar/p,12,perfumeria,cuidado-de-la-piel
"Exfoliante con extractos de Aloe Vera, Rosa, Pepino y Limón x 100gr",Sri Sri Tattva,3623.0,2354.99,In stock,https://www.hiperlibertad.com.ar/exfoliante-con-extractos-de-aloe-vera-rosa-pepino-y-limon-x-100gr/p,12,perfumeria,cuidado-de-la-piel
EXFOLIANTE VEGANIS PERA Y MACADAMIA X 500 Gr,Veganis,3950.0,2567.99,In stock,https://www.hiperlibertad.com.ar/exfoliante-veganis-pera-y-macadamia-x-500-gr/p,12,perfumeria,cuidado-de-la-piel
CREMA LECHE CORPORAL VEGANIS CORRECTORA PAR LA PIEL COCO Y CALENDULA X 500 Gr,Veganis,3678.0,None,In stock,https://www.hiperlibertad.com.ar/crema-leche-corporal-veganis-correctora-par-la-piel-coco-y-calendula-x-500-gr/p,12,perfumeria,cuidado-de-la-piel
EXFOLIANTE FACIAL KALO PERFECT SKIN X 100 ML.,Mir,None,6821.0,In stock,https://www.hiperlibertad.com.ar/exfoliante-facial-kalo-perfect-skin-x-100-ml/p,12,perfumeria,cuidado-de-la-piel
CREMA FACIAL CICATRICURE TRICURE ANTIARRUGAS X 60 Gr,Cicatricure,None,3649.0,In stock,https://www.hiperlibertad.com.ar/crema-facial-cicatricure-tricure-antiarrugas-x-60-gr/p,12,perfumeria,cuidado-de-la-piel
Loción Corporal Nivea Vainilla Y Aceite De Almendras x 400ml,Nivea,None,None,In stock,https://www.hiperlibertad.com.ar/loci-n-corporal-nivea-vainilla-y-aceite-de-almendras-x-400ml/p,12,perfumeria,cuidado-de-la-piel
DESMAQUILLADOR DE OJOS NIVEA BIFÁSICO X 125 ML.,Nivea,None,2520.0,In stock,https://www.hiperlibertad.com.ar/desmaquillador-de-ojos-nivea-bif-sico-x-125-ml/p,12,perfumeria,cuidado-de-la-piel
