title,brand,list_price,price,stock,url,branch_id,category,subcategory
Cepillo Dental Colgate Max White Medio x 2 Unidades,Colgate,None,1084.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-max-white-medio-x-2-unidades/p,12,perfumeria,cuidado-oral
Palillo interdental Sof-picks GUM x 40 unid 632,Gum,None,1330.0,In stock,https://www.hiperlibertad.com.ar/palillo-interdental-sof-picks-gum-x-40-unid-632/p,12,perfumeria,cuidado-oral
CEPILLO DE DIENTES INFANTIL COLGATE MINIOS 1 UN,Colgate,None,637.0,In stock,https://www.hiperlibertad.com.ar/cepillo-de-dientes-infantil-colgate-minios-1-un/p,12,perfumeria,cuidado-oral
Cepillo dental COLGATE Slim Black X2u.,Colgate,None,1471.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-slim-black-x2u/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL COLGATE PLAX ICE INFINITY X 500 Ml,Colgate,None,2595.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-plax-ice-infinity-x-500-ml/p,12,perfumeria,cuidado-oral
CEPILLO DENTAL ORAL-B KIDS MICKEY X 1 U,Oral-B,None,342.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-oral-b-kids-mickey-x-1-u/p,12,perfumeria,cuidado-oral
Palillo interdental Sof-picks Advance GUM x 12 unid 650,Gum,None,736.0,In stock,https://www.hiperlibertad.com.ar/palillo-interdental-sof-picks-advance-gum-x-12-unid-650/p,12,perfumeria,cuidado-oral
HILO DENTAL VIDRIO MERAKI,MERAKI,2301.0,1495.99,In stock,https://www.hiperlibertad.com.ar/hilo-dental-vidrio-meraki/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Triple Acción x 2 unid.,Colgate,None,492.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-triple-acci-n-x-2-unid/p,12,perfumeria,cuidado-oral
Enjuague Bucal Colgate Plax Classic x 250 ml,Colgate,None,1227.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-plax-classic-x-250-ml/p,12,perfumeria,cuidado-oral
Cepillo dental Sonic GUM 4100L,Gum,None,6486.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-sonic-gum-4100l/p,12,perfumeria,cuidado-oral
Enjuague Bucal Colgate Plax Fresh Mint x 250 ml,Colgate,1675.0,1000.99,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-plax-fresh-mint-x-250-ml/p,12,perfumeria,cuidado-oral
Pasta dental GUM x 100gr 1743AR,Gum,None,985.0,In stock,https://www.hiperlibertad.com.ar/pasta-dental-gum-x-100gr-1743ar/p,12,perfumeria,cuidado-oral
Cepillo Colgate 360 Luminous White Medio,Colgate,None,1458.0,In stock,https://www.hiperlibertad.com.ar/cep-dental-colgate-360-lumi-x2/p,12,perfumeria,cuidado-oral
CEPILLO COLGATE BAMBOO X 2U,Colgate,None,1740.0,In stock,https://www.hiperlibertad.com.ar/cepillo-colgate-bamboo-x-2u/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Kids 2+ Años Dr. Rabbit 1unid,Colgate,None,305.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-kids-2-anos-dr-rabbit-1unid/p,12,perfumeria,cuidado-oral
CREMA DENTAL COLGATE LUMIMOUS WHITE LOVERS CAFÉ X 70 Gr,Colgate,None,1656.0,In stock,https://www.hiperlibertad.com.ar/crema-dental-colgate-lumimous-white-lovers-caf-x-70-gr/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL COLGATE TOTAL 12 ENCIAS REFORZADAS X 500 Ml,Colgate,None,2363.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-total-12-encias-reforzadas-x-500-ml/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL COLGATE TOTAL 12 CLEAN MINT X 500 Ml,Colgate,None,2363.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-total-12-clean-mint-x-500-ml/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL LISTERINE COOL MINT X 250 ML,Listerine,None,1232.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-listerine-cool-mint-x-250-ml/p,12,perfumeria,cuidado-oral
CEPILLO DENTAL COLGATE EXTRA CLEAN DURO X 2 U,Colgate,None,619.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-extra-clean-duro-x-2-u/p,12,perfumeria,cuidado-oral
Cepillo dental GUM Classic Twin Pack 311TW,Gum,None,1976.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-gum-classic-twin-pack-311tw/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Kids x 2 unid.,Colgate,None,505.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-kids-x-2-unid/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL COLGATE PLAX MENTA SUAVE X 250 Ml,Colgate,None,994.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-plax-menta-suave-x-250-ml/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Twister White x 2 unid.,Colgate,None,876.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-twister-white-x-2-unid/p,12,perfumeria,cuidado-oral
HILO DENTAL RECARGA MERAKI,MERAKI,1776.0,1331.99,In stock,https://www.hiperlibertad.com.ar/hilo-dental-recarga-meraki/p,12,perfumeria,cuidado-oral
Enjuague Bucal Listerine Whitening X 236 Ml.,Listerine,None,1387.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-listerine-whitening-x-236-ml/p,12,perfumeria,cuidado-oral
CREMA DENTAL COLGATE SENSITIVE PRO ALIVIO X 50 Gr,Colgate,None,777.0,In stock,https://www.hiperlibertad.com.ar/crema-dental-colgate-sensitive-pro-alivio-x-50-gr/p,12,perfumeria,cuidado-oral
Cepillo dental niño con luz GUM Paw Patrol 202PP,Gum,None,1666.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-ni-o-con-luz-gum-paw-patrol-202pp/p,12,perfumeria,cuidado-oral
CREMA DENTAL COLGATE NATURALS CARBON ACTIVADO Y MENTA X 70 Gr,Colgate,None,717.0,In stock,https://www.hiperlibertad.com.ar/crema-dental-colgate-naturals-carbon-activado-y-menta-x-70-gr/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL COLGATE TOTAL 12 ANTI SARRO X 500 Ml,Colgate,None,2363.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-total-12-anti-sarro-x-500-ml/p,12,perfumeria,cuidado-oral
Pasta dental niños GUM Paw Patrol x 100gr sabor bubble,Gum,None,803.0,In stock,https://www.hiperlibertad.com.ar/pasta-dental-ni-os-gum-paw-patrol-x-100gr-sabor-bubble/p,12,perfumeria,cuidado-oral
CEPILLO DE DIENTES INFANTIL COLGATE 2 UN,Colgate,None,637.0,In stock,https://www.hiperlibertad.com.ar/cepillo-de-dientes-infantil-colgate-2-un/p,12,perfumeria,cuidado-oral
CEPILLO DE DIENTES MERAKI SUAVE,MERAKI,999.0,748.99,In stock,https://www.hiperlibertad.com.ar/cepillo-de-dientes-meraki-suave/p,12,perfumeria,cuidado-oral
Crema Dental Colgate Smiles Minions 6+ Años 75Ml,Colgate,None,529.0,In stock,https://www.hiperlibertad.com.ar/crema-dental-colgate-smiles-minions-6-anos-75ml/p,12,perfumeria,cuidado-oral
CEPILLO DENTAL COLGATE TRIPLE ACCION X 3 U,Colgate,None,911.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-triple-accion-x-3-u/p,12,perfumeria,cuidado-oral
Hilo Dental Colgate Total Flúor Y Menta 25M,Colgate,None,810.0,In stock,https://www.hiperlibertad.com.ar/hilo-dental-colgate-total-fluor-y-menta-25m/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Infantil Barbie-Spiderman x 2 Unidades,Colgate,None,637.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-infantil-barbie-spiderman-x-2-unidades/p,12,perfumeria,cuidado-oral
Cepillo dental Technique sensitive GUM 528,Gum,None,1256.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-technique-sensitive-gum-528/p,12,perfumeria,cuidado-oral
Oral-B Expert Pick Interdental Cepillos Interdentales 20 Unidades,Oral-B,None,1124.0,In stock,https://www.hiperlibertad.com.ar/oral-b-expert-pick-interdental-cepillos-interdentales-20-unidades/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL NIÑOS COLGATE X 250 Ml,Colgate,None,1496.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-ni-os-colgate-x-250-ml/p,12,perfumeria,cuidado-oral
Cepillo dental GUM Classic 311,Gum,None,1098.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-gum-classic-311/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Extra Clean x 1 unid.,Colgate,None,225.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-extra-clean-x-1-unid/p,12,perfumeria,cuidado-oral
CEPILLOS INTERDENTALES ORAL B EXPERT MICRO X 10 U,Oral-B,3358.0,1558.99,In stock,https://www.hiperlibertad.com.ar/cepillos-interdentales-oral-b-expert-micro-x-10-u/p,12,perfumeria,cuidado-oral
CEPILLO DE DIENTES KOLYNOS DOCTOR SUAVE X 2 U,Kolynos,None,598.0,In stock,https://www.hiperlibertad.com.ar/cepillo-de-dientes-kolynos-doctor-suave-x-2-u/p,12,perfumeria,cuidado-oral
ENJ LISTERINE ANTICARIES Z250,Mir,None,1348.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-listerine-anticaries-frescura-suave-sin-alcohol-x-250ml/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Twister x 3 unid.,Colgate,None,1301.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-twister-x-3-unid/p,12,perfumeria,cuidado-oral
Hilo Dental Flossers GUM ultra deslizante 40 unid 887,Gum,None,958.0,In stock,https://www.hiperlibertad.com.ar/hilo-dental-flossers-gum-ultra-deslizante-40-unid-887/p,12,perfumeria,cuidado-oral
BITS VIDRIO MERAKI,MERAKI,None,3061.0,In stock,https://www.hiperlibertad.com.ar/bits-vidrio-meraki/p,12,perfumeria,cuidado-oral
Enjuague Bucal Colgate Plax Odor Control x 250 ml,Colgate,1650.0,957.99,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-plax-odor-control-x-250-ml/p,12,perfumeria,cuidado-oral
Cepillo Dental Colgate Pro Cuidado x 4 Unidades,Colgate,None,1465.0,In stock,https://www.hiperlibertad.com.ar/cepillo-dental-colgate-pro-cuidado-x-4-unidades/p,12,perfumeria,cuidado-oral
ENJUAGUE BUCAL COLGATE TOTAL 12 CLEAN MINT X 250 Ml,Colgate,None,1649.0,In stock,https://www.hiperlibertad.com.ar/enjuague-bucal-colgate-total-12-clean-mint-x-250-ml/p,12,perfumeria,cuidado-oral
CEPILLO DE DIENTES COLGATE BAMBU 1 U,Colgate,None,1171.0,In stock,https://www.hiperlibertad.com.ar/cepillo-de-dientes-colgate-bambu-1-u/p,12,perfumeria,cuidado-oral
HILO ORAL B EXPERT PRO SALUD X 25 M,Oral-B,None,1100.0,In stock,https://www.hiperlibertad.com.ar/hilo-oral-b-expert-pro-salud-x-25-m/p,12,perfumeria,cuidado-oral
CEPILLO DE DIENTES MERAKI MEDIO,MERAKI,None,999.0,In stock,https://www.hiperlibertad.com.ar/cepillo-de-dientes-meraki-medio/p,12,perfumeria,cuidado-oral
CEPILLO COLGATE ULTRA SOFT X 5,Colgate,None,1659.0,In stock,https://www.hiperlibertad.com.ar/cepillo-colgate-ultra-soft-x-5/p,12,perfumeria,cuidado-oral
