title,brand,list_price,price,stock,url,branch_id,category,subcategory
JABÓN LÍQUIDO VERITAS FLORES CD X250,Veritas,None,950.0,In stock,https://www.hiperlibertad.com.ar/jabon-liquido-veritas-flores-cd-x250/p,12,perfumeria,cuidado-personal
CREMA DEPILATORIA DEPIMIEL CUERPO X 120 GR,Depimiel,None,2007.0,In stock,https://www.hiperlibertad.com.ar/crema-depilatoria-depimiel-cuerpo-x-120-gr/p,12,perfumeria,cuidado-personal
CREMA DEPILATORIA DEPIMIEL DUCHA X 120 GR,Depimiel,2606.0,1693.99,In stock,https://www.hiperlibertad.com.ar/crema-depilatoria-depimiel-ducha-x-120-gr/p,12,perfumeria,cuidado-personal
MAQUINA AFEITAR BIC FLEX3 HYBRID X5,BIC,None,1869.0,In stock,https://www.hiperlibertad.com.ar/maquina-afeitar-bic-flex3-hybrid-x5/p,12,perfumeria,cuidado-personal
DEO AXE BS EPIC FRESH X150ML,Mir,None,1000.0,In stock,https://www.hiperlibertad.com.ar/desodorante-para-hombre-axe-epic-fresh-en-aerosol-x-150-ml/p,12,perfumeria,cuidado-personal
CERA DEPILATORIA DEPIMIEL NATURAL DE ABEJAS X 200 Gr,Depimiel,None,2308.0,In stock,https://www.hiperlibertad.com.ar/cera-depilatoria-depimiel-natural-de-abejas-x-200-gr/p,12,perfumeria,cuidado-personal
CERA DEPILATORIA DEPIMIEL VEGETAL X 200 Gr,Depimiel,None,2308.0,In stock,https://www.hiperlibertad.com.ar/cera-depilatoria-depimiel-vegetal-x-200-gr/p,12,perfumeria,cuidado-personal
ESPUMA ESTILO SPA LAVANDA X 200 ML,Estilo Spa,650.0,487.99,In stock,https://www.hiperlibertad.com.ar/espuma-estilo-spa-lavanda-x-200-ml/p,12,perfumeria,cuidado-personal
Maquina de afeitar desechable Bic Soleil color colection x 4 u.,BIC,None,1492.0,In stock,https://www.hiperlibertad.com.ar/maquina-de-afeitar-desechable-bic-soleil-color-colection-x-4-u/p,12,perfumeria,cuidado-personal
CERA DEPILATORIA DEPIMIEL VEGETAL POTE PARA MICROONDAS X 200 GR,Depimiel,2304.0,1727.99,In stock,https://www.hiperlibertad.com.ar/cera-depilatoria-depimiel-vegetal-pote-para-microondas-x-200-gr/p,12,perfumeria,cuidado-personal
