title,brand,list_price,price,stock,url,branch_id,category,subcategory
"CUBRECAMA PALETTE PRAGA MORA 1,5 PLAZA",PALETTE,25990.0,19492.5,In Stock,https://www.hiperlibertad.com.ar/cubrecama-palette-praga-mora-1-5-plaza/p,12,hogar,dormitorio
COLCHON GANI TNT VEGETAL 1 PLAZA - 17 CM,GANI,None,40299.0,In Stock,https://www.hiperlibertad.com.ar/colchon-tnt-vegetal-1-plaza-17cm/p,12,hogar,dormitorio
ALMOHADON MOIRA 40CMX40CM NEGRO,Zukatek,6299.0,4724.25,In Stock,https://www.hiperlibertad.com.ar/almohadon-moira-40cmx40cm-negro/p,12,hogar,dormitorio
ALMOHADA FRESH ICE 50X70,Mir,8299.0,5849.25,In Stock,https://www.hiperlibertad.com.ar/almohada-fresh-ice-antialergica-poliamida-fria-48-x-70-cm-altenburg/p,12,hogar,dormitorio
"CUB PALETTE ESTOCOL MORADO 2,5",Mir,39990.0,29992.5,In Stock,https://www.hiperlibertad.com.ar/cubrecama-palette-estocol-morado-2-5-plaza/p,12,hogar,dormitorio
Almohada liberty soporte medio antialérgica fibra siliconada 50 x 90 Cm Altenburg,Altenburg,6999.0,4874.25,In Stock,https://www.hiperlibertad.com.ar/almohada-liberty-soporte-medio-antialergica-fibra-siliconada-50-x-90-cm-altenburg/p,12,hogar,dormitorio
Almohadon para silla 40cmx40cm con tiras para atar color rojo,V. H FABRICS,4799.0,3599.25,In Stock,https://www.hiperlibertad.com.ar/almohadon-para-silla-40cmx40cm-con-tiras-para-atar-color-rojo/p,12,hogar,dormitorio
JUEGO DE SABANAS CANNON 200H 2½P,Canon,66990.0,50242.5,In Stock,https://www.hiperlibertad.com.ar/juego-de-sabanas-cannon-200h-2-p/p,12,hogar,dormitorio
CUBRE PALETTE KENIA VISON 1.5,Mir,27990.0,20992.5,In Stock,https://www.hiperlibertad.com.ar/cubrecama-palette-kenia-vison-1-5-plaza/p,12,hogar,dormitorio
Almohada Finlandek spring soporte firme antialérgico fibra siliconada 50 x 70 Cm,finlandek,5499.0,3599.25,In Stock,https://www.hiperlibertad.com.ar/almohada-finlandek-spring-soporte-firme-antialergico-fibra-siliconada-50-x-70-cm/p,12,hogar,dormitorio
CUBRE PALETTE KENIA NATU 2.5,Mir,35990.0,26992.5,In Stock,https://www.hiperlibertad.com.ar/cubrecama-palette-kenia-natural-2-5-plaza/p,12,hogar,dormitorio
COLCHON MYSTERY ECO 190X140,GANI,None,167199.0,In Stock,https://www.hiperlibertad.com.ar/colchon-mystery-res-2p/p,12,hogar,dormitorio
CUBRECAMA PALETTE KENIA VISON KING,PALETTE,42990.0,32242.5,In Stock,https://www.hiperlibertad.com.ar/cubrecama-palette-kenia-vison-king/p,12,hogar,dormitorio
Almohadon para silla 40cmx40cm con tiras para atar color negro,V. H FABRICS,4799.0,3599.25,In Stock,https://www.hiperlibertad.com.ar/almohadon-para-silla-40cmx40cm-con-tiras-para-atar-color-negro/p,12,hogar,dormitorio
COLCHON SILVER FLEX FIRME 1 plaza GANI,GANI,None,170699.0,In Stock,https://www.hiperlibertad.com.ar/colchon-silver-flex-firme-1-plaza-gani/p,12,hogar,dormitorio
