title,brand,list_price,price,stock,url,branch_id,category,subcategory
ALCOHOL GEL SAN IGINIO 250ML,San Iginio,None,531.0,In stock,https://www.hiperlibertad.com.ar/alcohol-gel-san-iginio-250ml/p,12,perfumeria,farmacia
DESODORANTE INTIMO DERMO VAGISIL FLOR DE DURAZNO X 75 Ml,Mir,None,1800.0,In stock,https://www.hiperlibertad.com.ar/desodorante-intimo-dermo-vagisil-flor-de-durazno-x-75-ml/p,12,perfumeria,farmacia
PRESERVATIVOS MAXX CON TACHAS X 3 U,MAXX,None,646.0,In stock,https://www.hiperlibertad.com.ar/preservativos-maxx-con-tachas-x-3-u/p,12,perfumeria,farmacia
ALCOHOL AEROSOL REXONA 75ML,Rexona,490.0,262.99,In stock,https://www.hiperlibertad.com.ar/alcohol-aerosol-rexona-75ml/p,12,perfumeria,farmacia
JABON LIQUIDO DERMO VAGISIL WASH JAZMIN BLANCO X 355 Ml,Mir,4000.0,2756.99,In stock,https://www.hiperlibertad.com.ar/jabon-liquido-dermo-vagisil-wash-jazmin-blanco-x-355-ml/p,12,perfumeria,farmacia
PRESERVATIVOS PRIME ULTRA FINO X 6 U + 3 GELES,Prime,None,2078.0,In stock,https://www.hiperlibertad.com.ar/preservativos-prime-ultra-fino-x-6-u-3-geles/p,12,perfumeria,farmacia
Apositos Curitas Be Happy Strips 16 U,Nivea,None,785.0,In stock,https://www.hiperlibertad.com.ar/apositos-curitas-be-happy-strips-16-u/p,12,perfumeria,farmacia
ALCOHOL EN AEROSOL BIALCOHOL 70% X 250 Ml,Bialcohol,None,1059.0,In stock,https://www.hiperlibertad.com.ar/alcohol-en-aerosol-bialcohol-70-x-250-ml/p,12,perfumeria,farmacia
LYSOFORM SANITIZANTE REFRESH 250 ML,Lysoform,1007.0,549.99,In stock,https://www.hiperlibertad.com.ar/lysoform-sanitizante-refresh-250-ml/p,12,perfumeria,farmacia
Protectores mamarios NOSOTRAS x 12 u,Nosotras,None,344.95,In stock,https://www.hiperlibertad.com.ar/protectores-mamarios-nosotras-x-12-u/p,12,perfumeria,farmacia
Preservativo Prime skyn sin latex x 6 u.,Prime,None,2101.0,In stock,https://www.hiperlibertad.com.ar/preservativo-prime-skyn-sin-latex-x-6-u/p,12,perfumeria,farmacia
GEL INTIMO PRIME HOT PLEASURE X 30 Gr,Prime,None,1150.0,In stock,https://www.hiperlibertad.com.ar/gel-intimo-prime-hot-pleasure-x-30-gr/p,12,perfumeria,farmacia
SANITIZANTE PARA MANOS LYSOFORM REFRESH EN SPRAY X 185 Ml,Lysoform,1327.0,723.99,In stock,https://www.hiperlibertad.com.ar/sanitizante-para-manos-lysoform-refresh-en-spray-x-185-ml/p,12,perfumeria,farmacia
JABON LIQUIDO DERMO VAGISIL WASH PH BALANCE X 355 Ml,Mir,4000.0,2756.99,In stock,https://www.hiperlibertad.com.ar/jabon-liquido-dermo-vagisil-wash-ph-balance-x-355-ml/p,12,perfumeria,farmacia
JABON INTIMO NIVEA CUIDADO SUAVE X 250 Gr,Nivea,None,1821.0,In stock,https://www.hiperlibertad.com.ar/jabon-intimo-nivea-cuidado-suave-x-250-gr/p,12,perfumeria,farmacia
CURITAS FLEXIBLE XL TELA ELASTICA X 10 U,Curitas,None,1749.0,In stock,https://www.hiperlibertad.com.ar/curitas-flexible-xl-tela-elastica-x-10-u/p,12,perfumeria,farmacia
GEL SENSUAL PRIME TOUCH COCO Y VANILLA X 200 Gr,Prime,None,2939.0,In stock,https://www.hiperlibertad.com.ar/gel-sensual-prime-touch-coco-y-vanilla-x-200-gr/p,12,perfumeria,farmacia
ALCOHOL EN GEL SAN IGNIO X 500 Ml,Mir,None,792.0,In stock,https://www.hiperlibertad.com.ar/alcohol-en-gel-san-ignio-x-500-ml/p,12,perfumeria,farmacia
