title,brand,list_price,price,stock,url,branch_id,category,subcategory
"Gaseosa Fanta Sin Azúcar Naranja 1,5 Lt",FANTA,532.0,442.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-fanta-sin-az-car-naranja-1-5-lt/p,12,bebidas,gaseosas
GASEOSA FANTA NARANJA X 500 ML.,Mir,None,433.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-fanta-naranja-500-ml/p,12,bebidas,gaseosas
Gaseosa Doble Cola Pomelo 3 lt,Doble Cola,None,951.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-doble-cola-pomelo-3-lt/p,12,bebidas,gaseosas
"Gaseosa Lima Limon Light Seven Up 2,25 lt",7up,None,770.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-lima-limon-light-seven-up-2-25-lt/p,12,bebidas,gaseosas
Gaseosa Sprite Lima-Limónn 375 Ml,Sprite,None,196.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-sprite-lima-limonn-375-ml/p,12,bebidas,gaseosas
GASEOSA PEPSI BLACK X 500 ML.,Mir,None,186.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-pepsi-black-x-500cc/p,12,bebidas,gaseosas
"GASEOSA PEPSI COLA PET X 2,45 Lts",Pepsi,None,2010.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-pepsi-cola-pet-x-2-45-lts/p,12,bebidas,gaseosas
GASEOSA MARINARO PREMIUM MANZ 3L,Mir,None,655.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-marinaro-premium-manz-3l/p,12,bebidas,gaseosas
"Gaseosa Sprite Lima-Limón 1,5 Lt",Sprite,None,757.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-sprite-lima-lim-n-1-5-lt/p,12,bebidas,gaseosas
"Gaseosa Doble Cola 2,25 lt",Doble Cola,None,751.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-doble-cola-2-25-lt/p,12,bebidas,gaseosas
Gaseosa 7 Up Lima Limón 2.25 lt,7up,None,668.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-7-up-lima-lim-n-2-25-lt/p,12,bebidas,gaseosas
Gaseosa Pritty Limón Cero 2.25 lt,Pritty,None,891.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-pritty-lim-n-cero-2-25-lt/p,12,bebidas,gaseosas
"GASEOSA SCHWEPPES ZERO POMELO X 2,25 LT",SCHWEPPES,None,1066.0,In Stock,https://www.hiperlibertad.com.ar/gaseosa-schweppes-zero-pomelo-x-2-25-lt/p,12,bebidas,gaseosas
GASEOSAS MIRINDA NARANJA X3LTS,Mirinda,None,898.0,In Stock,https://www.hiperlibertad.com.ar/mirinda-naranja-x3lts/p,12,bebidas,gaseosas
