title,brand,list_price,price,stock,url,branch_id,category,subcategory
Toallitas Femeninas Always Seca Nocturna Maxima Protección 16 Un,Always,None,1935.0,In stock,https://www.hiperlibertad.com.ar/toallitas-femeninas-always-seca-nocturna-maxima-protecci-n-16-un/p,12,perfumeria,proteccion-femenina
TAMPONES NOSOTRAS REGULAR X 8 U,Nosotras,None,None,In stock,https://www.hiperlibertad.com.ar/tampones-nosotras-regular-x-8-u/p,12,perfumeria,proteccion-femenina
Toallas Femeninas Nosotras Nocturna Suave x 8 U,Nosotras,None,1119.0,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-nosotras-nocturna-suave-x-8-u/p,12,perfumeria,proteccion-femenina
Toallas Femeninas Always Doble Protección Extra Suave x 8 U,Always,None,875.0,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-always-doble-protecci-n-extra-suave-x-8-u/p,12,perfumeria,proteccion-femenina
TAMPONES NOSOTRAS REGULAR X 16 U,Nosotras,None,948.0,In stock,https://www.hiperlibertad.com.ar/tampones-nosotras-regular-x-16-u/p,12,perfumeria,proteccion-femenina
Toallas Femeninas Nosotras Normal Suave x 8 U,Nosotras,None,700.0,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-nosotras-normal-suave-x-8-u/p,12,perfumeria,proteccion-femenina
TAMPONES NOSOTRAS SUPER X 16 U,Nosotras,None,948.0,In stock,https://www.hiperlibertad.com.ar/tampones-nosotras-super-x-16-u/p,12,perfumeria,proteccion-femenina
Toallas Femeninas Siempre Libre Adapt Plus Noche y Dia Seca x 16 U,Siempre Libre,None,1812.0,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-siempre-libre-adapt-plus-noche-y-dia-seca-x-16-u/p,12,perfumeria,proteccion-femenina
Toallas Femeninas Calipso Super Anatomica con Calendula x 8 U,Calipso,None,None,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-calipso-super-anatomica-con-calendula-x-8-u/p,12,perfumeria,proteccion-femenina
TOALLAS FEMENINAS KOTEX NORMAL CON ALAS X 16 U,Kotex,None,1182.0,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-kotex-normal-con-alas-x-16-u/p,12,perfumeria,proteccion-femenina
TOALLAS FEMENINAS KOTEX NOCTURNA CON ALAS X 16 U,Kotex,None,2028.0,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-kotex-nocturna-con-alas-x-16-u/p,12,perfumeria,proteccion-femenina
TOALLAS FEMENINAS LINA NOCTURNA CON ALAS X 8 U,Lina,None,630.0,In stock,https://www.hiperlibertad.com.ar/toallas-femeninas-lina-nocturna-con-alas-x-8-u/p,12,perfumeria,proteccion-femenina
TOALLAS ALWAYS XTRA DOBLE PROTECCION X 16 U,Always,None,1611.0,In stock,https://www.hiperlibertad.com.ar/toallas-always-xtra-doble-proteccion-x-16-u/p,12,perfumeria,proteccion-femenina
