proxy,status
45.154.15.116:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 400 Bad Request')))"
50.207.199.81:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DB310>, 'Connection to 50.207.199.81 timed out. (connect timeout=5)'))"
50.174.7.155:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885D3B50>, 'Connection to 50.174.7.155 timed out. (connect timeout=5)'))"
50.207.199.80:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885D2890>, 'Connection to 50.207.199.80 timed out. (connect timeout=5)'))"
50.173.140.150:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DB910>, 'Connection to 50.173.140.150 timed out. (connect timeout=5)'))"
50.228.141.97:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885D3D50>, 'Connection to 50.228.141.97 timed out. (connect timeout=5)'))"
218.255.187.60:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DB090>, 'Connection to 218.255.187.60 timed out. (connect timeout=5)'))"
50.218.57.70:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885D2710>, 'Connection to 50.218.57.70 timed out. (connect timeout=5)'))"
50.168.163.182:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885D8E10>, 'Connection to 50.168.163.182 timed out. (connect timeout=5)'))"
50.239.72.17:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DB5D0>, 'Connection to 50.239.72.17 timed out. (connect timeout=5)'))"
50.222.245.43:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8845E050>, 'Connection to 50.222.245.43 timed out. (connect timeout=5)'))"
50.174.145.13:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DC7D0>, 'Connection to 50.174.145.13 timed out. (connect timeout=5)'))"
