title,price,stock,url,category
Mouse Verbatim Bluetooth Wireless LED Tablet Multi-Trac,16719.0,In Stock,https://www.hiperlibertad.com.ar/mouse-verbatim-bluetooth-wireless-led-tablet-multi-trac/p,Informatica
"NOTEBOOK HP 15-EF2514LA 15,6 PULGADAS AMD RYZEN 7 8 GB 512 GB",999999.0,In Stock,https://www.hiperlibertad.com.ar/notebook-hp-15-ef2514la-15-6-pulgadas-amd-ryzen-7-8-gb-512-gb/p,Informatica
NOTEBOOK HP 240 G8 (59C86LT) 14 PULGADAS INTEL CORE i5 11 GEN 8 GB 512 GB,993699.0,In Stock,https://www.hiperlibertad.com.ar/notebook-hp-240-g8-59c86lt-14-pulgadas-intel-core-i5-11-gen-8-gb-512-gb/p,Informatica
"NOTEBOOK HP 250 G9 15,6 PULGADAS INTEL CELERON N4500 8 GB 256 GB",801599.0,In Stock,https://www.hiperlibertad.com.ar/notebook-hp-250-g9-15-6-pulgadas-intel-celeron-n4500-8-gb-256-gb/p,Informatica
Impresora HP Multifuncion Smart Tank 580 WIFI,326499.0,In Stock,https://www.hiperlibertad.com.ar/impresora-hp-multifuncion-smart-tank-580-wifi/p,Informatica
ROKU STREAMING STICK 4K 3820M,85799.0,In Stock,https://www.hiperlibertad.com.ar/roku-streaming-stick-4k-3820m/p,Informatica
MONITOR GAMER ACER 24 PULGADAS KG241Q 144HZ 1MS FULL HD,262899.0,In Stock,https://www.hiperlibertad.com.ar/monitor-gamer-acer-24-pulgadas-kg241q-144hz-1ms-full-hd/p,Informatica
ROKU EXPRESS 3930MX 512MB,54299.0,In Stock,https://www.hiperlibertad.com.ar/roku-express-3930mx-512mb/p,Informatica
ROKU EXPRESS 4K 3940MX 1GB,69999.0,In Stock,https://www.hiperlibertad.com.ar/roku-express-4k-3940mx-1gb/p,Informatica
PC GFAST H-150 I4120W INTEL CELERON 4 GB 120 GB SSD,186199.0,In Stock,https://www.hiperlibertad.com.ar/pc-gfast-h-150-i4120w-intel-celeron-4-gb-120-gb-ssd/p,Informatica
"NOTEBOOK GFAST 13,5 PULGADAS INTEL CELERON N4020 4 GB 128 GB SSD N-130",235799.0,In Stock,https://www.hiperlibertad.com.ar/notebook-gfast-13-5-pulgadas-intel-celeron-n4020-4-gb-128-gb-ssd-n-130/p,Informatica
IMPRESORA HP DESKJET INK ADVANTAGE 2375 ALL IN ONE 7WQ01A,100399.0,In Stock,https://www.hiperlibertad.com.ar/impresora-hp-deskjet-ink-advantage-2375-all-in-one-7wq01a/p,Informatica
MOUSE VERBATIM WIRELESS MINI,None,Out of stock,https://www.hiperlibertad.com.ar/mouse-verbatim-wireless-mini/p,Informatica
NOTEBOOK HP 240 G8 (59C83LT) 14 PULGADAS INTEL CORE i3 11 GEN 8 GB 512 GB,835399.0,In Stock,https://www.hiperlibertad.com.ar/notebook-hp-240-g8-59c83lt-14-pulgadas-intel-core-i3-11-gen-8-gb-512-gb/p,Informatica
"Monitor Gfast T-220 21,5 Pulgadas Led Full Hd",100899.0,In Stock,https://www.hiperlibertad.com.ar/monitor-gfast-t-220-21-5-pulgadas-led-full-hd/p,Informatica
