title,brand,list_price,price,stock,url,branch_id,category,subcategory
SAL MARINA CON FINAS HIERBAS SHIO X 200 Gr,Mir,None,876.0,In stock,https://www.hiperlibertad.com.ar/sal-marina-con-finas-hierbas-shio-x-200-gr/p,12,almacen,sal-pimienta-y-especias
SAL MARINA CON CEBOLLA Y AJO SHIO X 200 Gr,Mir,None,876.0,In stock,https://www.hiperlibertad.com.ar/sal-marina-con-cebolla-y-ajo-shio-x-200-gr/p,12,almacen,sal-pimienta-y-especias
SOBRE KNORR HORNO CEB AJO X 21GR,Knorr,None,412.0,In stock,https://www.hiperlibertad.com.ar/sobre-knorr-horno-ceb-ajo-x-21gr/p,12,almacen,sal-pimienta-y-especias
SAL GENSER DIET 0% SODIO X 90GR,Genser,None,1734.0,In stock,https://www.hiperlibertad.com.ar/sal-genser-diet-0-sodio-x-90gr/p,12,almacen,sal-pimienta-y-especias
SAL FINA LIGHT DOS ANCLAS SALERO X 250 Gr,Dos Anclas,None,1460.0,In stock,https://www.hiperlibertad.com.ar/sal-fina-light-dos-anclas-salero-x-250-gr/p,12,almacen,sal-pimienta-y-especias
HUMO LIQUID S.GIORG X70ML,Mir,1538.0,1289.99,In stock,https://www.hiperlibertad.com.ar/humo-liquido-san-giorgio-x-70-ml/p,12,almacen,sal-pimienta-y-especias
COUS COUS FERRERO X500GRS.-,Mir,2297.0,1929.99,In stock,https://www.hiperlibertad.com.ar/cous-cous-ferrero-x-500-gr/p,12,almacen,sal-pimienta-y-especias
SAL SALERO CELUSAL ENTREF.X1KG,Mir,None,1084.0,In stock,https://www.hiperlibertad.com.ar/sal-entrefina-celusal-1-kg/p,12,almacen,sal-pimienta-y-especias
SAL DE MOSTAZA Y ROMERO SHIO X 175 Gr,Mir,None,876.0,In stock,https://www.hiperlibertad.com.ar/sal-de-mostaza-y-romero-shio-x-175-gr/p,12,almacen,sal-pimienta-y-especias
PIMENTON AHUMADO SAN GIORGIO X 40 Gr,San Giorgio,1605.0,1349.99,In stock,https://www.hiperlibertad.com.ar/pimenton-ahumado-san-giorgio-x-40-gr/p,12,almacen,sal-pimienta-y-especias
SAL SALERO GENSER MOD X 90 GR,Genser,None,649.0,In stock,https://www.hiperlibertad.com.ar/sal-salero-genser-mod-x-90-gr/p,12,almacen,sal-pimienta-y-especias
Pimienta Negra La Drogheria 1880 Molinillo x 95 Gr,Mir,4191.0,3519.99,In stock,https://www.hiperlibertad.com.ar/pimienta-negra-la-drogheria-1880-molinillo-x-95-gr/p,12,almacen,sal-pimienta-y-especias
COMINO MOLIDO DOS ANCLAS X 50 Gr,Dos Anclas,None,486.0,In stock,https://www.hiperlibertad.com.ar/comino-molido-dos-anclas-x-50-gr/p,12,almacen,sal-pimienta-y-especias
SAL GRUESA CELUSAL X 1 KG.,Mir,None,515.0,In stock,https://www.hiperlibertad.com.ar/sal-gruesa-celusal-1-kg-2/p,12,almacen,sal-pimienta-y-especias
